genus	mean.weight
Bradyrhizobium	0.26072632290327935
CAG-41	0.23870865217542975
Rhodococcus	0.22526735524118685
13-2-20CM-66-19	0.20118960277005957
Aerococcus	0.19940351972676462
Lachnospira	0.17592401510224928
Ochrobactrum	0.17415612693588087
Chitinophaga	0.1741921328655896
Hornefia	0.16193964291253218
Varibaculum	0.15380309058676517
Peptidiphaga	0.14906610738244902
Acidoferrum	0.1498156048033025
Mammaliicoccus	0.14732279656701808
Dongia	0.14555921288693469
Clostridium_A	0.1364887285883515
Clostridium	0.1367191279236063
Coprocola	0.13424463207039158
Lawsonibacter	0.13236092241287467
Eubacterium_G	0.1273608606615011
F0428	0.12811359705642214
Stomatobaculum	0.12558060217204983
Treponema_B	0.12449168054004033
Desulforhopalus	0.12076899096821868
Oribacterium	0.12042884282414343
HGM13010	0.11809191842527507
Zobellella_A	0.11765737129170512
Rhodanobacter	0.11635532155464921
Senegalimassilia	0.1162466580719161
Peptoniphilus_C	0.11584477059862397
Hyphomicrobium	0.11662797727439335
Romboutsia	0.11454546060179499
Tannerella	0.11175385655957892
Aminobacter	0.11150029514060578
Romboutsia_D	0.10852154064219091
Coprococcus	0.10811331437855126
Faecalimonas	0.10791434084932557
Absicoccus	0.10564845919956663
Virgibacillus_G	0.10338207236735417
Intestinibacillus	0.10293176059260206
W5053	0.10246593144209577
Burkholderia	0.09920564216804967
Ventricola	0.09751396525312804
Slackia_A	0.09656164056088437
Terracidiphilus	0.09496958323410759
Blautia_A	0.09381492598774321
Ancrocorticia	0.0927449413360713
Copromorpha	0.09289956340446587
Luteimonas	0.092608101966975
Lachnoanaerobaculum	0.09064134651946189
Pseudoramibacter	0.08996071044946816
Beduini	0.08972021213515387
Cronobacter	0.08867253635809466
Eubacterium_B	0.08856030221233852
Eubacterium_O	0.08737870562278408
Tetragenococcus	0.08593504824515986
Allobaculum	0.08638055553054765
Kocuria	0.08617129758050199
Pelomonas	0.08561111194431296
Lawsonella	0.08448527526981668
UBA5026	0.08474179042992863
Fannyhessea	0.08429436345864662
Parachristensenella	0.08364606073032962
Pararuminococcus	0.08431697095256128
UBA1417	0.08328332685530429
Dorea_A	0.08333959473250338
CAG-274	0.08205992901819201
Mediterraneibacter	0.08090738195363406
Limnohabitans	0.08101829554002198
Rothia	0.08054143431735099
AM51-8	0.07982499151563174
Devosia	0.07957605877308913
UBA5905	0.07887455130785212
Ottowia	0.07748197323314615
Lactococcus	0.07731656645234755
Providencia	0.07531763023093886
Alteraurantiacibacter	0.07500474296536432
Ellagibacter	0.07281813811634467
Kingella_A	0.07251338581098857
Avimicrobium	0.07173881027451941
Butyribacter	0.07139164073185225
Muricomes	0.07125851091730405
Oxalobacter	0.07109403965213874
Aphodocola	0.07105253528418581
Lautropia	0.07052034451411976
Ruminococcus_F	0.06983645307843944
Spyradocola	0.0696301879261504
Ruegeria	0.06966887276078686
MARSEILLE-P3954	0.0669055660250923
Coprobacter	0.06686374695437304
Vibrio	0.06752968373948415
CAG-1427	0.06669864240361877
Caulobacter	0.06695316218583407
CAG-266	0.0660494425521401
Butyricimonas	0.06416118238608108
Mediterraneibacter_A	0.06399993651147384
JABFXX01	0.06426616613115119
Pseudoleptotrichia	0.06343039645325295
Parabacteroides	0.06348543150584939
Cupriavidus	0.063062452518244
Bilophila	0.06266142941118379
Azonexus	0.062498136379864386
F0058	0.061838211053832366
Zag111	0.06077045718043518
CAG-510	0.06038751769441434
Phenylobacterium	0.060743993771860814
Citrobacter	0.059896151807747246
Cardiobacterium	0.059632547254613415
Megamonas	0.059429886441240073
HGM04593	0.05924188119754486
Pelethomonas	0.05801669887454302
Capnocytophaga	0.05776841037181121
CAG-245	0.056874988500720765
Fusobacterium_A	0.05684480794461509
Eubacterium_M	0.05671206920528131
Bittarella	0.05581924125979797
Hydrogenophaga	0.05690980127730336
Pseudobutyricicoccus	0.05615884326172161
Carnobacterium	0.056062984056251194
Agathobaculum	0.05442677598681535
Flavobacterium	0.05417773411089725
Robinsoniella	0.054398863659544355
Bacillus	0.05397555676035202
Udaeobacter	0.05440512504484574
Luxibacter	0.05368692389039468
Geddesella	0.05364851068317392
CAG-353	0.05349754220789062
Solirubrobacter	0.05342658554879123
Merdicola	0.05294642925903931
Kingella_B	0.052307592366940825
Catonella	0.05258656154673754
Leptotrichia	0.05253042743588148
Gabonibacter	0.051611156549314766
Faecalibacterium	0.05080443596419171
Eubacterium_R	0.05138897972573823
Stercorousia	0.05089900499222424
Fournierella	0.04964041725437981
Aliarcobacter	0.049617505806280444
Sphingobium	0.04906026832480248
Barnesiella	0.04869708489880747
RF16	0.04851805241907417
Enorma	0.04812261409356201
Fusicatenibacter	0.0483256378280369
Streptococcus	0.048662207015410124
CAG-349	0.047923233132917756
Haemophilus_D	0.04766616838212339
Chryseobacterium	0.04768451562435213
Neisseria	0.04756525293766669
CAG-45	0.046601229562690846
Centipeda	0.04579347060342314
Pseudolabrys	0.045331778838490544
An92	0.04475691703151351
Olsenella_G	0.04366047223881587
UBA644	0.044245971044523845
Limiplasma	0.0443268989284866
COE1	0.043502545262997974
CAG-762	0.04297258165310616
UMGS363	0.04344568726795313
UBA7173	0.04288418363931949
Massilistercora	0.04217122512506984
Merdisoma	0.04296836495276095
CAG-196	0.041518404435921016
Agathobacter	0.041676523840606494
Megasphaera	0.04181795426647861
Cellulosilyticum	0.04121420424898169
Sporofaciens	0.04184731138669528
1XD8-76	0.04125090870429942
Lactonifactor	0.040589409745873294
Ruminococcus	0.0400720074157903
Sellimonas	0.0397258170520642
CAZU01	0.03863477985397736
Dialister	0.03805939475023534
Dorea	0.037915757375135785
Parascardovia	0.03785992537210684
Helicobacter_C	0.03732751878857193
Terrisporobacter	0.03658774158002577
F23-B02	0.035734590686991696
Metalachnospira	0.035769159480396544
Sphingomicrobium	0.03602948127242588
UMGS1071	0.03592334297357712
Catenibacterium	0.03519795350702275
Hafnia	0.034957266441305423
Ruminococcus_E	0.03458420495553048
Pseudomonas_A	0.03459789322227824
Baumannia	0.03413655363997174
Ileibacterium	0.033758046263254134
66-474	0.03352611690201594
Turicimonas	0.032914211158417306
Hydrogenoanaerobacterium	0.03249528322155509
CAG-485	0.03155652451899602
Oliverpabstia	0.031048450728810267
Merdousia	0.030635240503945532
Mesosutterella	0.030411447129188675
14-2	0.03040187735047868
CAG-492	0.030345969576101264
Butyrivibrio	0.03008101971468843
Citrobacter_A	0.02935580653313759
Eubacterium_N	0.02869952610683682
Aquabacterium	0.029104676663781328
Mitsuokella	0.02838783576849085
CAG-1031	0.028544890906566433
Blautia	0.027401168235226932
Brevundimonas	0.028042676210232945
Coprenecus	0.02900119761082814
Chelativorans	0.028026100606596622
Limenecus	0.028083948974348506
Adlercreutzia	0.02801803426898818
Amedibacterium	0.02708090380946243
Monoglobus	0.027085646262621207
Sodaliphilus	0.026616949188204328
