feature	SRR15511253	SRR15511254	SRR15511255	SRR15511256	SRR15511257	SRR15511258	SRR15511259	SRR15511260	SRR15511261	SRR15511262	SRR15511263	SRR15511264	SRR15511265	SRR15511266	SRR15511267	SRR15511268	SRR15511269	SRR15511270	SRR15511271	SRR15511272	SRR15511273	SRR15511274	SRR15511275	SRR15511276	SRR15511277	SRR15511278	SRR15511279	SRR15511280	SRR15511281	SRR15511282	SRR15511283	SRR15511284	SRR15511285	SRR15511286	SRR15511287
total_reads	5967981.0	4410662.0	4709804.0	7037474.0	7260925.0	5902606.0	12976281.0	10384055.0	4110669.0	5235270.0	7237202.0	3380373.0	6511037.0	6984362.0	9745693.0	1455345.0	7583286.0	9630834.0	6449370.0	8009778.0	7711802.0	10650305.0	5430155.0	3456912.0	3392974.0	6125269.0	6600836.0	7112275.0	6617668.0	5983968.0	6884122.0	5948740.0	3522341.0	5334907.0	5359879.0
filtered_reads	5854388.0	4356570.0	4652466.0	6946072.0	7206104.0	5797549.0	12738268.0	10297619.0	4035708.0	5187527.0	7089538.0	3286206.0	6395335.0	6919062.0	9650800.0	1411941.0	7373750.0	9512619.0	6413323.0	7966397.0	7637942.0	10616501.0	5321527.0	3346774.0	3338450.0	5934827.0	6532787.0	7040112.0	6457148.0	5941756.0	6805245.0	5912708.0	3490149.0	5277399.0	5302980.0
category	52707.83583	57555.66414	51699.70817	65919.98023	67507.7094	46445.98376	58887.74415	57262.23937	45283.14913	75824.22499	64464.69314	64000.7753	55013.66423	59925.55782	66268.83632	63073.02488	66934.79361	62679.58775	76248.64724	63806.58905	55990.36497	80988.40252	59286.68601	47536.49592	59256.94566	62650.83216	75413.84788	70274.70069	45669.53868	50304.27853	55279.66685	61178.00433	50949.06581	63916.31148	62420.27558
AA1	NA	5.94763	32.20536	9.4687	4.86148	6.12777	21.178	8.57726	1.32011	0.56431	9.79054	5.86064	2.27978	0.82474	0.44761	0.32831	NA	5.80451	2.50848	4.44683	1.60747	11.62357	0.79914	NA	3.05958	1.86056	0.24274	1.29226	2.91096	NA	3.71854	3.62249	0.71902	2.48252	22.24668
AA10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20317	NA	NA	NA	0.80707	NA	NA	0.28101	NA	NA	NA	NA	NA	NA	NA	NA	0.44025	NA	NA	NA	NA
AA1_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA3	NA	0.36629	4.03986	4.17431	3.64292	0.21454	10.71162	2.88936	NA	NA	0.13829	2.14152	0.3353	0.93289	NA	NA	NA	2.66666	0.72992	0.38053	NA	3.27925	0.91484	NA	0.59818	0.25764	1.82282	1.4584	0.35909	0.33098	0.14406	NA	0.28256	0.78506	11.00188
AA3_2	NA	0.18022	1.14787	1.82437	1.25071	0.1517	4.60918	1.33762	NA	0.08477	NA	0.66495	0.06372	0.19996	0.09907	NA	NA	1.48225	0.22002	0.31076	0.05757	1.89772	0.45457	0.1314	0.04039	0.28664	NA	NA	0.08835	NA	NA	NA	NA	0.21899	5.14517
AA4	27.30249	17.70622	76.28231	49.05242	18.78801	32.15342	38.63071	48.85473	42.70803	5.34234	17.82559	14.13007	12.94684	15.53259	11.59197	15.07761	17.6066	9.07562	5.44966	10.9851	36.01005	10.14967	9.16359	15.77985	6.0063	4.67861	12.95527	6.14159	69.4806	11.01543	79.18046	51.55698	26.74596	62.55603	40.46058
AA6	22.35086	26.8704	16.63397	15.9663	11.15778	17.69502	15.69563	10.43738	5.94348	16.74388	17.14889	17.49639	13.29679	7.29119	5.19808	8.71976	2.43414	23.75048	14.23891	16.26348	21.0384	40.99061	11.56336	12.38062	10.32129	3.69316	8.80193	15.41881	25.09855	7.42229	4.39479	3.66738	27.40779	7.82076	16.49779
AA7	56.29511	25.47223	73.226	49.29087	28.74491	72.17237	16.42899	33.77831	68.00257	11.49566	33.23178	18.92985	21.6013	19.6611	22.46366	9.90894	8.01201	13.33708	12.63074	21.03248	35.30616	13.79838	17.4417	39.67598	27.71746	15.34871	15.58617	43.92097	34.10357	27.46362	37.33103	30.67332	35.55019	86.09086	69.63608
AA8	NA	NA	4.47979	11.66965	3.99493	NA	16.44578	3.19252	NA	NA	NA	4.51733	0.73964	0.17455	NA	NA	NA	2.05734	1.18125	0.12995	NA	3.39943	1.89814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0903	16.63245
CBM10	NA	NA	1.32679	NA	NA	NA	0.76964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBM12	60.8285	21.4538	40.57772	12.08377	63.76514	101.17364	72.29226	112.22122	48.08431	15.71871	7.70202	25.30399	20.70842	59.39127	35.71729	11.67716	14.24213	3.40992	3.38118	20.08875	18.01145	4.62525	8.4745	63.29318	3.38561	6.8155	11.08467	3.22001	33.00007	25.1707	99.72604	30.16232	127.24857	5.29984	11.42254
CBM13	174.6059	105.71952	92.46066	61.83498	117.79639	154.10583	113.23701	95.04072	125.40092	101.26657	157.1552	82.64803	154.83789	104.88215	114.76311	80.98455	70.52456	75.72625	48.88698	130.71348	109.58232	146.52814	131.54957	118.42966	103.99183	72.63346	116.31584	209.4311	153.4316	144.87635	115.13303	99.12803	106.87761	99.92672	134.40564
CBM14	NA	NA	0.91855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBM16	0.21325	NA	0.93892	0.55297	0.35912	0.21534	0.13189	0.6771	NA	0.24067	NA	0.38133	0.43799	1.08127	1.09463	NA	0.18228	1.36278	NA	0.35502	0.57406	0.55982	NA	NA	NA	0.21115	0.58939	NA	0.06938	0.41866	1.93154	NA	0.12837	1.81069	0.48888
