feature	SRR15511253	SRR15511254	SRR15511255	SRR15511256	SRR15511257	SRR15511258	SRR15511259	SRR15511260	SRR15511261	SRR15511262	SRR15511263	SRR15511264	SRR15511265	SRR15511266	SRR15511267	SRR15511268	SRR15511269	SRR15511270	SRR15511271	SRR15511272	SRR15511273	SRR15511274	SRR15511275	SRR15511276	SRR15511277	SRR15511278	SRR15511279	SRR15511280	SRR15511281	SRR15511282	SRR15511283	SRR15511284	SRR15511285	SRR15511286	SRR15511287
total_reads	6078405.0	4478240.0	4783922.0	7126088.0	7335914.0	5965980.0	13197708.0	10658938.0	4247891.0	5267416.0	7274039.0	3392474.0	6576099.0	7057756.0	9871364.0	1457589.0	7601515.0	9699629.0	6491249.0	8134399.0	7877239.0	10746046.0	5467447.0	3483840.0	3422412.0	6136922.0	6635998.0	7163679.0	6790850.0	6126165.0	6999933.0	6069039.0	3588699.0	5377728.0	5429871.0
filtered_reads	5854388.0	4356570.0	4652466.0	6946072.0	7206104.0	5797549.0	12738268.0	10297619.0	4035708.0	5187527.0	7089538.0	3286206.0	6395335.0	6919062.0	9650800.0	1411941.0	7373750.0	9512619.0	6413323.0	7966397.0	7637942.0	10616501.0	5321527.0	3346774.0	3338450.0	5934827.0	6532787.0	7040112.0	6457148.0	5941756.0	6805245.0	5912708.0	3490149.0	5277399.0	5302980.0
category	2130696.92042	1562011.3864	1617464.1674	2409132.90819	2535992.75199	2006696.59588	4662587.36508	3669304.15479	1397372.53791	1721365.72902	2499490.63641	1120461.949	2273948.29861	2377574.85804	3494847.72959	502025.86148	2698398.13329	3362729.42205	2061889.78618	2789027.92448	2629622.40747	3896846.16349	1902227.57331	1170096.52681	1067244.51757	2154748.24067	2291434.52579	2771773.6308	2205462.98781	2180638.70875	2357619.35885	2047504.55331	1180231.97752	1783843.08151	1878449.44292
ko:K00001	293.09527	344.22015	369.82838	318.31932	609.46442	399.2367	440.66698	329.16594	249.71546	534.95622	785.30739	376.50043	595.69728	359.21056	587.11307	57.42624	364.92627	856.82783	702.8784	620.19482	626.01194	1094.25852	655.60604	257.57754	267.59796	324.52927	457.12252	709.88348	358.52335	210.04442	330.21332	304.3076	181.99092	407.48001	470.42954
ko:K00002	138.21089	236.38388	52.59225	43.90234	128.10614	173.45639	647.24303	393.15439	72.79287	25.01573	129.64726	18.82418	82.56191	59.91535	87.47523	16.25144	85.0853	80.18049	17.24488	84.78181	222.33175	252.46601	43.49753	96.12418	179.9137	1033.54018	27.41363	116.35877	106.45812	26.53799	164.21003	386.65785	68.25716	33.80346	33.56928
ko:K00003	1786.50419	980.89527	1035.43476	736.77701	1179.90258	1580.14338	1802.80881	1406.62992	888.78566	514.31341	1661.80099	424.61208	1666.02382	1300.40188	1667.71972	130.01865	582.45209	1834.16967	637.65845	1536.09795	1799.36856	1302.41265	908.51019	681.74632	443.02343	742.00363	742.94073	2065.89907	1586.46258	1146.07887	1275.02683	1065.13951	756.4511	804.01123	1028.13063
ko:K00004	108.65092	59.57315	60.69473	30.51914	59.65186	80.58079	143.68355	115.8787	30.72236	17.77924	57.57528	94.73918	59.84719	66.83687	103.854	1.49734	15.52225	145.09374	36.63355	71.97593	128.85524	84.44511	124.88426	25.7745	32.5082	17.83826	16.56083	37.25844	97.84396	47.21059	74.09949	95.0613	116.96593	16.51846	86.24614
ko:K00005	287.63949	248.49494	439.95686	568.61738	438.21887	453.83736	611.62445	478.12235	320.3788	251.20646	549.45139	90.95976	654.57261	360.56782	510.2805	44.96817	204.06096	1038.94746	407.76811	503.32596	399.00873	919.93037	319.2733	201.32155	174.03679	273.29369	342.75471	791.9111	486.55335	585.76368	436.00919	304.09532	235.76262	387.86602	510.15033
ko:K00006	NA	1.96632	1.30666	NA	0.70098	0.70546	0.9934	6.52498	NA	NA	NA	NA	NA	1.02687	10.52503	NA	NA	NA	NA	NA	52.17697	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.81902	3.52598	5.9509	NA	NA
ko:K00007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45782	NA	NA	0.80259	NA	NA	NA	1.80815	NA	NA	NA	NA	NA
