run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5
SRR15511255	SRP333105	SAMN20837595	SRS9824905	SRX11810168	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	8		PAIRED	WGS	METAGENOMIC	RANDOM	9851335	2905266019	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 4 WD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	8	ED4G_R1.fastq.gz	898589430;928551487	33306df2f9b4dc1be35986ea753233f7;29a2dd901300876e583757801702067d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/055/SRR15511255/SRR15511255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/055/SRR15511255/SRR15511255_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/055/SRR15511255/SRR15511255_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/055/SRR15511255/SRR15511255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/055/SRR15511255/SRR15511255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/055/SRR15511255/SRR15511255_2.fastq.gz							1371157114	18e4bd8c54f9edf3446bd652e86b838e	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/055/SRR15511255	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/055/SRR15511255	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/055/SRR15511255	ED4G		Participant 4 WD		2021-08-25			
SRR15511256	SRP333105	SAMN20837594	SRS9824902	SRX11810167	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	7		PAIRED	WGS	METAGENOMIC	RANDOM	13954275	4150848309	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 4 FMD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	7	ED4F_R1.fastq.gz	1271256651;1323194257	62db2352ad8abbdc2c8715cfbc2f429d;dce5baeee6e126f449c038d652ed5c6e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/056/SRR15511256/SRR15511256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/056/SRR15511256/SRR15511256_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/056/SRR15511256/SRR15511256_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/056/SRR15511256/SRR15511256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/056/SRR15511256/SRR15511256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/056/SRR15511256/SRR15511256_2.fastq.gz							1945235984	135155d8a859371f726336f2d17ec100	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/056/SRR15511256	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/056/SRR15511256	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/056/SRR15511256	ED4F		Participant 4 FMD		2021-08-25			
SRR15511260	SRP333105	SAMN20837621	SRS9824898	SRX11810163	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	34		PAIRED	WGS	METAGENOMIC	RANDOM	16529072	4938597157	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 20 FMD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	34	ED20F_R1.fastq.gz	1485693819;1523792060	2d15e0e1944a6a12b34a6d54344a89d8;56a5912a852add2d54cc4c935fcffd45	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/060/SRR15511260/SRR15511260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/060/SRR15511260/SRR15511260_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/060/SRR15511260/SRR15511260_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/060/SRR15511260/SRR15511260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/060/SRR15511260/SRR15511260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/060/SRR15511260/SRR15511260_2.fastq.gz							2242649934	1df247be2621d72f615f68f8504a4cf7	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/060/SRR15511260	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/060/SRR15511260	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/060/SRR15511260	ED20F		Participant 20 FMD		2021-08-25			
SRR15511261	SRP333105	SAMN20837620	SRS9824899	SRX11810162	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	33		PAIRED	WGS	METAGENOMIC	RANDOM	9004290	2687082712	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 19 FMD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	33	ED19F_R1.fastq.gz	838303182;866766358	9b964599a3cdeba81ec361a513c929c1;a56066e774e41a6f59fa5e245a47a49d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/061/SRR15511261/SRR15511261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/061/SRR15511261/SRR15511261_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/061/SRR15511261/SRR15511261_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/061/SRR15511261/SRR15511261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/061/SRR15511261/SRR15511261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/061/SRR15511261/SRR15511261_2.fastq.gz							1275523889	aae7d3eb5cb3c045cafd2e57ee7a8777	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/061/SRR15511261	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/061/SRR15511261	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/061/SRR15511261	ED19F		Participant 19 FMD		2021-08-25			
SRR15511262	SRP333105	SAMN20837619	SRS9824894	SRX11810161	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	32		PAIRED	WGS	METAGENOMIC	RANDOM	10670324	3180848629	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 18 WD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	32	ED18G_R1.fastq.gz	991823375;1023733185	ce049a305767b70f4b264a0a9077836f;0aa73934be06a2e1c1b2aeb1b3c992da	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/062/SRR15511262/SRR15511262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/062/SRR15511262/SRR15511262_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/062/SRR15511262/SRR15511262_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/062/SRR15511262/SRR15511262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/062/SRR15511262/SRR15511262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/062/SRR15511262/SRR15511262_2.fastq.gz							1506501514	7c93a8f329e13a186ecfe3257989d885	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/062/SRR15511262	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/062/SRR15511262	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/062/SRR15511262	ED18G		Participant 18 WD		2021-08-25			
SRR15511265	SRP333105	SAMN20837617	SRS9824896	SRX11810158	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	30		PAIRED	WGS	METAGENOMIC	RANDOM	12708896	3806769595	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 17 FMD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	30	ED17F_R1.fastq.gz	1176589348;1217472276	7e383ecd42871de2c1b7bda401044dae;a57b09c8a763fd99d98031d68157193e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/065/SRR15511265/SRR15511265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/065/SRR15511265/SRR15511265_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/065/SRR15511265/SRR15511265_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/065/SRR15511265/SRR15511265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/065/SRR15511265/SRR15511265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/065/SRR15511265/SRR15511265_2.fastq.gz							1790714312	60417decc44d78f04eed2887b07d23f6	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/065/SRR15511265	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/065/SRR15511265	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/065/SRR15511265	ED17F		Participant 17 FMD		2021-08-25			
SRR15511271	SRP333105	SAMN20837611	SRS9824890	SRX11810152	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	24		PAIRED	WGS	METAGENOMIC	RANDOM	12722257	3772641299	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 14 FMD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	24	ED14F_R1.fastq.gz	1155300884;1198654033	a2520d279d1001a4daca4d4916e4984e;346096cc22a367aedceccc16eed63a0b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/071/SRR15511271/SRR15511271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/071/SRR15511271/SRR15511271_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/071/SRR15511271/SRR15511271_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/071/SRR15511271/SRR15511271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/071/SRR15511271/SRR15511271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/071/SRR15511271/SRR15511271_2.fastq.gz							1768066441	3a3f820cf14626dc7963778e584fd13b	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/071/SRR15511271	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/071/SRR15511271	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/071/SRR15511271	ED14F		Participant 14 FMD		2021-08-25			
SRR15511272	SRP333105	SAMN20837610	SRS9824885	SRX11810151	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	23		PAIRED	WGS	METAGENOMIC	RANDOM	13714796	3939425505	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 13 WD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	23	ED13G_R1.fastq.gz	1185471654;1223655758	2eeb034e45f13670765e020638c68f59;aeb2faff7a396b0f03e0ad9865cfec9a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/072/SRR15511272/SRR15511272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/072/SRR15511272/SRR15511272_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/072/SRR15511272/SRR15511272_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/072/SRR15511272/SRR15511272_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/072/SRR15511272/SRR15511272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/072/SRR15511272/SRR15511272_2.fastq.gz							1807370797	4b9a3e5b55073821eadd51aa52617106	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/072/SRR15511272	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/072/SRR15511272	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/072/SRR15511272	ED13G		Participant 13 WD		2021-08-25			
SRR15511273	SRP333105	SAMN20837609	SRS9824886	SRX11810150	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	22		PAIRED	WGS	METAGENOMIC	RANDOM	15014879	4431279053	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 13 FMD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	22	ED13F_R1.fastq.gz	1355649619;1399777164	4a5fdc64f738489b848997afd606b738;5f16e2d28745294d9b54d62c760becb7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/073/SRR15511273/SRR15511273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/073/SRR15511273/SRR15511273_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/073/SRR15511273/SRR15511273_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/073/SRR15511273/SRR15511273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/073/SRR15511273/SRR15511273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/073/SRR15511273/SRR15511273_2.fastq.gz							2066684394	80b8de97f909cb21eda463e43d7e2320	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/073/SRR15511273	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/073/SRR15511273	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/073/SRR15511273	ED13F		Participant 13 FMD		2021-08-25			
SRR15511274	SRP333105	SAMN20837608	SRS9824887	SRX11810149	PRJNA755720	SRA1280103	408170	human gut metagenome	ILLUMINA	NextSeq 500	21		PAIRED	WGS	METAGENOMIC	RANDOM	16363914	4863794867	SUB10001498	2021-08-25	2021-08-25	NextSeq 500 sequencing: Participant 12 WD	Differential effects of western and mediterranean-type diets on gut microbiota: a metagenomics and metabolomics approach	PRJNA755720	21	ED12G_R1.fastq.gz	1419774132;1464488928	262591bb9f643c963da5564f27932f25;df3f895bde0e321ff8456bb05463dbb1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/074/SRR15511274/SRR15511274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/074/SRR15511274/SRR15511274_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/074/SRR15511274/SRR15511274_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/074/SRR15511274/SRR15511274_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/074/SRR15511274/SRR15511274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/074/SRR15511274/SRR15511274_2.fastq.gz							2149925851	7d935506c96377c6821c1a2b39f6c19f	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/074/SRR15511274	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/074/SRR15511274	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/074/SRR15511274	ED12G		Participant 12 WD		2021-08-25			
