feature	ERR2451926	ERR2451927	ERR2451928	ERR2451929	ERR2451930	ERR2451931	ERR2451932	ERR2451933	ERR2451934	ERR2451935	ERR2451936	ERR2451937	ERR2451938	ERR2451939	ERR2451940	ERR2451941	ERR2451942	ERR2451943	ERR2451944	ERR2451945	ERR2451946	ERR2451947	ERR2451948	ERR2451949	ERR2451950	ERR2451951	ERR2451952	ERR2451953	ERR2451954	ERR2451955
total_reads	43656254.0	69810120.0	29928014.0	36406302.0	26105936.0	32215863.0	29360660.0	55156782.0	20066809.0	43660127.0	32887169.0	33297581.0	41842128.0	60598595.0	48696570.0	56851220.0	74686767.0	44195213.0	50524950.0	62403853.0	43278172.0	91056545.0	34107740.0	41675193.0	24422138.0	59730667.0	49127519.0	53944288.0	27206364.0	74596748.0
filtered_reads	44457650.0	70234951.0	30645442.0	38563429.0	26253235.0	32360799.0	29603203.0	55723255.0	20195167.0	43885100.0	33107857.0	33615074.0	41900064.0	60951255.0	48799353.0	57106001.0	74974214.0	44414437.0	51427734.0	63142885.0	44126387.0	92295019.0	34221526.0	43377410.0	24531390.0	60154303.0	50200279.0	55567890.0	27368424.0	75078062.0
category	55510.88741	82183.53959	49877.79771	52394.81126	73313.27458	71191.44676	81470.82656	60277.61896	67140.18505	66482.4708	74562.82303	82994.33472	62499.0526	68765.05246	67047.51322	79805.85746	60967.88547	60761.39816	49505.70495	51132.11375	54999.51787	55142.72059	59992.94066	52045.78488	54616.02842	59314.90548	45567.70681	51227.69425	65984.17062	80681.07433
AA1	5.39016	1.60293	6.28364	8.11879	0.97141	0.33871	0.24229	1.6221	0.64223	0.25127	1.26246	0.15536	1.31643	3.03082	0.18716	4.12859	1.86964	2.57439	1.93327	2.84362	1.74333	1.72514	2.26582	4.76227	33.39484	1.74622	17.45139	8.99397	13.15229	18.1046
AA10	NA	0.01868	NA	NA	NA	0.12166	NA	NA	NA	0.20147	0.399	0.03904	NA	NA	0.01963	0.18385	NA	0.08864	0.11449	0.02078	0.05147	0.04266	NA	NA	NA	0.03318	0.21199	0.1003	NA	0.06612
AA1_2	NA	NA	NA	NA	NA	0.02525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04325
AA3	0.3682	0.31553	1.75267	1.84025	0.95553	0.45498	1.34671	0.19919	0.34627	0.29603	1.81129	2.17883	0.99989	0.95699	0.48217	0.94787	2.17433	0.53411	2.35152	2.09133	1.90127	1.12498	0.77186	0.51792	5.48601	0.26922	0.16753	0.44747	1.98005	5.79082
AA3_2	0.07077	0.09092	0.05709	0.10325	0.067	0.05436	0.02971	0.01578	NA	0.00466	0.01604	NA	0.01389	NA	0.00667	0.40907	0.01894	0.04644	0.18935	0.40972	0.18223	0.04508	0.033	0.05561	23.50643	0.06771	NA	0.02513	0.02018	0.55594
AA4	14.37093	2.12962	38.25843	38.84064	14.389	6.88834	14.34116	13.79323	8.67082	7.23938	16.87131	9.23471	5.66855	8.22653	22.24867	5.60873	12.78361	16.76917	7.18021	15.22477	14.12395	13.48607	27.53894	39.23253	51.41547	12.61877	30.81961	20.36069	14.74673	22.23124
AA6	27.46764	8.29747	5.51395	4.59439	40.74494	27.80117	26.05568	21.35511	8.76153	16.67849	21.83278	16.78384	14.36301	19.00604	27.0804	39.09334	5.46817	10.70617	26.13468	23.07604	6.49611	28.38244	12.51142	6.8523	31.06034	7.18197	14.92512	15.11077	10.00146	13.94517
AA7	26.2142	8.57625	82.28852	62.06198	22.7672	11.38118	27.89182	36.82085	21.97942	28.32392	31.93228	20.77041	38.32142	14.36194	15.40779	16.29543	25.62271	47.75473	31.00698	53.53986	33.50744	43.72273	39.68517	56.01935	16.99788	20.68311	44.61285	27.04259	39.75977	21.47369
AA8	NA	0.45699	NA	NA	NA	NA	NA	NA	NA	0.07995	0.05085	NA	0.09862	NA	NA	2.0179	NA	NA	0.1279	1.49053	0.1608	0.07524	0.05536	0.21619	21.78977	0.16898	NA	0.19996	NA	2.34652
CBM10	1.96837	NA	3.19915	1.01691	1.12031	1.51478	NA	2.63909	NA	0.4468	0.95182	NA	0.93593	2.41273	NA	2.06651	NA	NA	2.62653	1.43764	NA	1.76646	NA	2.03413	NA	0.65192	1.56237	1.44926	0.35822	0.13058
CBM12	71.73786	17.58932	37.2979	30.49499	34.52916	76.51742	17.60003	33.92329	13.71532	9.80435	5.89607	2.4364	8.42425	25.58533	25.35119	15.71958	21.5695	21.54277	54.37165	96.956	19.86621	16.63973	87.02971	169.00923	46.09924	28.02995	55.8766	46.19276	30.60768	11.70676
CBM13	165.3062	391.25492	185.15377	116.67207	201.83117	246.60084	180.60389	230.23083	54.3273	238.92192	140.95591	136.01306	106.19867	143.55787	118.8457	183.66084	84.10533	235.22505	83.07173	126.73381	109.68572	187.19916	103.64749	181.39783	72.4732	111.42222	115.80291	110.06765	200.20955	129.10792
CBM14	NA	NA	NA	1.55145	NA	NA	0.57744	0.15338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32131	0.05866	4.06757	1.20387	0.87414	0.68963	0.34841	0.07104	NA	NA	NA	NA
CBM16	0.0578	0.01914	0.08148	0.86947	0.04738	0.23148	0.04217	0.06721	0.15529	NA	0.57394	0.16869	1.32106	0.37358	0.07871	0.32337	0.03779	0.05622	0.02428	0.01977	0.02829	0.17129	1.54948	0.28649	0.26986	0.12556	0.32052	0.23514	0.43334	0.66534
CBM18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555
CBM2	31.20573	10.13022	25.34557	21.73016	43.68335	40.90857	68.47727	61.42975	39.06227	31.17676	69.01202	41.4579	39.96862	55.40737	30.81349	27.80118	34.39304	36.85615	32.15313	30.41749	36.54329	69.18962	23.47954	22.63063	32.85235	47.38742	26.36074	28.36096	21.74915	20.50475
CBM20	159.01879	413.82667	90.75745	137.52021	164.73341	135.14222	245.76121	61.93614	257.42196	157.0199	197.46315	199.54961	214.26898	238.90838	242.07664	214.0619	218.10108	169.03241	136.39838	145.03443	162.98744	103.26549	206.04389	141.48785	258.20921	283.33522	50.23723	76.01498	138.58046	241.44895
CBM21	NA	NA	NA	0.09499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.80707	0.13374	NA	0.01753	NA	NA	NA	NA	NA	NA	NA	0.02
CBM22	34.62807	4.51535	26.23797	21.04511	7.65418	20.44454	13.01336	60.14999	14.2352	56.48296	62.30486	24.33498	36.54248	38.02676	13.00731	14.5317	10.03505	36.05433	6.43175	16.29287	7.2349	40.10559	11.5643	22.99063	17.13505	36.92462	84.25179	80.79087	15.49981	7.37804
CBM23	21.13012	4.14054	7.22956	5.90387	8.56454	12.38823	0.81082	16.423	16.0946	43.50973	1.84846	10.17356	15.24697	33.85844	3.49845	5.77138	2.32993	20.75156	3.33536	12.89982	2.02179	12.92802	10.5621	12.29936	11.03637	19.67996	3.3024	1.88497	8.667	0.18992
CBM24	12.57688	0.97495	4.70579	1.66798	4.18754	5.20004	2.25456	4.02855	1.40552	5.83127	1.22256	1.84158	3.46296	5.83068	0.33484	0.48642	1.53592	8.44546	2.4965	3.87488	0.90649	1.66908	2.4493	10.39666	1.30818	3.42645	5.70936	3.52646	5.82585	1.5813
