Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,Sample Name,sample_type,source_material_id,SRA Study,timepoint,treatment
SRR10204251,AMPLICON,602,35569170,PRJNA564636,SAMN12718882,Metagenome or environmental,20161515,UNIVERSITY OF ALBERTA,2016-05-27,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX6924298,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M209W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M209W6,feces,4M209W6,SRP223742,Week6,Arabinoxylan
SRR10204252,AMPLICON,602,26506060,PRJNA564636,SAMN12718867,Metagenome or environmental,16283299,UNIVERSITY OF ALBERTA,2016-04-22,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX6924297,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M209W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M209W1,feces,4M209W1,SRP223742,Week1,Arabinoxylan
SRR10204253,AMPLICON,602,22706236,PRJNA564636,SAMN12718852,Metagenome or environmental,13500428,UNIVERSITY OF ALBERTA,2016-04-14,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX6924296,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M209BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M209BL,feces,4M209BL,SRP223742,Baseline,Arabinoxylan
SRR10204254,AMPLICON,602,21263242,PRJNA564636,SAMN12718841,Metagenome or environmental,13227864,UNIVERSITY OF ALBERTA,2015-09-24,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX6924295,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4F001BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4F001BL,feces,4F001BL,SRP223742,Baseline,Arabinoxylan
SRR10204255,AMPLICON,602,49912422,PRJNA564636,SAMN12718929,Metagenome or environmental,28012145,UNIVERSITY OF ALBERTA,2016-05-05,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX6924294,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M207W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M207W6,feces,1M207W6,SRP223742,Week6,MCC (Control)
SRR10204256,AMPLICON,602,26598768,PRJNA564636,SAMN12718913,Metagenome or environmental,16096887,UNIVERSITY OF ALBERTA,2016-03-31,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX6924293,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M207W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M207W1,feces,1M207W1,SRP223742,Week1,MCC (Control)
SRR10204257,AMPLICON,602,31210088,PRJNA564636,SAMN12718897,Metagenome or environmental,17732749,UNIVERSITY OF ALBERTA,2016-03-22,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX6924292,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M207BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M207BL,feces,1M207BL,SRP223742,Baseline,MCC (Control)
SRR10204258,AMPLICON,602,30840460,PRJNA564636,SAMN12718933,Metagenome or environmental,17592570,UNIVERSITY OF ALBERTA,2016-10-28,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX6924291,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M226W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M226W6,feces,1M226W6,SRP223742,Week6,MCC (Control)
SRR10204259,AMPLICON,602,25495904,PRJNA564636,SAMN12718917,Metagenome or environmental,15727111,UNIVERSITY OF ALBERTA,2016-09-22,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX6924290,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M226W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M226W1,feces,1M226W1,SRP223742,Week1,MCC (Control)
SRR10204260,AMPLICON,602,34632458,PRJNA564636,SAMN12718901,Metagenome or environmental,20490043,UNIVERSITY OF ALBERTA,2016-09-16,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX6924289,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M226BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M226BL,feces,1M226BL,SRP223742,Baseline,MCC (Control)
