feature	uniq_raw	uniq_lnorm	uniq_rpkm	combined_raw	combined_lnorm	combined_rpkm
total_reads	19950997.00000	19950997.00000	19950997.00000	19950997.00000	19950997.00000	19950997.00000
filtered_reads	20084967.00000	20084967.00000	20084967.00000	20084967.00000	20084967.00000	20084967.00000
category	84298.50000	122.10083	6079.21481	793090.43595	1254.19850	62444.63820
GH88	747.50000	0.84415	42.02874	3916.92448	5.42729	270.21656
GH73	375.00000	0.90368	44.99278	3977.36528	9.90663	493.23602
GH51	976.50000	0.81745	40.69943	12857.18752	11.31909	563.56013
GH15	24.00000	0.02563	1.27591	245.50000	0.29887	14.88024
GH13_8	148.50000	0.17792	8.85847	1759.71825	2.24588	111.81896
GT25	4.00000	0.00720	0.35863	22.00000	0.03995	1.98911
GH84	91.50000	0.11328	5.64001	915.48115	1.34616	67.02329
AA4	112.50000	0.14884	7.41057	394.19166	0.53787	26.77983
GT66	1.00000	0.00131	0.06508	28.50000	0.03139	1.56267
GH78	703.00000	0.53339	26.55692	6655.75929	5.75002	286.28460
GH16_21	20.00000	0.03396	1.69080	112.08333	0.19168	9.54339
GH13_18	44.00000	0.04727	2.35353	468.71226	0.53687	26.73013
CBM34	77.00000	0.22219	11.06261	667.92976	1.96885	98.02621
GH89	490.00000	0.29571	14.72303	3261.25000	2.79793	139.30472
GH109	35.50000	0.09824	4.89114	397.00000	1.12221	55.87291
GH27	165.00000	0.20103	10.00915	1761.16667	2.58429	128.66788
GH13_39	212.00000	0.22017	10.96183	1424.95906	1.49370	74.36883
PL8_2	15.50000	0.02203	1.09683	125.17870	0.17976	8.95014
CE15	21.50000	0.02795	1.39169	177.16667	0.22039	10.97310
GT23	14.00000	0.01944	0.96810	190.49167	0.25943	12.91680
GH43_17	20.00000	0.02585	1.28695	173.37500	0.23810	11.85464
GH123	86.50000	0.05864	2.91962	1002.00000	0.69082	34.39465
GH108	51.50000	0.18974	9.44668	411.50000	1.61660	80.48824
GH57	231.00000	0.28117	13.99904	2405.24376	2.82725	140.76470
CE1	1333.00000	2.04110	101.62312	13141.67789	20.54864	1023.08545
GH165	13.00000	0.00805	0.40097	67.50000	0.04081	2.03186
GH13_42	438.50000	0.35762	17.80556	5200.35112	4.38323	218.23434
GH13_20	49.00000	0.05536	2.75651	402.68032	0.46033	22.91933
GH13_31	110.00000	0.10672	5.31341	845.93048	0.81817	40.73568
GT3	291.50000	0.28352	14.11584	3316.39091	3.32215	165.40465
CBM62	27.00000	0.10222	5.08926	249.00000	0.87552	43.59093
GH43_31	7.00000	0.00883	0.43987	51.84847	0.06646	3.30883
AA7	59.50000	0.40315	20.07203	574.18334	1.74423	86.84274
CBM20	102.00000	0.37780	18.81032	1096.69901	4.05015	201.65104
CE4	799.00000	1.91763	95.47608	6174.60000	15.61293	777.34412
PL11_1	345.00000	0.18868	9.39413	2199.21770	1.23273	61.37552
GH85	126.50000	0.14318	7.12883	1529.50000	1.94392	96.78506
