"","run_accession","secondary_study_accession","sample_accession","secondary_sample_accession","experiment_accession","study_accession","submission_accession","tax_id","scientific_name","instrument_platform","instrument_model","library_name","nominal_length","library_layout","library_strategy","library_source","library_selection","read_count","base_count","center_name","first_public","last_updated","experiment_title","study_title","study_alias","experiment_alias","run_alias","fastq_bytes","fastq_md5","fastq_ftp","fastq_aspera","fastq_galaxy","submitted_bytes","submitted_md5","submitted_ftp","submitted_aspera","submitted_galaxy","submitted_format","sra_bytes","sra_md5","sra_ftp","sra_aspera","sra_galaxy","sample_alias","broker_name","Sample","Week","Intervention","nominal_sdev","Week","bam_ftp","bam_bytes","bam_md5"
"1","ERR5956517","ERP128019","SAMEA8793735","ERS6478085","ERX5597038","PRJEB44020","ERA4412139",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16396256,1975701349,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week1_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week1_Study1PeaFiber","webin-reads-TP01-01_Week1_Study1PeaFiber","598122769;630817383","3bcf9e7f84b5a4fb68ebd7e0f3660157;7e09cbc7ce1bdad37dbce5eccd66f3bc","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956517/ERR5956517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956517/ERR5956517_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/007/ERR5956517/ERR5956517_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/007/ERR5956517/ERR5956517_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956517/ERR5956517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956517/ERR5956517_2.fastq.gz","575587255;608047514","7a632b97b65753099552b363e9833534;b2ec5a6356e7b45227374dc6cac44668","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956517/TP01-01_TS1_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956517/TP01-01_TS1_Wk1_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956517/TP01-01_TS1_Wk1_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956517/TP01-01_TS1_Wk1_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956517/TP01-01_TS1_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956517/TP01-01_TS1_Wk1_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week1_Study1PeaFiber",NA,"TP01-01","1","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/007/ERR5956517.bam",1224096547,"03225c94293d65ac25ab26640d45ad9f"
"2","ERR5956713","ERP128019","SAMEA8793865","ERS6478215","ERX5597234","PRJEB44020","ERA4412391",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",20585406,2542768480,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week1_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week1_Study2OrangeFiber","webin-reads-TP01-01_Week1_Study2OrangeFiber","772560485;886145505","1dd18342102f203299161cd80f9e5c90;80e12d4f5ba7fb4a7f529347dc3c63ab","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956713/ERR5956713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956713/ERR5956713_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956713/ERR5956713_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956713/ERR5956713_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956713/ERR5956713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956713/ERR5956713_2.fastq.gz","737439780;851505736","6609d86fd76739599bebf9c900c6244a;34f72c70db1e8684a70246b4d3eadfa9","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956713/TP01-01_TS2_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956713/TP01-01_TS2_Wk1_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956713/TP01-01_TS2_Wk1_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956713/TP01-01_TS2_Wk1_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956713/TP01-01_TS2_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956713/TP01-01_TS2_Wk1_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week1_Study2OrangeFiber",NA,"TP01-01","1","Study2OrangeFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/003/ERR5956713.bam",1671146016,"6dfef68596f37556e05f5f7d32f7f577"
"3","ERR5956519","ERP128019","SAMEA8793736","ERS6478086","ERX5597040","PRJEB44020","ERA4412170",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",15143624,1845790314,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week2_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week2_Study1PeaFiber","webin-reads-TP01-01_Week2_Study1PeaFiber","568343488;586437769","e7f81c1fe34c3eab6f51b168d0f7c6cf;73f49743e2e92a4ff9ded4aa0fcd28c4","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956519/ERR5956519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956519/ERR5956519_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/009/ERR5956519/ERR5956519_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/009/ERR5956519/ERR5956519_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956519/ERR5956519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956519/ERR5956519_2.fastq.gz","547591585;565451247","e3fb4db08cf0393c0e38f6b11fd73e20;b395aad8c74e0d6197091578d400be13","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956519/TP01-01_TS1_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956519/TP01-01_TS1_Wk2_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956519/TP01-01_TS1_Wk2_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956519/TP01-01_TS1_Wk2_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956519/TP01-01_TS1_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956519/TP01-01_TS1_Wk2_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week2_Study1PeaFiber",NA,"TP01-01","2","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/009/ERR5956519.bam",1151417721,"2e6b66335d5eddb4f61523544adb6a78"
"4","ERR5956714","ERP128019","SAMEA8793866","ERS6478216","ERX5597235","PRJEB44020","ERA4412392",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",19229752,2392986576,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week2_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week2_Study2OrangeFiber","webin-reads-TP01-01_Week2_Study2OrangeFiber","763378911;848219869","ad96bc785b7ec608e3781dbb526077ca;578ff3c814cc106f8f4a76e4a1a034e5","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956714/ERR5956714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956714/ERR5956714_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956714/ERR5956714_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956714/ERR5956714_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956714/ERR5956714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956714/ERR5956714_2.fastq.gz","730652424;815748194","ca22840478ebb17304d40ae420d3bb3b;04e8b84bd11801e59aaed104bcdd0af8","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956714/TP01-01_TS2_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956714/TP01-01_TS2_Wk2_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956714/TP01-01_TS2_Wk2_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956714/TP01-01_TS2_Wk2_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956714/TP01-01_TS2_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956714/TP01-01_TS2_Wk2_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week2_Study2OrangeFiber",NA,"TP01-01","2","Study2OrangeFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/004/ERR5956714.bam",1627352997,"3c7db23d5a190f1cf12bbb8c46f6f008"
"5","ERR5956520","ERP128019","SAMEA8793737","ERS6478087","ERX5597041","PRJEB44020","ERA4412171",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16712338,2122777781,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week3_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week3_Study1PeaFiber","webin-reads-TP01-01_Week3_Study1PeaFiber","650210900;668541786","be77f0ac5a597747bae27bb3c301d624;46871dd6d7182db1e1259c576c0b390a","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956520/ERR5956520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956520/ERR5956520_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/000/ERR5956520/ERR5956520_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/000/ERR5956520/ERR5956520_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956520/ERR5956520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956520/ERR5956520_2.fastq.gz","627505300;645564251","13d44ccc677a241ee810aef92bea84d6;b814170dbe4700c30578d9dc066ee491","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956520/TP01-01_TS1_Wk3_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956520/TP01-01_TS1_Wk3_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956520/TP01-01_TS1_Wk3_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956520/TP01-01_TS1_Wk3_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956520/TP01-01_TS1_Wk3_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956520/TP01-01_TS1_Wk3_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week3_Study1PeaFiber",NA,"TP01-01","3","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/000/ERR5956520.bam",1313343120,"dde4517c3f048a0f802c49d166748d93"
"6","ERR5956522","ERP128019","SAMEA8793738","ERS6478088","ERX5597043","PRJEB44020","ERA4412173",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",15941452,2002494336,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week4_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week4_Study1PeaFiber","webin-reads-TP01-01_Week4_Study1PeaFiber","608667939;625660904","5869da2cb0fca0485b4412e9f761dcc6;55ad49b1030945ef8b7fc0501a44a78f","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956522/ERR5956522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956522/ERR5956522_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/002/ERR5956522/ERR5956522_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/002/ERR5956522/ERR5956522_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956522/ERR5956522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956522/ERR5956522_2.fastq.gz","586780029;603552256","a258ae66d11fd72d40a49a69a0b73fe4;4c9b1a80040cc33038450619d0444e3f","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956522/TP01-01_TS1_Wk4_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956522/TP01-01_TS1_Wk4_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956522/TP01-01_TS1_Wk4_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956522/TP01-01_TS1_Wk4_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956522/TP01-01_TS1_Wk4_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956522/TP01-01_TS1_Wk4_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week4_Study1PeaFiber",NA,"TP01-01","4","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/002/ERR5956522.bam",1227886270,"ecda8749a0f3e9f3ae9f6b46917ca9d1"
"7","ERR5956525","ERP128019","SAMEA8793739","ERS6478089","ERX5597046","PRJEB44020","ERA4412176",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16815064,2051952104,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week5_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week5_Study1PeaFiber","webin-reads-TP01-01_Week5_Study1PeaFiber","661412312;732768986","9c9219341db00ed9f560bcc281fa24fa;b9437ff713234d4e426341f020348bed","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5956525/ERR5956525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5956525/ERR5956525_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/005/ERR5956525/ERR5956525_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/005/ERR5956525/ERR5956525_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5956525/ERR5956525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5956525/ERR5956525_2.fastq.gz","638761230;709301301","06f5728f3f5517cb63c9388012a4f011;2953048eb078387d62ebea0cd8fa4cc1","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956525/TP01-01_TS1_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956525/TP01-01_TS1_Wk5_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956525/TP01-01_TS1_Wk5_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956525/TP01-01_TS1_Wk5_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956525/TP01-01_TS1_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956525/TP01-01_TS1_Wk5_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week5_Study1PeaFiber",NA,"TP01-01","5","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/005/ERR5956525.bam",1417124315,"9331e37707120be2d0191765ddeedf2b"
"8","ERR5956716","ERP128019","SAMEA8793867","ERS6478217","ERX5597237","PRJEB44020","ERA4412394",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",19625290,2510155496,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week5_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week5_Study2OrangeFiber","webin-reads-TP01-01_Week5_Study2OrangeFiber","766104354;879557332","d99fddbe90cccc025f7ee209f5962bb1;0d2f8bdfe506c8275b65f8d62cd62b9c","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5956716/ERR5956716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5956716/ERR5956716_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/006/ERR5956716/ERR5956716_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/006/ERR5956716/ERR5956716_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5956716/ERR5956716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5956716/ERR5956716_2.fastq.gz","732163356;846205501","9153be02e8cbdea01fc7d094ffbfaba1;5a8874d4272ba66fe8e7725dfddcc7c1","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956716/TP01-01_TS2_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956716/TP01-01_TS2_Wk5_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956716/TP01-01_TS2_Wk5_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956716/TP01-01_TS2_Wk5_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956716/TP01-01_TS2_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956716/TP01-01_TS2_Wk5_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week5_Study2OrangeFiber",NA,"TP01-01","5","Study2OrangeFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/006/ERR5956716.bam",1656774467,"3ada60d04cb59661b521227840e1a416"
"9","ERR5956717","ERP128019","SAMEA8793868","ERS6478218","ERX5597238","PRJEB44020","ERA4412395",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",19883196,2531383673,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week8_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week8_Study2OrangeFiber","webin-reads-TP01-01_Week8_Study2OrangeFiber","769598027;890194570","d16dcbe34ff2b965289ddd0532c01f74;68baad1fa7bdbff3e2704135788411ab","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956717/ERR5956717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956717/ERR5956717_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/007/ERR5956717/ERR5956717_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/007/ERR5956717/ERR5956717_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956717/ERR5956717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956717/ERR5956717_2.fastq.gz","735469438;856602551","be6f04cb4764ba1136fa992cd3b132fe;1e18dbb19ca669203021268f201e4c38","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956717/TP01-01_TS2_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956717/TP01-01_TS2_Wk8_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956717/TP01-01_TS2_Wk8_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956717/TP01-01_TS2_Wk8_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956717/TP01-01_TS2_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956717/TP01-01_TS2_Wk8_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week8_Study2OrangeFiber",NA,"TP01-01","8","Study2OrangeFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/007/ERR5956717.bam",1671802229,"9a7b4f1ab48df0c55d83f816adae51e0"
"10","ERR5956527","ERP128019","SAMEA8793740","ERS6478090","ERX5597048","PRJEB44020","ERA4412179",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",15977470,1971361244,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP01-01_Week8_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP01-01_Week8_Study1PeaFiber","webin-reads-TP01-01_Week8_Study1PeaFiber","598990293;614627759","7b0c215e11ec83530d157814aa199802;99c9e1b90144597626b96f45021d851a","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956527/ERR5956527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956527/ERR5956527_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/007/ERR5956527/ERR5956527_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/007/ERR5956527/ERR5956527_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956527/ERR5956527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5956527/ERR5956527_2.fastq.gz","576893627;592318176","4ad4a49733296c28f8b500cf0c02297e;10cb14f4371e5dc1d13e40d54780cc7c","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956527/TP01-01_TS1_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956527/TP01-01_TS1_Wk8_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956527/TP01-01_TS1_Wk8_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956527/TP01-01_TS1_Wk8_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956527/TP01-01_TS1_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956527/TP01-01_TS1_Wk8_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP01-01_Week8_Study1PeaFiber",NA,"TP01-01","8","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/007/ERR5956527.bam",1207705629,"26d00c5ccf54ac56b624e1ba6ab45c6d"
