Run,Assay Type,AvgSpotLen,Bases,bio_material,BioProject,BioSample,Bytes,Center Name,collection_timepoint,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Diet,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,host_scientific_name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Participant_ID,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study,Submitter_Id,INSDC_center_alias,Scientific_Name
ERR5956517,OTHER,240,1975701349,Stool,PRJEB44020,SAMEA8793735,831752731,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week1,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Free diet,2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597038,SAMEA8793735,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-01,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T01:36:00Z,1,SAMEA8793735,TP01-01_Week1_Study1PeaFiber,ERP128019,TP01-01_Week1_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956519,OTHER,243,1845790314,Stool,PRJEB44020,SAMEA8793736,783540908,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week2,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Free diet,2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597040,SAMEA8793736,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-01,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T01:36:00Z,1,SAMEA8793736,TP01-01_Week2_Study1PeaFiber,ERP128019,TP01-01_Week2_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956520,OTHER,254,2122777781,Stool,PRJEB44020,SAMEA8793737,900090594,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week3,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Pea fiber (1 snack a day),2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597041,SAMEA8793737,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-01,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T01:36:00Z,1,SAMEA8793737,TP01-01_Week3_Study1PeaFiber,ERP128019,TP01-01_Week3_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956522,OTHER,251,2002494336,Stool,PRJEB44020,SAMEA8793738,839378588,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week4,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Pea fiber (2 snacks a day),2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597043,SAMEA8793738,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-01,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T01:36:00Z,1,SAMEA8793738,TP01-01_Week4_Study1PeaFiber,ERP128019,TP01-01_Week4_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956525,OTHER,244,2051952104,Stool,PRJEB44020,SAMEA8793739,965222803,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week5,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Pea fiber (3 snacks a day),2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597046,SAMEA8793739,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-01,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T01:36:00Z,1,SAMEA8793739,TP01-01_Week5_Study1PeaFiber,ERP128019,TP01-01_Week5_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956527,OTHER,246,1971361244,Stool,PRJEB44020,SAMEA8793740,823141673,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week8,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Pea fiber (3 snacks a day),2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597048,SAMEA8793740,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-01,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T01:36:00Z,1,SAMEA8793740,TP01-01_Week8_Study1PeaFiber,ERP128019,TP01-01_Week8_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956536,OTHER,244,1942427627,Stool,PRJEB44020,SAMEA8793741,825722385,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week9,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Free diet,2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597057,SAMEA8793741,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-01,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T23:36:00Z,1,SAMEA8793741,TP01-01_Week9_Study1PeaFiber,ERP128019,TP01-01_Week9_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956561,OTHER,243,2093764924,Stool,PRJEB44020,SAMEA8793742,874419645,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week1,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Free diet,2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597082,SAMEA8793742,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-02,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T01:36:00Z,1,SAMEA8793742,TP01-02_Week1_Study1PeaFiber,ERP128019,TP01-02_Week1_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956562,OTHER,245,2053467274,Stool,PRJEB44020,SAMEA8793743,860072906,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week2,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Free diet,2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597083,SAMEA8793743,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-02,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T23:37:00Z,1,SAMEA8793743,TP01-02_Week2_Study1PeaFiber,ERP128019,TP01-02_Week2_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
ERR5956563,OTHER,240,1985201204,Stool,PRJEB44020,SAMEA8793744,827878640,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,Week3,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Pea fiber (1 snack a day),2022-04-14,2022-04-14,2022-04-14,2022-04-14,ERX5597084,SAMEA8793744,Homo sapiens,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2022-04-14T00:23:43Z,2022-04-14T00:23:43Z,public,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,TP01-02,ILLUMINA,2022-04-14T00:00:00Z,2022-05-12T23:37:00Z,1,SAMEA8793744,TP01-02_Week3_Study1PeaFiber,ERP128019,TP01-02_Week3_Study1PeaFiber,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,
