Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25367496,AMPLICON,502,25581418,PRJNA944997,SAMN36658471,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16095159,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107168,USA,North America,USA,Homo sapiens,Illumina MiSeq,334TP02,42.4440 N 76.5019 W,334TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,334TP02,SRP450576
SRR25367497,AMPLICON,502,24169794,PRJNA944997,SAMN36657991,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13739708,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107167,USA,North America,USA,Homo sapiens,Illumina MiSeq,334TP01,42.4440 N 76.5019 W,334TP01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,334TP01,SRP450576
SRR25367502,AMPLICON,502,39710208,PRJNA944997,SAMN36658395,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",25302856,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107162,USA,North America,USA,Homo sapiens,Illumina MiSeq,321TP02,42.4440 N 76.5019 W,321TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:27:00Z,1,321TP02,SRP450576
SRR25367503,AMPLICON,502,21328976,PRJNA944997,SAMN36658153,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12038788,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107161,USA,North America,USA,Homo sapiens,Illumina MiSeq,388TP09,42.4440 N 76.5019 W,388TP09,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,388TP09,SRP450576
SRR25367505,AMPLICON,502,22939392,PRJNA944997,SAMN36658843,"MIGS/MIMS/MIMARKS.human-gut,MIMARKS.survey",14921199,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107159,USA,North America,USA,Homo sapiens,Illumina MiSeq,388TP07.2,42.4440 N 76.5019 W,388TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,388TP07.2,SRP450576
SRR25367521,AMPLICON,502,37686144,PRJNA944997,SAMN36658515,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",24009366,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107143,USA,North America,USA,Homo sapiens,Illumina MiSeq,387TP08,42.4440 N 76.5019 W,387TP08,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,387TP08,SRP450576
SRR25367522,AMPLICON,502,20261222,PRJNA944997,SAMN36658844,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13270156,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107142,USA,North America,USA,Homo sapiens,Illumina MiSeq,387TP07.2,42.4440 N 76.5019 W,387TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,387TP07.2,SRP450576
SRR25367523,AMPLICON,502,11998804,PRJNA944997,SAMN36658382,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",6813638,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107141,USA,North America,USA,Homo sapiens,Illumina MiSeq,387TP07,42.4440 N 76.5019 W,387TP07,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,387TP07,SRP450576
SRR25367524,AMPLICON,502,50867158,PRJNA944997,SAMN36658381,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",30756476,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107140,USA,North America,USA,Homo sapiens,Illumina MiSeq,387TP06,42.4440 N 76.5019 W,387TP06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,387TP06,SRP450576
SRR25367530,AMPLICON,502,28234488,PRJNA944997,SAMN36658578,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16373536,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107134,USA,North America,USA,Homo sapiens,Illumina MiSeq,386TP05,42.4440 N 76.5019 W,386TP05,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,386TP05,SRP450576
