Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study
SRR34844305,AMPLICON,570,13675440,PRJNA1300638,SAMN50421112,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8330004,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976522,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102610-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_102610,2025-08-02T05:07:00Z,1,102610-1-1,SRP605981
SRR34844306,AMPLICON,570,18628170,PRJNA1300638,SAMN50421372,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11119691,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976521,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103132-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_103132,2025-08-02T05:07:00Z,1,103132-3-1,SRP605981
SRR34844307,AMPLICON,570,16634880,PRJNA1300638,SAMN50421371,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10001124,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976520,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103132-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Placebo_103132,2025-08-02T05:07:00Z,1,103132-2-1,SRP605981
SRR34844308,AMPLICON,570,20032650,PRJNA1300638,SAMN50421370,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11905940,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976519,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103132-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Placebo_103132,2025-08-02T05:07:00Z,1,103132-1-1,SRP605981
SRR34844309,AMPLICON,570,11977410,PRJNA1300638,SAMN50421369,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7103123,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976518,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103115-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_103115,2025-08-02T05:07:00Z,1,103115-3-1,SRP605981
SRR34844310,AMPLICON,570,18087240,PRJNA1300638,SAMN50421368,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10414702,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976517,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103115-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Placebo_103115,2025-08-02T05:07:00Z,1,103115-2-1,SRP605981
SRR34844311,AMPLICON,570,18623040,PRJNA1300638,SAMN50421367,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11084810,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976516,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103115-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Placebo_103115,2025-08-02T05:07:00Z,1,103115-1-1,SRP605981
SRR34844312,AMPLICON,570,16685040,PRJNA1300638,SAMN50421366,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9830203,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976515,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103114-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_103114,2025-08-02T05:07:00Z,1,103114-3-1,SRP605981
SRR34844313,AMPLICON,570,17760630,PRJNA1300638,SAMN50421365,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10619749,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976514,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103114-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Treatment_103114,2025-08-02T05:07:00Z,1,103114-2-1,SRP605981
SRR34844314,AMPLICON,570,18583140,PRJNA1300638,SAMN50421364,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11300343,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976513,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103114-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_103114,2025-08-02T05:07:00Z,1,103114-1-1,SRP605981
SRR34844315,AMPLICON,570,15431610,PRJNA1300638,SAMN50421363,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9142608,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976512,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103111-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_103111,2025-08-02T05:07:00Z,1,103111-3-1,SRP605981
SRR34844316,AMPLICON,570,18953640,PRJNA1300638,SAMN50421111,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11162341,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976511,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102609-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_102609,2025-08-02T05:07:00Z,1,102609-3-1,SRP605981
SRR34844317,AMPLICON,570,17449410,PRJNA1300638,SAMN50421362,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10450629,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976510,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103111-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Treatment_103111,2025-08-02T05:07:00Z,1,103111-2-1,SRP605981
SRR34844318,AMPLICON,570,22487070,PRJNA1300638,SAMN50421361,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13323729,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976509,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103111-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_103111,2025-08-02T05:07:00Z,1,103111-1-1,SRP605981
SRR34844319,AMPLICON,570,18375660,PRJNA1300638,SAMN50421360,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10816418,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976508,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103108-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_103108,2025-08-02T05:07:00Z,1,103108-3-1,SRP605981
SRR34844320,AMPLICON,570,14484840,PRJNA1300638,SAMN50421359,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8514737,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976507,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103108-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Placebo_103108,2025-08-02T05:07:00Z,1,103108-2-1,SRP605981
SRR34844321,AMPLICON,570,17523510,PRJNA1300638,SAMN50421358,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10434405,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976506,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103108-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Placebo_103108,2025-08-02T05:07:00Z,1,103108-1-1,SRP605981
SRR34844322,AMPLICON,570,15610590,PRJNA1300638,SAMN50421306,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9206846,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976505,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103045-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_103045,2025-08-02T05:07:00Z,1,103045-3-1,SRP605981
SRR34844323,AMPLICON,570,12782820,PRJNA1300638,SAMN50421305,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7617795,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976504,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103045-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Placebo_103045,2025-08-02T05:07:00Z,1,103045-2-1,SRP605981
SRR34844324,AMPLICON,570,13194930,PRJNA1300638,SAMN50421304,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7858688,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976503,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103045-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Placebo_103045,2025-08-02T05:07:00Z,1,103045-1-1,SRP605981
