Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environmental_package,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id
ERR7959253,AMPLICON,499,35704596,PRJEB49980,SAMEA12221247,22687285,UNIVERSITY OF LUBECK,human,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526474,SAMEA12221247,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-21T21:11:00Z,1,SAMEA12221247,1201713396,Illumina MiSeq,ERP134527,1201713396
ERR7959254,AMPLICON,499,37648381,PRJEB49980,SAMEA12221248,23544176,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526475,SAMEA12221248,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221248,1201713397,Illumina MiSeq,ERP134527,1201713397
ERR7959255,AMPLICON,499,20678485,PRJEB49980,SAMEA12221249,12705269,UNIVERSITY OF LUBECK,human,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526476,SAMEA12221249,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-13T08:05:00Z,1,SAMEA12221249,1201713398,Illumina MiSeq,ERP134527,1201713398
ERR7959256,AMPLICON,551,34311245,PRJEB49980,SAMEA12221250,20060613,UNIVERSITY OF LUBECK,human,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526477,SAMEA12221250,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221250,1201713399,Illumina MiSeq,ERP134527,1201713399
ERR7959257,AMPLICON,551,23364768,PRJEB49980,SAMEA12221251,14112014,UNIVERSITY OF LUBECK,human,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526478,SAMEA12221251,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221251,1201713400,Illumina MiSeq,ERP134527,1201713400
ERR7959258,AMPLICON,499,42738015,PRJEB49980,SAMEA12221252,25936658,UNIVERSITY OF LUBECK,human,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526479,SAMEA12221252,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-29T17:48:00Z,1,SAMEA12221252,1201713401,Illumina MiSeq,ERP134527,1201713401
ERR7959259,AMPLICON,551,30680066,PRJEB49980,SAMEA12221253,18443021,UNIVERSITY OF LUBECK,human,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526480,SAMEA12221253,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221253,1201713402,Illumina MiSeq,ERP134527,1201713402
ERR7959260,AMPLICON,499,27149798,PRJEB49980,SAMEA12221254,16868964,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526481,SAMEA12221254,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221254,1201713403,Illumina MiSeq,ERP134527,1201713403
ERR7959261,AMPLICON,551,69454506,PRJEB49980,SAMEA12221255,39799946,UNIVERSITY OF LUBECK,human,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526482,SAMEA12221255,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-16T16:17:00Z,1,SAMEA12221255,1201713404,Illumina MiSeq,ERP134527,1201713404
ERR7959262,AMPLICON,499,22312655,PRJEB49980,SAMEA12221256,13862467,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526483,SAMEA12221256,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:02:00Z,1,SAMEA12221256,1201713405,Illumina MiSeq,ERP134527,1201713405
ERR7959263,AMPLICON,499,33582185,PRJEB49980,SAMEA12221257,20726243,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526484,SAMEA12221257,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221257,1201713406,Illumina MiSeq,ERP134527,1201713406
ERR7959264,AMPLICON,551,42280931,PRJEB49980,SAMEA12221258,25129559,UNIVERSITY OF LUBECK,human,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526485,SAMEA12221258,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T11:58:00Z,1,SAMEA12221258,1201713407,Illumina MiSeq,ERP134527,1201713407
ERR7959265,AMPLICON,499,23401499,PRJEB49980,SAMEA12221259,14778161,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526486,SAMEA12221259,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221259,1201713408,Illumina MiSeq,ERP134527,1201713408
