feature	ERR1995525	ERR1999767	ERR1999768	ERR1999769	ERR1999770	ERR1999771	ERR1999772	ERR1999773	ERR1999774	ERR1999775	ERR1999776	ERR1999777	ERR1999778	ERR1999779	ERR1999780	ERR1999781	ERR1999782	ERR1999783	ERR1999784	ERR1999785	ERR1999786	ERR1999787	ERR1999788	ERR1999789	ERR1999790	ERR1999791	ERR1999792	ERR1999793	ERR1999794	ERR1999795	ERR1999796	ERR1999797	ERR1999798	ERR1999799	ERR1999800	ERR1999801	ERR1999802	ERR1999803	ERR1999804	ERR1999805	ERR1999806	ERR1999807	ERR1999808	ERR1999809	ERR1999810	ERR1999811	ERR1999812	ERR1999813	ERR1999814	ERR1999815	ERR1999816	ERR1999817	ERR1999818	ERR1999819	ERR1999820	ERR1999821	ERR1999822	ERR1999823	ERR1999824	ERR1999825	ERR1999826	ERR1999827	ERR1999828	ERR1999829	ERR1999830	ERR1999831	ERR1999832	ERR1999833	ERR1999834	ERR1999835	ERR1999836	ERR1999837	ERR1999838	ERR1999839	ERR1999840	ERR1999841	ERR1999842	ERR1999843	ERR1999844
total_reads	10066861.0	16155679.0	15702257.0	2988084.0	2834113.0	2375894.0	13904317.0	8230438.0	6977131.0	14419415.0	3434735.0	4756803.0	11311160.0	3965173.0	1616129.0	6135137.0	5523770.0	6169522.0	2129698.0	3832831.0	3531257.0	7655484.0	10293363.0	5166744.0	2602789.0	4139123.0	4036624.0	3013850.0	2958012.0	2924729.0	3520100.0	15639829.0	11226559.0	7403277.0	6820868.0	4963098.0	7194306.0	3343582.0	2356797.0	1372546.0	8058079.0	7119241.0	5571199.0	4760295.0	3784609.0	6585411.0	3106989.0	2014321.0	4711137.0	5132007.0	1225321.0	4635499.0	6594260.0	10016859.0	5421626.0	3783512.0	1640858.0	13542199.0	4162096.0	2324105.0	3458635.0	4916290.0	5104831.0	6377806.0	6189588.0	2762031.0	14208763.0	3409099.0	1986107.0	11326648.0	2786900.0	2021090.0	17930193.0	13537255.0	3091244.0	1656014.0	6128385.0	6048165.0	3540509.0
filtered_reads	9864173.0	15031951.0	14710158.0	2779354.0	2608624.0	2246688.0	13134420.0	7669002.0	6515079.0	13158718.0	3174593.0	4428925.0	10543001.0	3664915.0	1487274.0	5718253.0	5153127.0	5711581.0	1983701.0	3560861.0	3275598.0	7028948.0	9465786.0	4848889.0	2443971.0	3809041.0	3754917.0	2846835.0	2784985.0	2715941.0	3301498.0	14728004.0	10535078.0	6914743.0	6366591.0	4577671.0	6677942.0	3070637.0	2169960.0	1283039.0	7564158.0	6613533.0	5170328.0	4415172.0	3510797.0	6112819.0	2872967.0	1836648.0	4313578.0	4609564.0	1118932.0	4338550.0	6161871.0	9322108.0	5051810.0	3505220.0	1521387.0	12239749.0	3836273.0	2146932.0	3224865.0	4581915.0	4716844.0	5897508.0	5775427.0	2552250.0	13076505.0	3155250.0	1827967.0	10456190.0	2554987.0	1897623.0	16797536.0	12563460.0	2864605.0	1525643.0	5652316.0	5502803.0	3224279.0
category	8165.70823	32975.85192	33339.21507	31610.69769	32801.20137	36011.85733	34062.52358	30571.32106	31251.79017	30927.74687	34622.80052	31171.8666	31626.02088	33439.96034	32459.26936	31087.13272	31329.98489	30299.36237	32558.30166	30463.60685	27945.19896	32783.25583	27959.95741	32848.49514	34156.30033	31399.41692	33737.79028	37021.17759	34456.10695	37497.20909	36756.48823	33056.28657	31298.78815	33499.29156	33193.15698	33036.23496	28334.50408	27321.74987	27324.61959	31606.01798	37711.77682	32451.28878	35226.53909	25837.33458	27362.50017	30879.43593	26913.33627	23254.01061	24734.53382	23999.79484	28407.97025	32409.76046	31052.42404	33010.68121	35198.031	29025.45922	29608.65437	33076.1967	31374.5606	25257.8876	29417.08294	41375.59294	32357.82232	24587.25046	31389.9384	33863.06151	28264.44505	31681.96278	25946.96502	35921.96304	28905.23662	33086.70785	30863.26297	30310.12228	28416.22584	25237.53693	32105.45918	31428.4929	28331.55062
AA1	1.28354	1.01808	0.72051	0.23702	0.96294	0.43147	3.23263	0.39361	0.94055	0.26801	0.35436	6.34459	1.26498	0.99574	0.58382	2.639	0.90202	2.82967	2.37794	1.97768	4.19129	2.86348	2.37124	0.09215	0.99363	0.47608	1.82229	0.31847	1.57456	2.7853	0.62137	1.19088	1.59468	3.61516	2.97451	0.40362	0.444	2.2079	4.90979	NA	1.02551	1.34635	NA	2.07095	1.68345	11.37366	8.96894	1.37754	9.33151	3.80104	2.36605	3.18936	2.24454	4.25783	2.46381	0.93271	1.20384	0.24887	0.16121	1.63208	2.53809	0.98569	3.72755	5.81445	16.84446	19.91746	1.64028	1.22901	7.90386	5.59485	11.40303	2.00264	1.93851	1.20546	2.19044	2.58066	1.87603	0.98042	2.46593
AA10	NA	0.34921	0.08921	NA	NA	NA	0.09992	0.34224	0.75663	NA	NA	NA	NA	0.26751	NA	0.97466	0.764	0.22977	1.48645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87198	0.29942	1.23264	NA	NA	0.42738	NA	NA	0.25326	NA	NA	0.29723	NA	NA	NA	NA	NA	NA	1.17285	NA	0.42595	0.28155	NA	1.12318	NA	0.11005	0.34209	NA	0.38009	NA	0.24885	0.22252	0.1728	0.4056	0.32216	NA	NA	NA	NA	0.69157	0.28751	0.60241	NA	NA	NA	NA	NA
AA3	NA	0.31017	1.09526	NA	0.44679	1.03753	2.39588	0.45593	0.17889	0.29363	0.4646	2.5431	NA	NA	NA	0.58196	0.45235	NA	NA	NA	NA	0.64638	0.23297	0.84872	1.43066	0.49959	1.01359	1.89666	1.41194	1.2874	0.70604	1.00165	1.54889	0.47889	1.03726	NA	0.12884	NA	NA	1.48317	0.09749	0.70492	0.28527	0.16703	0.87401	3.02407	2.02839	1.2781	NA	1.07881	NA	0.08289	0.64347	1.24887	1.15355	NA	NA	0.34592	0.19223	0.54287	1.64275	0.16095	0.58646	0.45529	0.98266	1.51374	0.82963	0.23373	0.09497	0.45123	NA	0.83361	0.47684	0.0587	1.4213	0.48338	0.13047	0.40205	0.22872
AA3_2	NA	0.03041	0.01963	NA	NA	NA	NA	NA	NA	0.02399	NA	0.94845	0.02988	NA	NA	NA	NA	0.05384	NA	NA	NA	NA	0.02763	NA	NA	NA	NA	NA	0.331	NA	NA	0.0134	0.2378	NA	0.1367	NA	0.0419	NA	NA	NA	NA	NA	NA	NA	NA	0.98833	NA	0.23943	NA	0.33804	NA	0.12909	NA	0.19438	NA	NA	NA	NA	NA	NA	0.03901	0.07023	0.1156	0.15937	0.27932	1.65491	0.01806	NA	0.18829	0.10573	0.24657	0.12017	0.05002	0.10031	0.35602	NA	0.17941	0.05736	NA
AA4	NA	15.9062	11.91631	20.3936	12.79423	15.97328	24.07919	34.63729	44.51911	35.32443	15.83805	9.30724	9.51213	15.68853	9.4132	10.69025	12.9502	9.71649	5.795	17.85773	16.02723	8.19236	11.78949	3.43527	5.37435	4.46075	7.56316	8.20474	8.33133	10.42772	12.41463	8.09424	7.28081	10.63106	6.7822	1.91821	5.27348	5.73744	6.15872	5.96616	2.79923	4.37699	2.07242	6.15446	4.85424	19.60468	12.7245	19.06741	32.00683	23.52739	11.17495	12.82494	10.60221	8.78124	7.98002	80.6133	27.21212	7.86936	22.8065	18.18117	9.82283	21.2755	14.48171	11.62994	8.16208	2.84689	6.41392	10.41047	17.85677	15.45697	20.51215	8.24964	8.18757	7.87867	8.75822	11.55949	12.1002	14.99331	19.22169
AA6	0.45656	9.50513	7.84585	5.22997	5.98955	8.4034	8.26633	7.29516	4.61508	3.82332	2.7669	9.99118	10.14019	8.44287	13.44447	9.33232	10.13093	10.34355	15.01471	6.26857	11.40276	1.78128	9.78279	5.71467	7.62836	8.11321	6.68301	16.26119	11.01982	16.26811	10.97575	13.6097	12.06463	9.00119	13.77474	3.36317	6.86488	9.92395	8.57501	8.77631	5.81807	6.91067	3.92121	24.81416	9.3731	14.44776	17.67628	11.35334	12.44452	11.46008	6.36977	11.2453	15.11072	18.54836	10.887	5.55917	7.56594	1.84059	3.5381	6.02627	4.69965	1.11711	8.15796	6.41915	3.68017	1.6188	8.39867	7.30782	16.68529	4.4525	13.27046	6.88615	7.34007	8.06564	8.29285	20.08622	4.45272	9.24509	8.58328
AA7	NA	28.49681	13.08648	28.58986	8.03042	20.74688	14.92407	27.79264	27.16128	22.86135	10.51323	14.15672	19.82626	22.13692	10.87487	44.3789	44.17329	52.28312	41.21402	27.13333	31.35211	12.39793	24.19876	12.60657	19.28795	28.50614	20.86804	12.69652	24.06223	24.52463	11.38208	20.52805	31.00857	25.64468	18.67158	11.26265	27.44824	29.25424	23.46057	21.50503	5.87223	14.03082	8.70845	38.16884	27.50102	45.69753	58.58735	47.92534	48.62256	27.31893	33.45106	43.93663	39.86634	30.97864	36.71731	30.98277	18.68923	18.88665	27.99805	51.66609	29.43199	34.31865	29.55472	36.23452	23.08125	10.61869	21.33454	25.95385	21.85033	13.41293	27.19922	21.10981	18.69336	16.1209	38.62195	40.17946	14.32782	22.58417	28.65424
