feature	ERR1995525	ERR1999767	ERR1999768	ERR1999769	ERR1999770	ERR1999771	ERR1999772	ERR1999773	ERR1999774	ERR1999775	ERR1999776	ERR1999777	ERR1999778	ERR1999779	ERR1999780	ERR1999781	ERR1999782	ERR1999783	ERR1999784	ERR1999785	ERR1999786	ERR1999787	ERR1999788	ERR1999789	ERR1999790	ERR1999791	ERR1999792	ERR1999793	ERR1999794	ERR1999795	ERR1999796	ERR1999797	ERR1999798	ERR1999799	ERR1999800	ERR1999801	ERR1999802	ERR1999803	ERR1999804	ERR1999805	ERR1999806	ERR1999807	ERR1999808	ERR1999809	ERR1999810	ERR1999811	ERR1999812	ERR1999813	ERR1999814	ERR1999815	ERR1999816	ERR1999817	ERR1999818	ERR1999819	ERR1999820	ERR1999821	ERR1999822	ERR1999823	ERR1999824	ERR1999825	ERR1999826	ERR1999827	ERR1999828	ERR1999829	ERR1999830	ERR1999831	ERR1999832	ERR1999833	ERR1999834	ERR1999835	ERR1999836	ERR1999837	ERR1999838	ERR1999839	ERR1999840	ERR1999841	ERR1999842	ERR1999843	ERR1999844
total_reads	10070428.0	16155679.0	15702257.0	2988084.0	2834113.0	2375894.0	13904317.0	8230438.0	6977131.0	14419415.0	3434735.0	4756803.0	11311160.0	3965173.0	1616129.0	6135137.0	5523770.0	6169522.0	2129698.0	3832831.0	3531257.0	7655484.0	10293363.0	5166744.0	2602789.0	4139123.0	4036624.0	3013850.0	2958012.0	2924729.0	3520100.0	15639829.0	11226559.0	7403277.0	6820868.0	4963098.0	7194306.0	3343582.0	2356797.0	1372546.0	8058079.0	7119241.0	5571199.0	4760295.0	3784609.0	6585411.0	3106989.0	2014321.0	4711137.0	5132007.0	1225321.0	4635499.0	6594260.0	10016859.0	5421626.0	3783512.0	1640858.0	13542199.0	4162096.0	2324105.0	3458635.0	4916290.0	5104831.0	6377806.0	6189588.0	2762031.0	14208763.0	3409099.0	1986107.0	11326648.0	2786900.0	2021090.0	17930193.0	13537255.0	3091244.0	1656014.0	6128385.0	6048165.0	3540509.0
filtered_reads	9864173.0	15031951.0	14710158.0	2779354.0	2608624.0	2246688.0	13134420.0	7669002.0	6515079.0	13158718.0	3174593.0	4428925.0	10543001.0	3664915.0	1487274.0	5718253.0	5153127.0	5711581.0	1983701.0	3560861.0	3275598.0	7028948.0	9465786.0	4848889.0	2443971.0	3809041.0	3754917.0	2846835.0	2784985.0	2715941.0	3301498.0	14728004.0	10535078.0	6914743.0	6366591.0	4577671.0	6677942.0	3070637.0	2169960.0	1283039.0	7564158.0	6613533.0	5170328.0	4415172.0	3510797.0	6112819.0	2872967.0	1836648.0	4313578.0	4609564.0	1118932.0	4338550.0	6161871.0	9322108.0	5051810.0	3505220.0	1521387.0	12239749.0	3836273.0	2146932.0	3224865.0	4581915.0	4716844.0	5897508.0	5775427.0	2552250.0	13076505.0	3155250.0	1827967.0	10456190.0	2554987.0	1897623.0	16797536.0	12563460.0	2864605.0	1525643.0	5652316.0	5502803.0	3224279.0
category	402786.73944	3198663.49641	3155181.98984	601517.54837	542429.91171	459224.4327	2829253.75891	1707962.02852	1462860.07784	2544583.2993	659835.25586	933295.03098	2281660.0323	797565.04001	325656.59265	1250455.62521	1145066.46223	1258786.17915	440581.98442	780966.42342	731530.19229	1506087.53573	2092934.89673	1047652.41567	518759.3416	827364.65836	807584.59162	584432.95904	583908.92016	536274.94055	659639.88141	3087247.61103	2282844.20322	1481822.92556	1347534.97083	953021.98258	1469757.82771	685329.71229	471936.30894	274913.96829	1572857.07607	1404187.46302	1090720.57728	991331.19956	758448.18782	1310197.65653	617718.24391	391995.56281	936865.38684	994888.56116	239754.3634	915567.10416	1310236.94596	2004911.33987	1049582.18486	850918.70836	332460.1774	2620879.42479	880445.37044	463297.89096	697527.0075	987994.07197	999864.35829	1229300.89291	1220398.96315	553166.17518	2792454.66349	677295.35365	403456.45837	2201860.92821	551502.51548	399618.71429	3603619.19441	2713206.6714	618650.28046	347224.52031	1227422.00198	1176524.87875	719944.15985
ko:K00001	6.93687	806.2639	885.46896	155.21829	123.75486	115.1564	603.21912	357.9168	351.83786	457.14357	116.8487	192.87153	338.79379	88.98936	50.57198	472.65987	480.47886	555.95374	214.35095	255.67309	268.5442	710.44053	625.65088	427.23318	158.52423	307.55133	304.50388	217.34269	176.74016	125.48966	194.47795	1013.27574	692.34486	516.88934	479.2832	182.28569	494.48005	238.43393	122.59637	53.39875	204.06595	257.2434	117.07526	219.76412	206.71001	285.32202	95.25122	87.77735	238.25083	206.67906	47.65911	289.64832	444.92735	572.38296	330.92802	253.73131	141.75018	1477.83876	371.43797	99.00586	217.24623	89.62001	210.91074	312.90218	300.11267	135.20314	618.75279	97.98132	72.24471	350.59195	130.12086	99.30768	1163.63896	820.51651	230.69143	72.50312	189.43373	188.04987	135.65686
ko:K00002	0.78147	411.76709	238.59079	35.63501	91.21769	18.31808	92.49866	82.13973	52.33212	364.93208	157.52364	146.25986	409.43876	179.26858	68.0087	70.17751	52.09663	82.19707	26.48629	26.20215	13.96805	45.18445	98.49255	82.10623	26.64925	64.30868	53.08307	40.1152	36.7571	23.60977	44.96381	268.42294	135.56164	91.66784	75.10847	17.42238	24.16213	26.7659	22.73301	4.87598	27.7803	32.55781	22.87034	43.85359	40.88078	103.78395	31.08097	22.38933	58.88327	77.73738	24.28437	102.30256	137.29537	135.74298	120.75764	25.95208	9.90624	170.00586	33.78281	35.74246	38.97158	20.80456	39.10875	73.625	55.2193	11.94996	154.92498	43.34469	22.46875	65.628	41.0094	18.56473	155.37758	116.36384	21.57283	28.44624	49.59481	43.91312	53.59403
ko:K00003	6.52581	2017.0389	1920.65782	411.69324	327.32282	217.73022	1802.47947	1347.86692	1129.77647	1246.81488	282.4716	546.11918	1386.2136	402.48048	155.60757	996.3785	959.12266	997.39158	358.41404	498.59622	570.12313	682.01756	1556.30344	753.71964	386.36686	584.34668	544.98188	366.0035	400.02911	290.53068	348.2351	2270.72093	1693.18299	1047.13099	902.592	397.03764	1050.64109	557.54749	344.08328	160.64253	485.99659	837.52174	435.61372	859.88915	641.11859	866.89422	394.49835	341.33271	656.15244	649.491	151.6381	726.35355	990.22771	1449.62728	686.3703	615.7766	228.62395	901.90614	570.12089	389.49366	512.11465	440.84518	513.15175	999.0495	732.27179	308.81885	2119.74024	409.99857	319.87396	1035.86417	349.29513	216.45702	2426.05941	1779.30655	420.29878	326.89129	700.79625	608.30851	594.12291
ko:K00004	3.52056	42.25687	48.18854	10.36109	5.16627	2.47623	32.88771	25.28958	13.54618	11.40468	4.89915	19.60839	38.62051	21.17367	7.75273	45.35346	33.50397	65.17206	2.49224	26.97999	20.07505	50.24319	68.18135	15.2592	7.00369	6.17024	12.77608	12.60372	29.76943	19.15555	12.32167	85.20805	57.30296	32.10577	44.37624	3.87783	71.83036	14.37012	16.38064	8.92323	13.35972	14.00253	40.31401	74.81959	42.15912	64.60524	83.38132	6.50623	19.40857	31.50254	5.48008	15.43694	23.96586	29.82563	9.45172	9.3128	4.35071	111.49815	28.09444	17.74549	39.40796	7.47578	49.98767	122.66185	65.23166	19.11082	160.4813	27.65605	11.67008	36.20847	20.08608	4.87449	63.50324	49.01586	22.3169	7.49393	14.31376	29.46874	16.23377
ko:K00005	0.10628	1151.41915	1210.35333	321.02891	156.64441	165.48957	1513.31496	884.49661	833.06798	839.13443	159.97457	270.11736	661.72452	164.29364	61.22319	396.62192	380.5683	410.90708	187.92069	204.07803	223.54343	269.5981	728.90674	445.68793	189.92725	333.33148	357.50895	155.95324	161.57324	121.47945	145.66302	1288.19593	1013.42377	638.19488	610.42688	303.18151	731.16935	353.44106	178.57924	104.19601	289.54986	444.91291	293.1638	400.59748	243.12275	314.9838	86.34756	147.23095	209.87615	285.66534	57.83698	272.12728	390.36576	540.59308	225.87531	901.43869	188.08309	527.8216	507.76822	138.94192	199.81992	147.75501	198.88621	431.95151	294.92346	135.66068	1218.59376	224.21512	143.45504	362.68763	148.35257	106.71901	1254.57671	824.45616	273.70311	189.97525	289.20438	300.08016	298.89052
ko:K00006	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14491	NA	NA	0.73977	NA	0.75306	0.96493	1.48701	5.47995	NA	NA	NA	0.78058	NA	NA	NA	NA	NA	0.34536	1.618	0.76348	0.61603	7.63012	5.46505	3.32152	3.35093	NA	NA	NA	NA	NA	NA	NA	NA	1.49487	2.30766	NA	NA	0.44048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06249	NA	NA	1.20984	2.00801	NA	NA	NA	0.93076	NA	5.70947	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K00007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28654	NA	0.35519	0.56901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52381	1.24908	0.24529
