feature	SRR13759185	SRR13759186	SRR13759187	SRR13759188	SRR13759189	SRR13759190	SRR13759191	SRR13759192	SRR13759193	SRR13759194	SRR13759195	SRR13759196	SRR13759197	SRR13759198	SRR13759199	SRR13759200	SRR13759201	SRR13759202	SRR13759203	SRR13759204	SRR13759205	SRR13759206	SRR13759207	SRR13759208	SRR13759209	SRR13759210	SRR13759211	SRR13759212	SRR13759213	SRR13759214	SRR13759215	SRR13759216	SRR13759217	SRR13759218	SRR13759219	SRR13759220	SRR13759221	SRR13759222	SRR13759223	SRR13759224	SRR13759225	SRR13759226	SRR13759227	SRR13759228	SRR13759229	SRR13759230	SRR13759231	SRR13759232	SRR13759233	SRR13759234	SRR13759235	SRR13759236	SRR13759237	SRR13759238	SRR13759239	SRR13759240	SRR13759241	SRR13759242	SRR13759243	SRR13759244	SRR13759245	SRR13759246	SRR13759247	SRR13759248	SRR13759249	SRR13759250	SRR13759251	SRR13759252	SRR13759253	SRR13759254	SRR13759255	SRR13759256	SRR13759257	SRR13759258	SRR13759259	SRR13759260	SRR13759261	SRR13759262	SRR13759263	SRR13759264	SRR13759265	SRR13759266	SRR13759267	SRR13759268	SRR13759269	SRR13759270	SRR13759271	SRR13759272	SRR13759273	SRR13759274	SRR13759275	SRR13759276	SRR13759277	SRR13759278	SRR13759279	SRR13759280	SRR13759281	SRR13759282	SRR13759283	SRR13759284	SRR13759285	SRR13759286	SRR13759287	SRR13759288	SRR13759289	SRR13759290	SRR13759291	SRR13759292	SRR13759293	SRR13759294	SRR13759295	SRR13759296	SRR13759297	SRR13759298	SRR13759299	SRR13759300	SRR13759301	SRR13759302	SRR13759303	SRR13759304	SRR13759305	SRR13759306	SRR13759307	SRR13759308	SRR13759309	SRR13759310	SRR13759311	SRR13759312	SRR13759313	SRR13759314	SRR13759315	SRR13759316	SRR13759317	SRR13759318	SRR13759319	SRR13759320	SRR13759321	SRR13759322	SRR13759323	SRR13759324	SRR13759325	SRR13759326	SRR13759327	SRR13759328	SRR13759329	SRR13759330	SRR13759331	SRR13759332	SRR13759333	SRR13759334	SRR13759335	SRR13759336	SRR13759337	SRR13759338	SRR13759339	SRR13759340	SRR13759341	SRR13759342	SRR13759343	SRR13759344	SRR13759345	SRR13759346	SRR13759347	SRR13759348	SRR13759349	SRR13759350	SRR13759351	SRR13759352	SRR13759353	SRR13759354	SRR13759355	SRR13759356	SRR13759357	SRR13759358	SRR13759359	SRR13759360	SRR13759361	SRR13759362	SRR13759363	SRR13759364	SRR13759365	SRR13759366	SRR13759367	SRR13759368	SRR13759369	SRR13759370	SRR13759371	SRR13759372	SRR13759373	SRR13759374	SRR13759375	SRR13759376	SRR13759377	SRR13759378	SRR13759379	SRR13759380	SRR13759381	SRR13759382	SRR13759383	SRR13759384
total_reads	12676604.0	18465091.0	13520461.0	22112599.0	17209070.0	20925255.0	21118077.0	15249105.0	12801530.0	14718227.0	19592334.0	14834832.0	15695358.0	17810592.0	15451787.0	14282671.0	19444647.0	15790487.0	16217465.0	10665805.0	13735666.0	19656450.0	17423634.0	20844390.0	15493001.0	19077541.0	17541065.0	14792027.0	16071769.0	15212440.0	16921987.0	16308807.0	23104370.0	16441326.0	15068416.0	17457907.0	19872218.0	17862417.0	16408789.0	18155370.0	17978995.0	17715921.0	14987908.0	18919828.0	18183690.0	18625915.0	16482401.0	14401321.0	13797561.0	13671071.0	15978964.0	16361679.0	17158049.0	17481641.0	20310928.0	17926678.0	19110598.0	19505712.0	16766582.0	17684612.0	21703578.0	17111672.0	17365383.0	17526635.0	15502394.0	20469849.0	17481115.0	17320810.0	16165102.0	18661678.0	14146454.0	19647502.0	14573225.0	18329958.0	17674023.0	16904820.0	24713776.0	15925404.0	17824708.0	18228214.0	19397078.0	17432269.0	17253230.0	16751179.0	17667131.0	17446199.0	16606984.0	19450369.0	21458424.0	18325913.0	15213427.0	16219287.0	21463710.0	13831257.0	15022721.0	18115021.0	22684163.0	15844551.0	18082813.0	24598874.0	16788749.0	19534827.0	15788319.0	18527752.0	19917342.0	15566592.0	18496786.0	20660860.0	14897327.0	17936347.0	22326400.0	13424162.0	17620283.0	28837665.0	15344826.0	16117135.0	15558932.0	17907740.0	19112785.0	24005453.0	18091203.0	16906363.0	17083060.0	17436873.0	20355789.0	16902789.0	15386766.0	25666798.0	14477177.0	14862491.0	22234239.0	19559403.0	17385087.0	22240789.0	18233696.0	21362648.0	19301842.0	16902239.0	22090603.0	24091398.0	17736235.0	16237379.0	18777110.0	20272691.0	15688486.0	17014087.0	15089025.0	19693297.0	19752733.0	20886729.0	21050392.0	15426617.0	18182973.0	18702365.0	18224604.0	16851289.0	16501958.0	19355700.0	17095873.0	17705043.0	14697860.0	18619349.0	19332522.0	24765358.0	16695782.0	20873679.0	19040334.0	16198171.0	15684554.0	14726570.0	15442331.0	20703099.0	13672479.0	19903948.0	14336473.0	16693533.0	16582052.0	19898384.0	19972508.0	19522949.0	17692278.0	20147143.0	12854706.0	18129370.0	19076920.0	18567781.0	15647589.0	11351257.0	18453773.0	16065245.0	20884244.0	18620706.0	17234059.0	16969580.0	19518414.0	18872838.0	19017833.0	16722064.0	16904466.0	18753469.0
filtered_reads	13681468.0	18525802.0	13558396.0	22172548.0	17158410.0	20643791.0	21235148.0	15276638.0	12874816.0	14712669.0	19554110.0	14910583.0	15730680.0	17779219.0	15466835.0	14198849.0	19439249.0	15734149.0	16253139.0	10686370.0	13705622.0	19550229.0	17478157.0	20848775.0	15496504.0	19098857.0	17545472.0	14782189.0	16053844.0	15224278.0	17041428.0	16319563.0	23061272.0	16477713.0	15014339.0	17600334.0	19795847.0	17889082.0	16403277.0	18126301.0	18019690.0	17462054.0	14985576.0	18918275.0	18197656.0	18623718.0	16459662.0	14451162.0	13814314.0	13736137.0	16149577.0	16453611.0	17167140.0	17525726.0	20058286.0	18041865.0	19284095.0	19592733.0	16819694.0	18211941.0	21819255.0	17179953.0	17414923.0	17533553.0	15470193.0	20474046.0	17457789.0	17410286.0	16143635.0	18555761.0	14174361.0	19781358.0	14520995.0	18236926.0	17782843.0	16873894.0	24495652.0	15877253.0	17855567.0	18227453.0	19438298.0	17470100.0	17273960.0	16652004.0	17681534.0	17526647.0	16554748.0	19436020.0	21559965.0	18379042.0	15185845.0	16189370.0	21585629.0	13932534.0	15040914.0	18166154.0	22684966.0	15837760.0	18067982.0	24511663.0	16697153.0	19554958.0	15760799.0	18595318.0	20230169.0	15601001.0	18222089.0	20690345.0	14896930.0	17962734.0	22555293.0	13408506.0	17681073.0	29379828.0	15329898.0	15986948.0	15622927.0	17937157.0	19070843.0	23935054.0	18070296.0	17108627.0	17139855.0	17443041.0	20345452.0	16853321.0	15436004.0	25612857.0	14446953.0	14877063.0	22228787.0	19557266.0	17504438.0	22259731.0	18286241.0	21351036.0	19495571.0	16965031.0	22147863.0	24132033.0	17759473.0	16266010.0	18781272.0	20305627.0	15668841.0	17046896.0	15029054.0	19705168.0	19753297.0	20819189.0	20904754.0	15581899.0	18314321.0	18674407.0	18077053.0	16834282.0	16417438.0	19299293.0	17006062.0	17685965.0	14672708.0	18794066.0	19529454.0	24896913.0	16721500.0	20983165.0	19012649.0	16127315.0	15734399.0	14720565.0	15430628.0	21488756.0	13757694.0	19879691.0	14134423.0	16709932.0	16522245.0	20242569.0	19914028.0	19582067.0	17663863.0	20204611.0	12987871.0	18238212.0	18791540.0	18536450.0	15836145.0	12488948.0	18439717.0	16086872.0	20875915.0	19183876.0	17327048.0	16819968.0	19452780.0	18848066.0	18944724.0	16784408.0	16932581.0	18762164.0
category	70971.65061	85796.01785	83400.50212	75425.622	77580.10535	72206.43227	98462.68113	97948.48095	79714.44421	78043.43957	76407.0938	71856.02619	71439.1108	70595.83387	69447.04214	60750.68055	78417.72622	74665.48745	88836.3125	88892.86515	69518.36918	70719.43713	85515.00394	81521.03543	78546.7877	79903.16784	84084.89051	93651.98513	62263.93151	75410.66339	79254.73504	74814.52456	64747.01543	77494.68316	68059.76159	86156.8311	76613.47869	72773.16187	70174.55022	68065.39914	81207.523	61064.57726	74684.94455	86492.92354	95023.18757	96587.34248	71679.2953	72000.72406	72774.17976	73370.16572	62716.90735	75489.72986	72738.04053	70083.12628	74331.65389	67475.94669	70464.14234	88323.74402	85305.05235	83962.40254	62097.25233	88739.13152	84555.92364	96081.29908	104059.19729	83024.25848	75503.85367	74628.4774	85976.34721	80660.62559	75500.79573	75122.21934	82230.32434	79522.58434	77921.07643	80471.14987	65973.44945	74867.87849	82738.26904	70808.71282	75793.89648	83910.76602	84622.49624	87433.44741	87039.30571	76719.29151	72358.69145	64658.17789	65726.48458	69163.3723	73346.76461	81936.07917	93706.18062	47643.37312	93969.95089	81314.30735	89692.46719	90019.60371	81130.96539	90806.73905	73339.48585	86909.37602	84061.92306	94466.19478	77766.33217	74429.91084	72600.69588	89370.13783	88611.40478	100805.31536	89184.30857	79959.22936	67784.23784	78303.80543	61650.21886	64402.29503	78682.63111	78152.1107	78407.21569	67134.60374	71334.78919	89999.36911	83724.99453	80263.88602	86548.08886	68619.71629	75008.88336	83297.60894	81853.66009	95036.68258	87967.80573	70289.86034	71099.81463	93983.33926	97836.56718	93197.90522	69890.21267	85820.85168	63710.69573	67852.96537	73567.39559	91234.9564	76078.23746	81039.9742	84822.74828	71927.49448	72019.0432	104805.22885	103350.37934	93728.34359	88264.66589	61051.05642	71359.22631	76582.4439	73561.74418	76045.59196	72221.40976	83105.26124	74030.08631	77351.38007	80969.33768	96349.56251	88625.26274	56096.06111	85972.83161	85584.86015	88237.15587	90196.56396	93442.79458	92475.79863	83653.58361	80050.87378	79935.9208	85379.10727	81328.27682	105548.07287	84757.55823	66211.70109	87835.72051	87222.39733	87470.74777	84503.79529	62891.21825	68833.77191	68721.87988	87471.10857	63114.78755	67189.42878	90147.00867	91744.39472	88997.03878	61243.49404	74613.97063	81245.01284	87907.14311	78512.74397	80375.67275	72390.6436	89127.29416	101736.07539
AA1	49.30147	0.89569	1.08388	5.73511	39.86394	5.7959	127.74109	23.3444	2.5241	0.18592	23.3103	2.49183	11.85932	257.20906	344.33392	11.4798	2.98953	74.05499	19.91469	43.76652	22.16724	4.23711	1.00949	0.24047	13.96407	13.84073	151.14095	3.39895	1.93538	1.19597	21.30118	0.62942	0.25195	19.18068	1.98346	1.35599	0.18409	21.63646	15.68918	17.36428	0.29288	5.88249	13.21842	0.62561	2.86697	0.45948	23.32015	13.89098	1.78889	4.60031	106.80349	13.44999	3.62409	2.13817	2.03454	1.1717	2.28812	19.41974	2.88227	24.33641	153.69539	9.95541	18.32389	3.99488	15.92349	1.39067	201.57491	6.24808	35.58035	35.40469	26.43348	16.90471	5.46453	4.4909	69.10294	38.69762	24.49815	4.04913	1.94931	402.00883	358.73617	18.91085	11.26792	0.87053	12.3566	16.36609	104.67103	12.96404	24.48471	8.20113	117.17751	37.0002	0.4926	85.81587	10.1636	3.93417	0.87375	5.70979	160.03193	31.74669	8.1898	4.65407	5.94344	18.83051	7.63081	2.92365	8.03729	26.99815	0.33291	15.41156	10.17327	7.63314	0.49123	0.38001	22.47257	1.25665	18.47107	8.52209	6.40202	3.61053	16.65607	15.78484	37.05008	7.23356	12.38332	6.66617	37.16901	2.97777	18.41681	9.01939	1.40042	22.99576	4.82328	3.12492	8.14423	4.46709	26.56129	2.38121	7.61062	3.95466	7.99839	14.91692	4.84633	1.32339	6.2071	8.92345	8.67034	2.88664	0.34729	1.14904	3.38844	18.38978	7.30775	2.10206	10.28273	71.33999	6.30672	6.9792	NA	0.86445	10.23109	0.86638	6.20955	65.62322	27.21761	0.34567	5.25414	4.9158	35.57316	10.38777	6.80624	1.43151	12.33654	7.6372	3.36792	20.10967	14.56945	1.79001	11.07977	6.77969	17.42682	0.58794	0.77349	11.76118	1.85239	0.72458	25.23883	17.57847	15.01103	26.06774	52.88386	4.28705	0.9437	0.99849	0.36254	13.16315	3.45915	14.2439	0.41028	0.73648
AA10	NA	0.11039	NA	NA	1.01306	NA	0.1926	0.1254	NA	NA	0.79101	NA	NA	0.05681	NA	0.17519	NA	2.50791	NA	0.6832	NA	NA	NA	NA	NA	NA	2.84401	NA	NA	NA	0.12	NA	NA	NA	NA	NA	NA	0.11431	NA	2.36727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12663	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38842	NA	0.18946	NA	0.21995	NA	NA	NA	NA	NA	0.23677	NA	NA	NA	NA	NA	0.81263	0.11127	NA	0.43693	NA	0.22017	0.224	0.11257	NA	NA	8.52033	0.38788	NA	NA	NA	1.03509	NA	NA	NA	1.43315	NA	NA	0.10738	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12921	NA	NA	NA	NA	NA	NA	0.03992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07717	NA	NA	NA	NA	NA	NA	NA	0.23002	NA	NA	0.04891	NA	0.27848	0.59141	0.18637	3.91561	NA	NA	NA	NA	NA	NA	NA	0.04107	1.1551	NA	0.3663	NA	0.64716	NA	NA	NA	NA	NA	NA	NA	2.99731	NA	0.12492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27039	NA	NA	NA	NA	NA	NA	NA	0.26784	NA	NA
AA1_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA3	16.62407	0.03479	0.38013	1.47028	7.52296	0.57919	11.78889	1.12599	0.17673	0.95807	6.65832	1.34094	0.63643	125.46178	172.49299	4.77906	0.62905	11.56351	0.8195	18.77971	3.71954	0.3031	0.6715	0.1815	4.76582	2.44323	43.38076	1.0586	1.99578	1.60392	8.76254	0.70507	0.23045	1.0482	1.44325	0.13663	0.05888	3.07179	6.21647	2.45481	0.34298	0.05614	NA	0.01835	0.71968	0.18304	1.61256	2.17245	0.19003	NA	16.1078	0.89059	0.73744	0.33113	NA	0.58589	0.59227	7.20355	0.58455	9.02713	71.32189	2.997	5.99952	0.50295	0.85843	0.50095	101.83016	0.62462	11.24254	9.01358	9.75428	8.25049	1.77198	2.30323	8.16484	13.85072	6.81063	1.90334	0.02188	109.94618	85.69841	8.99144	5.04282	0.21493	2.82723	2.60588	32.05239	0.16861	7.02352	1.30363	0.38774	14.32339	0.55525	32.71671	1.71574	0.45813	0.28274	1.0729	39.33453	5.60622	0.09926	0.45071	0.97382	6.04477	3.33582	0.81051	1.22586	8.50542	0.04443	5.19478	2.45354	2.21981	0.4738	0.03337	8.77103	0.42217	7.98472	0.94574	1.87192	1.26169	0.24088	4.05148	14.84107	3.56099	4.11197	2.52178	9.529	1.74624	9.12358	0.73542	0.62484	1.68087	0.2807	1.62155	1.62921	1.27646	4.54788	0.34459	2.77958	0.53801	2.15763	6.99079	0.08691	0.32566	2.54963	1.00278	0.33852	1.70498	0.11801	0.17301	0.49478	0.25167	1.13982	0.48656	0.78252	18.21714	1.13876	0.87146	0.86986	0.25637	4.15958	0.03978	0.58332	3.23834	8.4716	0.29731	0.59436	2.15685	15.07092	5.03061	2.57319	1.1131	5.08618	2.36139	1.80293	9.64025	3.63879	0.65352	3.05613	0.96308	4.95716	0.51272	0.15097	3.88504	1.24725	0.30384	13.34573	5.81215	2.64652	9.79034	14.1035	0.85365	1.22437	0.02707	NA	1.40664	0.20811	3.25789	0.45964	0.35881
AA3_2	7.19781	0.08001	0.12439	0.4118	4.32638	0.21493	4.52245	0.29516	0.32849	NA	4.34689	0.38864	0.47741	53.26856	81.69203	3.04907	0.23898	8.62064	0.4137	7.64523	1.61898	0.12928	0.2868	0.02878	2.3259	1.12509	25.97088	0.69069	0.4475	0.28045	3.93463	0.12628	0.06653	0.38249	0.15886	0.16474	NA	1.26444	2.52892	2.76369	0.17203	0.38291	NA	0.03148	0.18531	0.05331	0.66522	0.79724	0.12266	NA	8.26587	0.31776	0.28476	0.03362	0.01571	0.18656	0.19241	3.55984	0.27337	6.64638	31.657	1.97125	2.84655	0.01115	1.03738	0.37302	44.1513	1.11609	8.56034	6.65225	3.92965	3.78881	0.50328	0.89575	5.5585	7.79947	5.42184	0.89699	0.03468	80.23574	62.52388	4.00849	2.20838	0.14721	1.60759	1.55297	26.40495	0.03857	3.8053	0.85984	0.04157	7.32923	0.08734	15.87449	0.84978	0.24643	0.05365	0.99881	28.98988	3.38051	0.06783	0.07745	0.73009	2.90134	0.90059	0.38417	1.07523	6.23494	0.03123	2.51814	1.27406	1.35198	0.03123	NA	3.64782	0.16771	3.64729	0.45339	0.77241	0.38948	0.36967	1.80118	7.20529	1.65538	1.66871	0.92803	4.88384	0.61607	3.52703	0.12296	0.20535	1.35024	NA	0.81714	0.57383	0.52313	2.30257	0.28108	0.89749	0.10164	0.84813	3.05804	0.10835	0.22369	1.53514	0.19864	0.27264	0.80455	NA	0.13988	0.54732	0.04044	0.33211	0.54096	1.01685	16.04842	0.65163	0.10645	NA	0.12419	1.5725	0.06375	0.0154	1.0274	4.70684	0.01249	0.42684	1.5884	6.19659	1.98867	1.47015	0.388	2.23903	1.12694	0.8419	3.63692	3.16895	0.13837	1.44603	0.45042	2.53508	NA	0.03386	1.50403	0.32569	0.15831	5.09585	2.181	2.2058	5.50308	9.83629	0.50202	0.08664	0.0519	NA	0.87874	0.51994	1.15203	0.10992	0.16855
AA4	4.66292	4.68302	7.94341	16.28018	13.18742	9.67158	2.62319	7.95582	14.02793	9.12214	13.43521	24.0019	20.30041	3.54167	4.04713	10.49187	6.20943	17.58547	14.38473	11.56594	42.0745	10.95038	36.42023	65.21289	13.87755	14.8484	2.96502	16.27732	25.7179	16.05161	19.94125	15.067	17.15375	28.36163	15.86902	13.12345	16.51265	10.37141	20.09829	16.15549	14.4306	17.45836	24.38576	13.22476	47.05032	32.07345	13.87124	77.79467	9.00916	14.89237	55.70185	17.76967	5.19606	19.94583	16.03879	17.20306	16.66461	6.21834	14.35491	3.65195	2.92227	4.8171	8.88224	75.97603	9.89331	72.17409	2.5551	14.35939	23.0563	19.39966	27.69801	20.26417	11.51689	18.93029	10.14246	10.02726	28.28997	14.12618	10.85912	12.06239	9.21472	21.46396	13.99108	6.5649	3.93198	14.99846	15.03298	91.36488	15.08147	9.26143	25.37512	10.85182	13.14548	88.70618	9.99683	27.0991	11.47427	19.9388	15.528	1.74314	13.24912	9.91467	13.23623	12.29902	14.06929	15.91835	34.70059	51.32269	62.96227	9.65354	13.33143	17.6923	14.75505	7.05575	66.55032	12.83039	81.41668	50.64753	8.37035	41.19151	9.95888	7.82448	9.63535	11.08672	12.97897	14.93322	16.84419	11.5501	15.93241	7.36733	14.07646	9.73088	15.64106	12.21957	10.2911	2.91662	339.24917	17.01582	11.75162	26.28093	17.02478	2.36471	55.70462	43.98284	20.27692	19.30218	21.91978	3.56854	1.86055	11.01131	5.28717	48.10138	23.05863	13.90073	17.12786	9.89217	4.78857	20.89712	18.322	12.3197	4.83632	7.41888	13.17225	66.8018	15.59636	17.246	13.54992	24.09741	13.76944	18.69666	42.36689	6.43181	94.87506	46.5135	19.82885	7.30282	39.83073	32.37365	9.18086	12.56438	8.55086	4.82014	30.46103	23.14305	16.67871	8.33212	25.23417	31.03739	9.18328	6.82512	6.46593	13.01148	13.23697	1.73689	4.44471	20.0118	17.33809	30.1605	10.31381	4.77012
