feature	SRR13759185	SRR13759186	SRR13759187	SRR13759188	SRR13759189	SRR13759190	SRR13759191	SRR13759192	SRR13759193	SRR13759194	SRR13759195	SRR13759196	SRR13759197	SRR13759198	SRR13759199	SRR13759200	SRR13759201	SRR13759202	SRR13759203	SRR13759204	SRR13759205	SRR13759206	SRR13759207	SRR13759208	SRR13759209	SRR13759210	SRR13759211	SRR13759212	SRR13759213	SRR13759214	SRR13759215	SRR13759216	SRR13759217	SRR13759218	SRR13759219	SRR13759220	SRR13759221	SRR13759222	SRR13759223	SRR13759224	SRR13759225	SRR13759226	SRR13759227	SRR13759228	SRR13759229	SRR13759230	SRR13759231	SRR13759232	SRR13759233	SRR13759234	SRR13759235	SRR13759236	SRR13759237	SRR13759238	SRR13759239	SRR13759240	SRR13759241	SRR13759242	SRR13759243	SRR13759244	SRR13759245	SRR13759246	SRR13759247	SRR13759248	SRR13759249	SRR13759250	SRR13759251	SRR13759252	SRR13759253	SRR13759254	SRR13759255	SRR13759256	SRR13759257	SRR13759258	SRR13759259	SRR13759260	SRR13759261	SRR13759262	SRR13759263	SRR13759264	SRR13759265	SRR13759266	SRR13759267	SRR13759268	SRR13759269	SRR13759270	SRR13759271	SRR13759272	SRR13759273	SRR13759274	SRR13759275	SRR13759276	SRR13759277	SRR13759278	SRR13759279	SRR13759280	SRR13759281	SRR13759282	SRR13759283	SRR13759284	SRR13759285	SRR13759286	SRR13759287	SRR13759288	SRR13759289	SRR13759290	SRR13759291	SRR13759292	SRR13759293	SRR13759294	SRR13759295	SRR13759296	SRR13759297	SRR13759298	SRR13759299	SRR13759300	SRR13759301	SRR13759302	SRR13759303	SRR13759304	SRR13759305	SRR13759306	SRR13759307	SRR13759308	SRR13759309	SRR13759310	SRR13759311	SRR13759312	SRR13759313	SRR13759314	SRR13759315	SRR13759316	SRR13759317	SRR13759318	SRR13759319	SRR13759320	SRR13759321	SRR13759322	SRR13759323	SRR13759324	SRR13759325	SRR13759326	SRR13759327	SRR13759328	SRR13759329	SRR13759330	SRR13759331	SRR13759332	SRR13759333	SRR13759334	SRR13759335	SRR13759336	SRR13759337	SRR13759338	SRR13759339	SRR13759340	SRR13759341	SRR13759342	SRR13759343	SRR13759344	SRR13759345	SRR13759346	SRR13759347	SRR13759348	SRR13759349	SRR13759350	SRR13759351	SRR13759352	SRR13759353	SRR13759354	SRR13759355	SRR13759356	SRR13759357	SRR13759358	SRR13759359	SRR13759360	SRR13759361	SRR13759362	SRR13759363	SRR13759364	SRR13759365	SRR13759366	SRR13759367	SRR13759368	SRR13759369	SRR13759370	SRR13759371	SRR13759372	SRR13759373	SRR13759374	SRR13759375	SRR13759376	SRR13759377	SRR13759378	SRR13759379	SRR13759380	SRR13759381	SRR13759382	SRR13759383	SRR13759384
total_reads	14114930.0	18712427.0	13726487.0	22384363.0	17322882.0	21025576.0	21309315.0	15361808.0	13068604.0	14903284.0	19768893.0	15161560.0	15988565.0	17955860.0	15586513.0	14432198.0	19658965.0	15928251.0	16368666.0	10749294.0	13877965.0	19752524.0	17590832.0	21016301.0	15602350.0	19215386.0	17681502.0	14871814.0	16257260.0	15371588.0	17137652.0	16432672.0	23438260.0	16629339.0	15258896.0	17760205.0	20015173.0	18044557.0	16541341.0	18340003.0	18129316.0	17856402.0	15129034.0	19060400.0	18277274.0	18710980.0	16620249.0	14579727.0	14015523.0	13910804.0	16312548.0	16605598.0	17345346.0	17709907.0	20399560.0	18246830.0	19519145.0	19766160.0	16973174.0	18601489.0	21996689.0	17269714.0	17512199.0	17640427.0	15569031.0	20597116.0	17644048.0	17576846.0	16266014.0	18773306.0	14264798.0	19923703.0	14637868.0	18424831.0	17883321.0	16977928.0	24906606.0	16001811.0	17942126.0	18306122.0	19523030.0	17563698.0	17364740.0	16846717.0	17821745.0	17766261.0	16739737.0	19710250.0	21823313.0	18618016.0	15313827.0	16343319.0	21744617.0	14093632.0	15133251.0	18462956.0	22804743.0	15928874.0	18284086.0	24736146.0	16936537.0	19659454.0	15894593.0	18702874.0	20409843.0	15815056.0	18681707.0	20852349.0	15008347.0	18066379.0	22696712.0	13610443.0	17999993.0	29853468.0	15581172.0	16272540.0	15716435.0	18058286.0	19270898.0	24204996.0	18209487.0	17196965.0	17245552.0	17547646.0	20459562.0	17005544.0	15519211.0	25801052.0	14565001.0	14994520.0	22439613.0	19735666.0	17774154.0	22369459.0	18417423.0	21554396.0	19734972.0	17065993.0	22497804.0	24441050.0	17927210.0	16356644.0	18964208.0	20433471.0	15803410.0	17199346.0	15208048.0	19783891.0	19851069.0	21033704.0	21165563.0	15926979.0	18626123.0	18839862.0	18371411.0	16998072.0	16592196.0	19450418.0	17200148.0	17831215.0	14776417.0	18932782.0	19650901.0	25324924.0	16868925.0	21146053.0	19172578.0	16255585.0	15825237.0	14803568.0	15556767.0	21805528.0	13850806.0	20157766.0	14629312.0	16834027.0	16743541.0	20609307.0	20056122.0	19702391.0	17775075.0	20362152.0	13273591.0	18393106.0	19202921.0	18792632.0	16010111.0	13264045.0	18579893.0	16182535.0	21013575.0	19620470.0	17527240.0	17043119.0	19653163.0	19126034.0	19206262.0	16940769.0	17067019.0	18874633.0
filtered_reads	13681468.0	18525802.0	13558396.0	22172548.0	17158410.0	20643791.0	21235148.0	15276638.0	12874816.0	14712669.0	19554110.0	14910583.0	15730680.0	17779219.0	15466835.0	14198849.0	19439249.0	15734149.0	16253139.0	10686370.0	13705622.0	19550229.0	17478157.0	20848775.0	15496504.0	19098857.0	17545472.0	14782189.0	16053844.0	15224278.0	17041428.0	16319563.0	23061272.0	16477713.0	15014339.0	17600334.0	19795847.0	17889082.0	16403277.0	18126301.0	18019690.0	17462054.0	14985576.0	18918275.0	18197656.0	18623718.0	16459662.0	14451162.0	13814314.0	13736137.0	16149577.0	16453611.0	17167140.0	17525726.0	20058286.0	18041865.0	19284095.0	19592733.0	16819694.0	18211941.0	21819255.0	17179953.0	17414923.0	17533553.0	15470193.0	20474046.0	17457789.0	17410286.0	16143635.0	18555761.0	14174361.0	19781358.0	14520995.0	18236926.0	17782843.0	16873894.0	24495652.0	15877253.0	17855567.0	18227453.0	19438298.0	17470100.0	17273960.0	16652004.0	17681534.0	17526647.0	16554748.0	19436020.0	21559965.0	18379042.0	15185845.0	16189370.0	21585629.0	13932534.0	15040914.0	18166154.0	22684966.0	15837760.0	18067982.0	24511663.0	16697153.0	19554958.0	15760799.0	18595318.0	20230169.0	15601001.0	18222089.0	20690345.0	14896930.0	17962734.0	22555293.0	13408506.0	17681073.0	29379828.0	15329898.0	15986948.0	15622927.0	17937157.0	19070843.0	23935054.0	18070296.0	17108627.0	17139855.0	17443041.0	20345452.0	16853321.0	15436004.0	25612857.0	14446953.0	14877063.0	22228787.0	19557266.0	17504438.0	22259731.0	18286241.0	21351036.0	19495571.0	16965031.0	22147863.0	24132033.0	17759473.0	16266010.0	18781272.0	20305627.0	15668841.0	17046896.0	15029054.0	19705168.0	19753297.0	20819189.0	20904754.0	15581899.0	18314321.0	18674407.0	18077053.0	16834282.0	16417438.0	19299293.0	17006062.0	17685965.0	14672708.0	18794066.0	19529454.0	24896913.0	16721500.0	20983165.0	19012649.0	16127315.0	15734399.0	14720565.0	15430628.0	21488756.0	13757694.0	19879691.0	14134423.0	16709932.0	16522245.0	20242569.0	19914028.0	19582067.0	17663863.0	20204611.0	12987871.0	18238212.0	18791540.0	18536450.0	15836145.0	12488948.0	18439717.0	16086872.0	20875915.0	19183876.0	17327048.0	16819968.0	19452780.0	18848066.0	18944724.0	16784408.0	16932581.0	18762164.0
category	5174623.05773	6999161.27876	4826419.11302	8539759.00425	6737210.15437	7796210.77325	9362875.19288	5726530.29228	4631976.68191	5419981.11095	7675118.3882	5588938.28472	6314118.09046	8017049.1053	7886821.22794	5594275.183	7449843.41998	6381774.70897	6115398.96565	3935466.83571	5152498.57894	7641560.06633	6794063.752	8409005.02644	5992008.24282	7435765.74	7576916.49589	5947013.86293	6083088.46746	5859616.83201	6328656.13739	6179445.99491	8598114.46047	6268485.01393	4989789.20827	6621613.97298	7930174.41368	6828869.57071	6528293.04621	7294156.65049	6934179.89038	6543043.67836	5611894.79722	7615227.34896	7229972.89971	7369502.45451	6319049.06498	5784280.69102	4906314.98731	4939959.92938	6337234.00493	6227485.92457	6457680.43615	6668836.08635	6055156.32301	6717015.2202	6935895.573	7913381.2156	6692199.01945	6881592.40641	9965895.86573	6450026.69425	6887884.01975	7028253.2312	6236023.15359	7784692.79708	7671584.09103	6935590.34424	7027718.12808	7456073.12688	5671209.69874	7670951.60136	5459158.10897	6164589.92793	7755571.65184	6433494.93461	9326138.41425	5497006.28496	6403085.28992	9252303.49838	9378440.0921	6670297.76597	6298107.38269	6364663.65021	6938885.20794	6191748.73467	6425727.91476	7548304.08739	8835472.42161	7146344.31249	6562382.83357	6412570.89039	8361127.74369	6305109.4973	5377155.56023	6899446.58975	7968157.90507	5768821.22319	7140289.4146	10048595.95006	6650691.46948	6983765.92068	5759987.91003	6796903.51492	7841819.12926	5827638.04999	7137328.44534	8151339.34312	5678602.85076	6478147.63525	8337267.73639	4978661.5787	6790963.83231	10828932.0067	5842813.03954	5974930.63261	6368685.37666	7169881.07402	7391327.09777	9433701.10652	7051814.48125	6515033.28322	6972508.38606	6496605.46296	7319458.68917	6322127.91214	6236468.3683	9917771.32978	5667566.27298	5993628.69956	8394783.29241	7150672.61817	6669005.63036	8531805.85023	7007783.75202	8043120.19558	8937099.2826	6352433.08504	8661582.21718	9368286.90735	6864453.28868	6271835.7387	7557314.48756	8015928.77634	6004205.66935	6459631.64959	5460231.70974	7216130.17742	7076163.38273	8115190.70731	8305483.43564	5670617.37221	6473250.15645	7425347.26195	6322440.27745	6392667.32974	6589876.67518	7140463.9321	6571163.77709	6800281.71279	5757612.44967	6973910.30138	6816614.54703	8621926.52007	6561751.93362	8028434.6065	7299498.42493	5717435.21148	6014591.47567	5675090.06942	6151882.94458	7364868.9246	5905397.05327	6959129.17048	5047737.20747	6353964.1901	6456336.30144	7509685.79437	7298907.74378	6854970.1428	6618002.68058	7458161.29354	4970720.09535	7360756.03564	6830639.88503	7314100.74842	6453851.45819	3996472.64018	7066006.73002	5997822.50349	8096239.04102	7499617.90559	6785936.15561	6307420.08582	7643355.09174	7093462.60086	7353960.57467	6566991.68811	6444457.13957	7300298.97046
ko:K00001	1545.31873	2954.79118	971.47905	2438.3963	1182.98202	1541.57338	4374.38623	2991.08838	2082.03898	1872.60006	3254.80698	1709.63706	1967.52626	2645.40125	2518.74663	1274.30129	1242.6563	2492.31514	2327.60878	1514.47302	1720.14607	1663.43397	4048.82717	5686.22984	1686.80471	2484.75291	2345.47422	1160.57883	1343.02058	1725.92458	3307.0421	2403.65746	2983.23245	2532.16426	1354.812	2672.37004	1962.72245	2507.04575	2099.7694	3333.85184	2504.75924	1815.75404	1654.28988	1413.11959	1407.8004	1045.06349	2541.53166	2476.99673	1963.71123	2162.80768	1975.45839	1687.97938	3386.79321	3270.10905	1698.74234	2203.83544	2467.41306	1732.80803	2431.32074	847.53009	2289.01754	4613.00656	4038.15254	1525.87229	291.38172	3068.47413	2406.37843	4124.82047	2735.48361	2598.34176	2156.26736	3115.02004	1826.71569	3229.74925	2606.9501	1947.69909	1592.45754	3082.17758	3784.61384	7366.42481	8055.37588	1868.02147	1980.03018	501.87677	658.32646	2328.43392	1795.61363	1610.03277	3391.25185	4197.2272	958.97772	545.9483	686.03816	2356.38337	1103.97283	695.16259	2593.68409	2415.90025	3014.57459	908.52244	1861.58325	3683.41117	2349.01398	2079.33097	2498.36934	781.11218	901.53779	1929.1442	1001.35491	3091.81208	4147.6186	2255.76694	2103.50932	4249.55182	1565.06552	1025.50461	3244.76877	2288.09958	477.2962	2097.95632	2229.89355	2492.99916	2167.83245	2531.02659	2746.12824	3514.63152	3030.49357	500.91168	430.03433	886.27459	1060.15084	2203.4331	2419.31832	3432.36622	1999.94094	1988.57976	4155.77939	3319.19235	2399.50977	1593.96651	2299.08439	1873.17269	3837.49838	5470.11506	3807.09982	2118.10889	1303.20843	2716.90447	2364.26016	825.31987	1158.26415	1707.78585	2365.88906	3704.98447	2385.88882	2887.63713	2152.75879	1700.01131	2144.08246	2005.56043	1732.26238	2470.00122	2087.15973	3332.99226	740.63128	973.90051	1144.23226	2146.27924	2557.66237	1867.59505	1563.41921	2423.78518	1938.62025	1789.96305	543.01062	417.04741	332.09645	1025.8422	2444.87302	3686.54449	2632.07517	2725.94078	1073.13854	2346.02564	500.11514	385.09165	2095.83911	1788.98747	3313.08295	691.12852	1002.47707	1868.65096	1933.36564	151.19786	298.40712	287.88247	275.8559	2933.71192	648.19858	191.09839
ko:K00002	55.63959	54.59714	339.44418	82.83036	113.43396	57.13867	331.09422	163.92434	59.46527	33.99661	206.31204	167.67297	85.0444	31.75712	23.11284	76.8833	106.46718	115.30918	247.55065	40.42634	45.84214	186.49322	66.194	9.64839	82.59998	252.09563	47.03666	34.57287	211.31102	147.56544	87.41893	415.20163	184.28271	117.41916	67.37996	131.05364	116.04911	98.31268	79.22597	66.47424	110.23853	256.61471	111.43944	45.17427	33.38559	11.89381	89.34045	123.76729	62.09391	116.03481	52.0777	84.07273	26.49286	120.40879	263.30754	99.37028	93.62795	25.32855	73.6784	225.25938	445.46301	40.94377	47.01421	99.6633	12.28668	176.10119	38.08387	29.80779	68.0098	143.48154	102.80121	220.00798	118.16176	150.2646	134.51253	77.71359	65.31496	35.1149	46.49448	25.31191	35.60978	62.95505	110.39258	8.83111	32.21645	107.19429	108.44329	67.8746	68.18443	44.06016	28.858	21.65667	40.60901	1007.81724	405.2285	35.98143	301.61154	337.55764	325.96923	31.67084	885.91593	126.151	199.66023	198.40222	522.24225	52.75464	30.21896	213.33749	115.71762	144.71971	546.49474	717.39839	710.68451	934.62539	330.32317	26.42019	38.35825	83.2526	17.66189	612.83903	202.59907	197.40576	337.95438	116.43932	105.57797	123.97264	150.24035	130.7551	98.38565	9.13199	71.31764	200.36575	617.74558	149.26081	494.45044	431.12473	97.10948	60.74736	142.62607	282.23993	188.94695	468.33746	38.26693	97.05092	99.76577	717.23781	971.14037	146.96811	117.70753	5.67432	20.28652	68.72404	66.72336	50.60784	81.75452	133.60868	490.57973	148.27449	497.88847	479.63454	355.62773	129.68485	67.01893	258.14627	38.51675	27.8603	285.76681	105.69905	143.49543	67.67827	72.36072	56.79938	36.48324	255.00852	44.33672	56.13338	47.54057	98.75882	213.01476	155.86868	175.919	41.85003	76.37321	99.61002	11.34106	14.42549	520.717	61.81186	201.03221	44.82766	85.24287	445.71941	410.57109	6.99066	19.17836	19.41238	41.73561	108.50529	20.90429	1.68997
ko:K00003	1804.58036	2155.51447	1903.7644	4615.20391	1620.79637	1408.7803	1146.6899	833.37849	1312.64257	1784.54242	3107.07583	2677.29126	2867.74033	1000.24963	805.92264	2896.875	2058.47176	2597.84004	2287.65443	595.85196	2332.19626	4024.08605	1085.2574	1862.11421	1787.52681	2623.12563	631.01584	590.74611	3524.82793	2314.90869	958.14023	1927.77449	3779.47819	3111.54291	1723.62484	2409.74655	4822.04869	3117.77306	2771.95265	2388.85325	1812.98943	4164.67443	2800.10742	1632.28698	923.31313	797.59059	3676.84464	4289.91006	2241.81889	1923.60359	3057.32452	2562.24679	1914.01814	2755.45124	1778.84798	3204.12418	2900.27829	1664.33229	2180.26242	1826.17231	2722.20279	1578.58383	2391.90521	1866.64326	911.56916	1974.22588	682.45046	2035.13169	1025.0971	1183.62168	1988.62962	3324.87735	1380.84361	1548.18728	2935.21585	995.21062	2973.18453	1029.09294	945.15953	1154.28752	667.03098	1294.53036	1111.57898	757.85598	934.63129	2267.60209	1781.55801	3533.44546	4704.3747	1976.55458	1128.0941	809.81378	1803.62017	6172.326	1587.67315	1014.58225	1447.04062	705.40464	1237.6929	963.46353	2203.23095	2441.96315	2275.83618	1046.23014	2165.75506	2024.67867	2232.51803	1805.83939	1100.19954	668.93432	1239.0948	2380.75337	3499.53773	4905.11251	2535.02362	1960.23497	2808.75707	4371.3073	1925.42632	5218.60638	3729.23113	2172.51771	2994.90927	2441.30247	1295.1137	2150.38568	2179.68923	3081.81961	1891.88219	1727.60478	2722.59259	3643.0109	3107.87516	2193.18216	1521.5194	1707.91831	7321.27173	1072.57164	4869.22008	5601.53138	4782.85719	2615.38025	4722.01688	1661.1428	1229.30643	3453.34294	2120.52126	932.00288	913.43	791.94419	1288.81713	4150.44803	3465.59525	2538.92821	2024.60833	1629.06476	4610.49806	1998.81715	3118.79566	3221.09745	2483.13581	1099.30463	1510.16284	4822.55262	1691.45487	930.87667	1722.82466	1004.75807	2015.33085	644.66233	1523.65767	2748.00292	2118.23434	1132.1859	1313.81059	1478.7658	738.16423	2792.20277	2219.52029	1978.14412	1817.90671	2358.96575	3155.89023	4680.88977	2066.75148	909.12937	3888.77039	1591.35867	2338.49569	1734.91063	1168.28943	5312.41862	3387.91373	882.02664	889.41855	727.47701	1127.80274	2768.99823	1041.02061	467.65178
ko:K00004	136.98746	159.64529	48.127	417.30538	23.01001	17.63722	285.94708	39.36036	33.77651	32.02443	148.80289	176.8609	58.94756	812.68212	1320.65767	307.70499	113.41541	74.12776	71.98575	107.82952	84.54352	122.00036	15.42123	17.94407	133.78693	149.98305	123.60424	10.25574	144.94726	79.45353	228.83984	114.30198	259.19671	115.99709	52.25964	36.9002	34.50761	54.56886	120.40476	104.26547	41.38782	49.02235	42.01612	22.38542	26.32488	18.00596	48.08221	32.31627	34.49999	84.45939	471.26022	114.5955	116.25409	105.37067	17.80925	94.80075	60.92479	86.06647	34.93199	153.42079	923.52331	54.15072	61.48826	62.66733	10.85402	15.3546	828.37499	104.77926	175.51834	174.38254	91.49944	122.06778	36.35844	48.95154	98.91112	103.4335	425.55053	33.52893	1.79318	36.61518	42.01781	47.45522	36.73087	37.22109	91.98881	120.82071	479.06645	237.88193	131.15248	85.1713	520.22375	154.05469	41.68499	502.61837	55.03203	90.78522	32.72105	36.60613	85.74544	61.37885	533.77334	154.85765	41.31925	47.89337	84.13265	49.48384	136.07792	83.5361	15.25011	50.96807	35.30638	40.39063	89.70507	103.53274	294.7925	55.48236	130.57349	35.898	77.45945	606.70698	134.59483	54.0906	133.97346	33.11872	68.49269	37.37271	111.70151	201.88217	197.22234	73.81878	57.02893	199.81197	37.2622	44.17892	145.12173	61.51474	45.88989	36.68163	367.88935	271.55254	110.70852	58.64889	65.37135	15.41997	51.42092	155.80768	145.94821	17.37369	18.0236	4.10964	24.42376	184.81204	126.7892	140.8045	78.27275	122.9431	39.79128	54.36552	63.45356	45.77811	68.32479	39.71945	80.23944	396.15586	80.20397	43.0334	41.33528	57.55456	115.516	53.47063	47.04669	35.42024	48.17915	83.15208	213.59038	177.3097	16.5704	146.00086	48.10305	21.44567	71.37162	52.21269	82.15726	177.49288	190.63036	2.31882	334.07971	72.66099	52.5098	100.86573	239.66489	126.63417	59.88315	4.21708	22.93608	37.4798	35.89978	86.38198	40.67139	8.99254
ko:K00005	1180.39986	553.43917	570.75147	1589.53778	1221.27613	719.93867	1572.43355	551.26726	1084.1462	1138.644	1288.82517	1085.22137	1744.30191	1815.12946	2059.70777	845.28098	831.8638	1143.67167	659.64071	1161.05773	1601.48709	1057.82664	1826.42788	2311.82534	1417.00092	1883.2286	1545.20249	446.78545	850.1806	533.38993	1306.25715	982.13553	979.2162	970.11827	838.70408	1052.21443	1488.52792	1363.84347	1346.43384	994.29986	748.20829	733.50393	569.56224	716.57648	444.92682	381.29064	1412.76826	1704.5431	646.59866	1076.70277	1140.10355	710.55453	922.59479	1545.86389	708.7978	1540.04494	1176.17074	948.54701	1059.03469	1108.22975	3374.99295	890.88913	1561.27854	1069.54549	834.80041	647.95656	1582.59925	789.82724	780.63129	836.199	764.31326	1461.11295	768.33943	832.13341	7211.95812	1220.11623	840.50894	332.9661	413.42921	3950.44064	3415.92967	2403.49851	2330.85308	462.89751	569.00418	899.55451	1660.23812	1158.20262	4456.06226	1559.86868	1029.00685	600.77691	1114.17629	4956.26563	938.21369	682.02595	1546.19188	1101.63176	1570.69694	1070.99977	1033.50134	2220.82416	1404.2087	1307.35414	1648.02719	913.44429	1389.07502	1000.34919	439.49531	494.43034	1071.84306	1011.28676	1374.48339	1460.34444	1563.43939	530.73608	1320.10105	1564.92505	1210.9287	2348.95972	1488.61382	1661.33413	3446.2392	2787.05069	1993.61817	1038.46995	1060.65038	735.85293	663.1982	717.18887	781.33175	1538.73458	1169.50411	781.88881	875.2687	1240.15217	4211.44407	548.92665	928.5777	1752.0823	1573.62065	870.34019	1591.66904	4233.65409	1695.58535	1789.99995	562.60195	1113.20094	1011.15541	1060.28084	900.22776	1281.08488	1300.39608	575.2661	1147.25011	1070.19527	2009.47894	453.38137	2077.88571	1288.94238	830.72279	341.72573	1078.02827	1429.17234	992.38417	412.64033	920.05863	587.88697	1254.6522	982.25902	2826.50475	1435.82009	4735.19171	900.60066	512.02391	1265.72536	596.18187	761.88833	1811.48151	1200.79803	1493.30907	787.21628	940.74649	1692.79006	613.81715	815.61813	1344.48019	1837.55806	1768.57558	727.23536	1025.04692	964.27113	604.83078	385.97081	643.71561	368.51395	402.43314	1357.39496	277.97131	381.82445
ko:K00006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.60036	19.32597	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.8244	NA	NA	NA	NA	NA	NA	NA	1.46207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.55215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.70809	NA	NA	NA	NA	8.61448	NA	0.64827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.62479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K00007	24.36502	NA	0.56955	1.11403	11.36655	1.75009	10.96947	NA	2.36476	NA	76.78817	8.79087	1.11313	62.3982	NA	8.67734	6.00602	112.40679	0.27104	4.90351	2.35418	NA	1.31462	NA	10.35857	10.06347	210.49587	15.74695	NA	NA	3.94928	NA	NA	2.19159	NA	NA	NA	8.08183	21.1976	26.62527	1.35199	NA	NA	NA	3.08676	NA	NA	18.30059	3.31197	0.57875	152.49816	5.37407	1.83513	NA	NA	NA	NA	65.09962	NA	114.00487	44.04794	NA	NA	NA	0.43095	0.55922	63.14431	16.8438	3.07777	8.12977	45.55341	9.80754	7.90904	NA	94.43894	0.27182	14.57259	NA	NA	1511.09586	1283.67746	2.15281	12.39898	NA	1.11946	18.04433	NA	NA	51.23505	13.17693	NA	4.94947	NA	2.22139	4.45025	4.42945	NA	NA	155.32143	75.70426	NA	0.37108	5.67085	34.18388	7.22456	0.67199	11.83556	2.52589	NA	11.59623	16.3156	NA	NA	NA	NA	NA	5.67354	NA	NA	10.22498	1.28976	NA	NA	NA	3.7022	3.2046	22.47206	1.72704	NA	NA	NA	27.97682	NA	NA	NA	NA	19.81585	2.70233	12.747	1.81952	1.79664	1.91829	NA	NA	2.07777	2.18165	NA	13.82761	0.3785	NA	0.59465	NA	3.86888	3.73387	19.30165	225.88957	4.20011	NA	NA	NA	3.70651	1.43223	NA	16.64343	14.78013	0.82646	6.96773	NA	52.49475	1.53669	NA	0.6887	NA	2.89783	NA	1.95466	6.36067	NA	22.2761	0.25765	31.03732	NA	NA	1.60601	7.30648	0.70537	NA	6.82373	NA	9.92296	8.12755	NA	NA	NA	NA	7.94013	NA	26.28393	0.63201	NA
