Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13759185,WGS,300,5066022600,PRJNA703757,SAMN18023246,Metagenome or environmental,1682783647,HANS KNOLL INSTITUTE,2017,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10146111,CS196V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS196V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:02:00Z,1,CS196V5,SRP307400
SRR13759186,WGS,300,6379817700,PRJNA703757,SAMN18023245,Metagenome or environmental,2146451208,HANS KNOLL INSTITUTE,2017,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146110,CS196V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS196V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:16:00Z,1,CS196V1,SRP307400
SRR13759187,WGS,300,4637424300,PRJNA703757,SAMN18023244,Metagenome or environmental,1539972152,HANS KNOLL INSTITUTE,2017,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146109,CS194V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS194V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:02:00Z,1,CS194V5,SRP307400
SRR13759188,WGS,300,7842003600,PRJNA703757,SAMN18023243,Metagenome or environmental,2599125649,HANS KNOLL INSTITUTE,2017,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10146108,CS194V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS194V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:10:00Z,1,CS194V1,SRP307400
SRR13759189,WGS,300,5806035000,PRJNA703757,SAMN18023242,Metagenome or environmental,1913338704,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX10146107,CS192V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS192V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:14:00Z,1,CS192V5,SRP307400
SRR13759190,WGS,300,7077840000,PRJNA703757,SAMN18023241,Metagenome or environmental,2338389301,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX10146106,CS192V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS192V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:19:00Z,1,CS192V1,SRP307400
SRR13759191,WGS,300,7154668200,PRJNA703757,SAMN18023240,Metagenome or environmental,2357188448,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10146105,CS191V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS191V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:11:00Z,1,CS191V5,SRP307400
SRR13759192,WGS,300,5247495900,PRJNA703757,SAMN18023239,Metagenome or environmental,1761646830,HANS KNOLL INSTITUTE,2017,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX10146104,CS191V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS191V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:14:00Z,1,CS191V1,SRP307400
SRR13759193,WGS,300,4538955900,PRJNA703757,SAMN18023238,Metagenome or environmental,1534680151,HANS KNOLL INSTITUTE,2017,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146103,CS188V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS188V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:14:00Z,1,CS188V5,SRP307400
SRR13759194,WGS,300,5037876900,PRJNA703757,SAMN18023237,Metagenome or environmental,1683912787,HANS KNOLL INSTITUTE,2017,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10146102,CS188V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS188V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:13:00Z,1,CS188V1,SRP307400
