Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR412432,AMPLICON,601,12699365,PRJDB14539,SAMD00548474,MIMARKS.survey.human-gut,7450305,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398033,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:13:00Z,1,SAMD00548474,C_01_0w,DRP009232
DRR412433,AMPLICON,601,9631731,PRJDB14539,SAMD00548475,MIMARKS.survey.human-gut,5588133,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398034,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:09:00Z,1,SAMD00548475,C_01_4w,DRP009232
DRR412434,AMPLICON,601,11153862,PRJDB14539,SAMD00548476,MIMARKS.survey.human-gut,6482036,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398035,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:12:00Z,1,SAMD00548476,T_02_0w,DRP009232
DRR412435,AMPLICON,601,13774605,PRJDB14539,SAMD00548477,MIMARKS.survey.human-gut,7953898,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398036,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:08:00Z,1,SAMD00548477,T_02_4w,DRP009232
DRR412436,AMPLICON,601,11119088,PRJDB14539,SAMD00548478,MIMARKS.survey.human-gut,6484493,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398037,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548478,T_03_0w,DRP009232
DRR412437,AMPLICON,601,13205055,PRJDB14539,SAMD00548479,MIMARKS.survey.human-gut,7653620,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398038,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:12:00Z,1,SAMD00548479,T_03_4w,DRP009232
DRR412438,AMPLICON,601,11189255,PRJDB14539,SAMD00548480,MIMARKS.survey.human-gut,6609960,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398039,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:08:00Z,1,SAMD00548480,C_04_0w,DRP009232
DRR412439,AMPLICON,601,11448907,PRJDB14539,SAMD00548481,MIMARKS.survey.human-gut,6687585,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398040,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548481,C_04_4w,DRP009232
DRR412440,AMPLICON,601,11433617,PRJDB14539,SAMD00548482,MIMARKS.survey.human-gut,6653050,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398041,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548482,C_05_0w,DRP009232
DRR412441,AMPLICON,601,13402722,PRJDB14539,SAMD00548483,MIMARKS.survey.human-gut,7738404,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398042,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548483,C_05_4w,DRP009232
