,PMID,First Author,Title,N,Disease,Intervention,Total Fibers [g],Fiber Type,Duration [weeks],Arms,Crossover,Country,Region,Data Availability,Metadata Availability,Filter,Notes,DOI
410,35667659,_2022_2022,Correction to Li et al. Inulin-type fructan intervention restricts the increase in gut microbiome-generated indole in patients with peritoneal dialysis: a randomized crossover study. Am J Clin Nutr 2020;111:1087-99,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1093/ajcn/nqac072
550,38399723,AbdulkhakovS_2024,Butyric Acid Supplementation Reduces Changes in the Taxonomic and Functional Composition of Gut Microbiota Caused by H. pylori Eradication Therapy,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/microorganisms12020319
215,31973130,AlAssalK_2020,Gut Microbiota Profile of Obese Diabetic Women Submitted to Roux-en-Y Gastric Bypass and Its Association with Food Intake and Postoperative Diabetes Remission,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.3390/nu12020278
518,37863978,AlBatainehMT_2023,"Uncovering the relationship between gut microbial dysbiosis, metabolomics, and dietary intake in type 2 diabetes mellitus and in healthy volunteers: a multi-omics analysis",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41598-023-45066-7
487,37181156,AldubayanMA_2023,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity,21.0,,Vegan + Inulin,38.0,,10.0,,,,,YES,NO,N,Metadata not clear,https://doi.org/10.3389/fnut.2023.1108088
138,30064535,AlexanderC_2018,Effects of prebiotic inulin-type fructans on blood metabolite and hormone concentrations and faecal microbiota and metabolites in overweight dogs,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1017/S0007114518001952
428,36102329,AlexanderC_2023,"Bowel habits, faecal microbiota and faecal bile acid composition of healthy adults consuming fruit pomace fibres: two-arm, randomised, double-blinded, placebo-controlled trials",91.0,NO,Orange vs Apple pomace,10.0,,4.0,,,,,NO,NO,N,Data Not Available,https://doi.org/10.1017/S0007114522002951
91,28410921,AlfaMJ_2018,A randomized trial to determine the impact of a digestion resistant starch composition on the gut microbiome in older and mid-age adults,,NO,MSPrebiotic - RS,21.0,RS,12.0,4.0,NO,,,NO,,N,Data Not Available,https://doi.org/10.1016/j.clnu.2017.03.025
120,29410955,AlfaMJ_2018,"A Randomized Placebo Controlled Clinical Trial to Determine the Impact of Digestion Resistant Starch MSPrebiotic(®) on Glucose, Insulin, and Insulin Resistance in Elderly and Mid-Age Adults",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3389/fmed.2017.00260
652,39723083,AljumayiH_2024,Mushroom and Kefir Functional Characterizations: Hypolipidemia and Gut Microbiota Modulations in Rat Models,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1002/fsn3.4503
505,37609544,AljuraibanGS_2023,Types of fiber and gut microbiota composition and diversity among arab females,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.sjbs.2023.103767
220,32025615,AlyousifZ_2020,Gastrointestinal Tolerance and Microbiome Response to Snacks Fortified with Pea Hull Fiber: A Randomized Trial in Older Adults,31.0,NO,Pea fiber snack,9.3,,2.0,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1093/cdn/nzaa005
35,25218748,AlZahalO_2014,Use of a direct-fed microbial product as a supplement during the transition period in dairy cattle,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3168/jds.2014-8248
356,34923905,AmadieuC_2022,Restoring an adequate dietary fiber intake by inulin supplementation: a pilot study showing an impact on gut microbiota and sociability in alcohol use disorder patients,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1080/19490976.2021.2007042
667,39864520,AmadieuC_2025,"Effect of inulin supplementation on fecal and blood metabolome in alcohol use disorder patients: A randomised, controlled dietary intervention",,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1016/j.clnesp.2025.01.046
685,40159691,AmatoKR_2025,Supplementation With Human Foods Affects the Gut Microbiota of Wild Howler Monkeys,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1002/ajp.70029
602,39069899,AmbatA_2024,Enhancing recovery from gut microbiome dysbiosis and alleviating DSS-induced colitis in mice with a consortium of rare short-chain fatty acid-producing bacteria,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1080/19490976.2024.2382324
46,25644340,AmpatzoglouA_2015,"Increased whole grain consumption does not affect blood biochemistry, body composition, or gut microbiology in healthy, low-habitual whole grain consumers",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3945/jn.114.202176
708,40489796,"AndersenSPhD,AdvAPD_2025",Prebiotic fibre enteral supplementation post allogeneic transplantation; feasibility and impact on the microbiome,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1182/bloodadvances.2024015703
629,39367119,AndreozziV_2024,Synbiotic supplementation may globally improve non-motor symptoms in patients with stable Parkinson's disease: results from an open label single-arm study,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1038/s41598-024-74400-w
565,38644728,AnR_2024,Inulin mitigated antibiotic-induced intestinal microbiota dysbiosis - a comparison of different supplementation stages,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1039/d3fo05186b
715,40689297,Arce-LópezB_2025,Effect of fiber-modified kombucha tea on gut microbiota in healthy population: A randomized controlled trial (RCT),,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.crfs.2025.101130
158,30562060,AroraT_2019,Microbial fermentation of flaxseed fibers modulates the transcriptome of GPR41-expressing enteroendocrine cells and protects mice against diet-induced obesity,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1152/ajpendo.00391.2018
442,36431088,ArslanNÇ_2022,Efficacy of AI-Assisted Personalized Microbiome Modulation by Diet in Functional Constipation: A Randomized Controlled Trial,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/jcm11226612
490,37224267,AslanÇİnNN_2024,"Effect of prebiotic and probiotic supplementation on reduced pain in patients with fibromyalgia syndrome: a double-blind, placebo-controlled randomized clinical trial",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1080/13548506.2023.2216464
244,32459282,AzevedoR_2020,"Resistant starch supplementation effects on plasma indole 3-acetic acid and aryl hydrocarbon receptor mRNA expression in hemodialysis patients: Randomized, double blind and controlled clinical trial",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1590/2175-8239-JBN-2020-0003
72,27477485,AzpirozF_2017,"Effects of scFOS on the composition of fecal microbiota and anxiety in patients with irritable bowel syndrome: a randomized, double blind, placebo controlled study",,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1111/nmo.12911
600,39064788,BabaY_2024,"Effect of Intake of Bifidobacteria and Dietary Fiber on Resting Energy Expenditure: A Randomized, Placebo-Controlled, Double-Blind, Parallel-Group Comparison Study",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/nu16142345
29,24744316,BaerDJ_2014,The metabolizable energy of dietary resistant maltodextrin is variable and alters fecal microbiota composition in adult men,14.0,,Resistant Maltodextrin,50.0,,2.0,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3945/jn.113.185298
677,40005672,BandowB_2025,Diet Supplementation with Pomegranate Fruit Alters Distal Gut Microbiota of Healthy Female College Students,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/microorganisms13020305
335,34444797,BarberC_2021,Differential Effects of Western and Europe-Type Diets on Gut Microbiota: A Metagenomics and Metabolomics Approach,20.0,NO,Europe diet,54.16,General Fibers,4.0,2.0,YES,Spain,Europe,PRJNA755720,YES,Y,Shotgun,https://doi.org/10.3390/nu13082638
