feature	AB01_02	AB01_04	AB01_12	AB02_00	AB02_02	AB02_04	AB02_12	AB03_00	AB03_02	AB03_04	AB03_12	AB04_00	AB04_02	AB04_04	AB04_12	AB05_00	AB05_02	AB05_04	AB05_12	AB06_00	AB06_02	AB06_04	AB06_12	AB07_00	AB07_02	AB07_04	AB07_12	AB09_00	AB09_02	AB09_04	AB09_12	AB10_00	AB10_02	AB10_04	AB10_12	AB11_00	AB11_02	AB11_04	AB11_12	AB12_00	AB12_02	AB12_04	AB12_12	AB13_00	AB13_02	AB13_04	AB13_12	AB14_00	AB14_02	AB14_04	AB14_12	AB15_00	AB15_02	AB15_04	AB15_12	AB17_00	AB17_02	AB17_04	AB17_12	AB19_00	AB19_02	AB19_04	AB19_12	AB20_00	AB20_02	AB20_04	AB20_12	AB21_00	AB21_02	AB21_04	AB21_12	AB22_00	AB22_02	AB22_04	AB22_12	AB23_00	AB23_02	AB23_04	AB23_12	AB24_00	AB24_02	AB24_04	AB24_12	AB25_00	AB25_02	AB25_04	AB25_12	AB26_00	AB26_02	AB26_04	AB27_00	AB27_02	AB27_04	AB27_12	AB28_00	AB28_02	AB28_04	AB28_12	AB30_00	AB30_02	AB30_04	AB30_12	AB31_00	AB31_04	AB31_12	AB32_00	AB32_02	AB33_00	AB33_02	AB34_00	AB34_02	AB34_04	AB34_12	AB35_00	AB35_02	AB35_04	AB35_12	AB36_00	AB36_02	AB36_04	AB36_12	AB37_00	AB37_02	AB37_04	AB37_12	AB38_00	AB38_02	AB38_04	AB38_12	AB39_00	AB39_02	AB39_04	AB39_12	AB40_00	AB40_02	AB40_04	AB40_12	AB41_00	AB41_02	AB41_04	AB41_12	AB43_00	AB43_02	AB43_04	AB43_12	AB45_00	AB45_02	AB45_04	AB45_12	AB46_00	AB46_02	AB46_04	AB46_12	AB47_00	AB47_02	AB47_12
total_reads	10868467.0	9817802.0	14987676.0	7702874.0	10127043.0	10316126.0	9671478.0	8504854.0	10844372.0	10271526.0	9627068.0	18607108.0	8377555.0	8030403.0	10753174.0	11482677.0	8529454.0	9716221.0	10031668.0	6133242.0	10607129.0	8411377.0	9751468.0	7744161.0	11205600.0	9293186.0	5301230.0	10123418.0	4030748.0	12695388.0	6781526.0	9006050.0	5472021.0	11389354.0	13159599.0	11602694.0	9520176.0	10271593.0	8938988.0	12858420.0	11086587.0	10393384.0	13063236.0	9980299.0	6704780.0	8395744.0	8586952.0	14108066.0	10120009.0	9835392.0	8237100.0	12630480.0	11471129.0	10705992.0	8434415.0	8861090.0	8897422.0	7568258.0	8234458.0	10967069.0	8415562.0	8736289.0	7584700.0	10438839.0	8259318.0	11296738.0	7134246.0	9820000.0	8987960.0	8245650.0	10268069.0	11592645.0	10446827.0	9590730.0	6173990.0	11824901.0	9641614.0	12211070.0	6904560.0	8472997.0	8013487.0	10082014.0	10970238.0	10818531.0	11981911.0	10091797.0	10147215.0	6433408.0	4507826.0	10749444.0	11879911.0	11020760.0	8423789.0	12813922.0	7795475.0	11754403.0	10288428.0	9833920.0	7944105.0	8441095.0	9819228.0	12307600.0	11774953.0	9698809.0	9247619.0	7493852.0	7215342.0	10018196.0	9952460.0	9198560.0	10544274.0	9891951.0	9801698.0	7337355.0	7934906.0	12288018.0	9166536.0	8139433.0	10556804.0	9263331.0	8059289.0	9939343.0	5493105.0	11956734.0	13005024.0	9599621.0	8761412.0	7513284.0	12704339.0	7979729.0	9767591.0	9550003.0	9118939.0	6930849.0	10040376.0	10640798.0	10751387.0	9367377.0	9453109.0	9114124.0	11870563.0	7135655.0	10244723.0	9627842.0	10602636.0	8961282.0	10608634.0	10990399.0	19082837.0	10045951.0	9629731.0	7164754.0	11071412.0	12465284.0	14073148.0	7974037.0
filtered_reads	10547888.0	9822258.0	14942798.0	7640499.0	10120919.0	10251616.0	9604915.0	8440632.0	10734376.0	10297503.0	9413002.0	18467773.0	8102335.0	7760128.0	10836442.0	11433591.0	8577297.0	9647111.0	10113953.0	6142089.0	10501840.0	8186796.0	9512454.0	7602374.0	11045991.0	9011420.0	5168986.0	9983746.0	4012809.0	12399165.0	6609979.0	8938804.0	5321160.0	11085555.0	12871939.0	11612411.0	9495244.0	10222243.0	8875755.0	12866044.0	10731904.0	10332675.0	12956703.0	9962314.0	6532445.0	8163931.0	8525450.0	13421628.0	9957642.0	9621765.0	8271446.0	12284897.0	11133099.0	10449627.0	8433648.0	8779151.0	8874511.0	7449589.0	8087262.0	11174072.0	7941406.0	8249543.0	7768064.0	10029139.0	7884782.0	11226997.0	7015944.0	9805340.0	8915611.0	8124429.0	9984386.0	11574593.0	10198334.0	9353988.0	6131108.0	11598567.0	9367610.0	11731268.0	6778899.0	8243135.0	7973883.0	9998105.0	10820368.0	10542485.0	11619173.0	10107602.0	9755288.0	6225333.0	4341109.0	10719932.0	11606606.0	10736054.0	8220019.0	12777262.0	7707744.0	11671014.0	9977677.0	9833099.0	7595568.0	8017804.0	9667389.0	12172000.0	11700453.0	9559297.0	9257523.0	7196811.0	6938549.0	10100533.0	9966182.0	9175613.0	10449714.0	9859880.0	9728126.0	7304772.0	7849961.0	12335776.0	9144119.0	7943046.0	10217319.0	8977197.0	8062150.0	9824349.0	5375301.0	11692424.0	12708917.0	9749580.0	8804175.0	7332627.0	12338401.0	7737456.0	9458608.0	9352051.0	9036060.0	6915313.0	9953857.0	10504169.0	10766281.0	9113042.0	9236481.0	8842348.0	11649590.0	6989227.0	10001434.0	9397199.0	10620961.0	9189717.0	10887195.0	11054664.0	19456978.0	10105203.0	9570438.0	7157957.0	11070193.0	12540636.0	13916490.0	7880507.0
category	49332.53638	52753.88997	49216.11784	55790.39143	60413.26115	56724.36904	63768.37359	58813.74568	55812.61	62265.30559	53826.70714	53622.4847	51354.22105	47874.17594	56011.92019	54058.64564	57395.76525	53328.34085	49848.89546	58788.97375	62310.33215	52157.47982	54279.40837	63648.92485	55451.76958	53286.577	59371.54694	59182.08794	57890.85346	50145.76198	57569.59416	62251.45656	54125.7604	57031.28413	57356.48358	70717.20396	56841.36999	56188.4209	61412.27415	55912.60656	48736.20257	54539.53926	55570.10379	57522.99365	51439.79791	51360.2459	53449.25335	49078.09816	52653.48281	54526.9667	55636.53747	50543.09002	48150.03892	49104.51893	59850.90835	54335.5621	57324.93502	54082.4692	57697.71627	50026.85531	46329.20102	46722.53021	49705.08159	57358.6099	42121.36908	50286.91569	49462.24322	55122.75152	52698.82955	57493.32358	50867.01911	52635.44041	53978.56009	50667.31759	53182.56763	59455.85464	58887.48539	56885.5573	58612.02608	50073.19304	53286.97933	48021.79266	52127.49696	47537.0973	48631.71335	53968.09641	49748.98353	50068.45722	49697.74903	49603.70475	52636.19446	54270.98748	53334.97388	59833.76873	54878.8774	55371.3995	50867.98763	59495.98136	50165.20753	45013.57358	45994.4202	50017.27579	51543.49751	46815.72696	47210.14882	50913.97126	49060.46794	50899.97029	55069.35505	66595.83582	62681.88131	70835.22494	65175.88881	49759.07229	50180.18344	51913.45919	51392.38877	52678.2127	51950.18885	51263.23148	58723.5073	53482.04129	53339.90587	56284.48886	52193.11031	57692.5661	53996.82455	50474.16501	50808.16793	46802.06493	46084.01329	44646.23328	52389.51818	56007.12217	49206.39917	49759.99426	59342.88009	60583.42678	70375.54272	60420.42896	70217.35624	51924.25909	51866.36469	54141.06761	54271.92303	50951.95252	48311.65398	49789.86516	48381.82896	49935.35103	54160.71789	49197.62581	46785.38754	51089.88078	44855.70363	49188.79634
AA1	16.2335	49.80334	5.70912	0.61261	0.55405	1.7555	1.76971	1.38238	1.11969	5.60223	0.06334	0.84988	1.03881	6.94412	15.92645	43.66083	24.17482	9.08264	19.4283	108.50294	4.66114	0.69482	3.68191	2.26692	1.11875	2.98211	2.61138	1.52152	4.01349	0.66114	2.85688	5.20177	3.15285	3.83775	7.90863	9.51283	13.25116	9.66347	3.954	5.07889	3.63197	3.08112	3.30316	6.4331	1.75153	4.35602	4.45553	2.76719	22.56015	4.45716	178.87966	2.53485	2.41573	0.88802	7.92936	8.6661	43.39607	5.27951	6.14024	9.95337	9.00147	6.32937	12.27826	1.56674	1.89307	2.3827	1.11448	2.76654	2.05384	5.51339	2.88807	11.65314	4.54884	7.25539	30.56578	3.35067	0.86828	3.57964	2.23191	0.2436	2.1648	4.04508	4.47833	7.16545	37.35064	9.44527	21.601	3.07877	0.19101	0.77541	2.37704	6.41901	6.6226	1.98628	0.08649	2.39386	2.78931	2.74489	3.27564	5.60635	18.36089	8.68283	10.14581	7.69414	5.96856	7.00619	6.62839	5.75083	1.28052	7.6807	4.94476	25.51954	11.21014	3.85342	7.14913	6.10376	2.46269	4.79078	1.3218	7.14102	0.93129	3.05015	0.62529	0.17343	4.21707	6.13009	8.23682	16.05783	6.82634	1.63195	0.62292	2.84394	20.93518	3.84425	12.6642	8.10972	7.29065	2.97997	1.29299	2.05181	9.77986	0.18065	0.86105	0.23861	2.50621	6.67062	16.52232	3.11843	12.18306	2.32706	1.96095	1.24773	2.6094	22.09438	16.69707	14.07658
AA10	0.30932	3.43884	NA	0.3761	0.22773	0.22483	NA	0.23648	0.27892	1.65481	NA	0.49034	0.64036	0.21086	2.17113	13.31681	1.7542	NA	0.94706	38.62669	3.16569	0.117	0.50347	0.12599	0.17343	0.21259	NA	0.45172	0.4774	0.1545	NA	NA	NA	NA	NA	NA	0.52203	0.10003	NA	0.65639	0.09299	0.39118	0.28413	NA	0.2062	NA	NA	NA	3.19942	0.49775	88.20486	NA	NA	NA	NA	0.96897	0.66837	NA	NA	0.23795	NA	NA	0.21065	NA	2.07426	0.77763	0.46646	0.6019	NA	NA	0.53229	NA	NA	0.77227	NA	0.26447	NA	NA	0.48277	0.2324	0.68571	NA	3.9577	NA	0.34088	NA	2.85024	4.06036	NA	NA	NA	0.57249	NA	NA	NA	NA	NA	1.25367	0.26279	NA	2.6948	NA	1.14611	4.43968	0.63266	11.22947	0.29473	6.22484	NA	NA	NA	NA	NA	15.16522	0.93378	0.46106	0.21828	0.24118	0.16015	NA	0.74008	NA	NA	NA	0.38626	0.68772	1.97532	0.13063	0.4197	0.80853	NA	0.17497	4.75028	NA	4.38746	NA	NA	0.65752	NA	NA	NA	NA	NA	NA	0.40771	0.71225	NA	NA	NA	NA	NA	0.36242	NA	NA	NA	NA
AA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA3	0.3232	0.05831	NA	NA	NA	NA	NA	0.51842	1.16011	0.82454	NA	0.10617	0.242	0.12634	0.27142	0.08575	0.2924	NA	0.18706	NA	0.09335	NA	0.51532	NA	0.26627	0.10879	0.32643	0.34413	0.36605	NA	1.51926	0.44426	0.18424	0.17688	0.15233	1.14381	0.22926	0.27143	NA	0.0762	0.01733	0.36372	0.2905	1.02754	NA	NA	NA	NA	0.29537	NA	0.37134	0.41241	0.08806	NA	3.69032	1.25675	0.31495	NA	0.12123	NA	NA	NA	0.55994	0.73316	0.97665	NA	0.13974	NA	NA	0.12067	0.39277	1.63841	0.7306	1.66512	4.35968	0.4072	NA	NA	NA	0.3568	0.12295	0.74118	0.09061	0.26131	6.31596	0.21223	NA	0.15748	1.47112	NA	NA	NA	NA	0.11272	NA	0.07868	NA	NA	0.19334	NA	NA	NA	0.07364	NA	NA	0.27245	NA	0.03287	NA	0.65782	NA	0.18445	5.3759	NA	NA	0.23163	NA	NA	NA	NA	0.9419	0.33019	0.31977	NA	0.32088	NA	0.11136	NA	NA	NA	NA	0.37676	NA	NA	0.14634	0.40684	1.73882	0.06737	NA	0.20052	NA	0.1411	NA	NA	0.09285	NA	0.06661	NA	0.10985	NA	1.23153	0.42534	0.17817	NA	0.36396	NA
AA3_2	0.08646	0.02134	NA	NA	NA	NA	NA	0.18908	NA	0.38877	NA	0.11038	NA	NA	NA	NA	0.19626	NA	0.08356	NA	NA	NA	0.13223	0.12409	0.11387	0.27917	1.33955	0.25085	0.11755	0.05082	1.2454	0.04104	NA	NA	NA	0.63694	0.18049	0.25559	NA	NA	0.0806	NA	0.07937	0.30064	NA	NA	NA	NA	0.12656	NA	0.31534	0.42524	NA	0.0603	1.08994	0.44205	0.67481	NA	NA	NA	NA	NA	0.34886	NA	0.02991	NA	NA	NA	NA	NA	NA	1.11802	0.41223	1.04923	2.76166	0.09652	NA	NA	NA	NA	NA	0.31884	0.165	0.05966	9.29228	0.02333	NA	NA	0.14515	0.11756	NA	NA	NA	0.02228	0.0408	0.03596	NA	NA	0.04521	NA	NA	NA	0.0914	NA	0.18389	0.0437	NA	0.05344	NA	0.2144	0.0603	0.24831	2.15042	NA	0.22408	0.1216	NA	NA	NA	NA	0.04955	0.18922	0.16407	NA	1.22178	NA	0.34964	0.65969	0.07128	NA	NA	0.14459	0.03487	NA	0.21926	3.29196	0.68815	0.12104	0.03411	0.10499	0.05409	NA	NA	NA	0.03065	0.04785	0.23618	0.03978	0.07571	0.04352	0.23646	0.01467	NA	NA	0.2477	NA
AA4	32.94027	38.84081	22.97313	10.89527	14.41911	13.84591	6.19112	9.09013	7.67744	10.71139	8.8076	11.272	13.45875	14.23553	15.33471	10.00096	7.25399	15.46367	9.65357	6.00542	9.35241	6.61401	6.94119	49.64267	29.76187	39.80635	35.96004	27.99044	7.49985	4.90438	6.70473	7.66149	10.97282	11.79534	12.00762	16.91377	18.11031	20.32376	11.06356	7.81016	11.4443	9.80382	11.92093	9.09157	4.92312	9.81061	8.70181	11.28841	8.31477	12.99659	9.62942	5.61663	4.63301	4.89324	7.56975	14.68086	37.37122	12.32139	10.53851	16.03566	18.94403	15.55747	12.765	7.86537	16.04605	10.48018	13.98959	22.44338	20.74446	32.5127	23.09846	15.47428	11.96535	11.76683	12.6788	13.62442	12.34077	11.22899	9.35244	19.07176	11.62654	8.41866	10.31925	23.99509	27.82022	28.26264	15.16956	3.0634	6.82064	5.87273	8.10861	7.52072	9.93172	9.66322	8.68766	10.31246	9.20885	11.95795	17.47355	5.14242	7.36008	13.93342	10.86058	12.59627	8.11649	12.47579	10.71976	15.05912	3.89988	5.48177	5.4611	7.26962	8.7334	13.00796	17.56158	20.02685	18.72147	8.40812	13.59979	10.28183	10.73981	6.07577	5.62829	8.98157	6.94483	10.26549	8.39912	14.02136	9.40121	6.20996	6.49602	6.28321	12.67196	9.25842	11.88338	20.05634	13.64208	4.12244	2.99262	6.29189	4.00689	11.75214	7.97256	8.22187	8.27287	11.79953	14.80707	11.56752	13.19553	33.59388	13.65015	18.0236	14.69256	33.19437	26.2622	25.56097
AA6	28.4846	24.29009	24.76052	34.54751	27.92238	27.99546	9.68869	24.51811	32.47952	26.61461	27.44986	61.78594	47.08311	46.49694	53.69386	13.85971	16.60812	13.16989	13.80833	16.09943	28.09267	32.58064	25.31397	32.56663	40.14714	47.05326	41.19448	18.21896	46.12712	19.50298	26.01742	36.62346	27.5028	36.46991	25.93686	14.25241	22.37995	18.49428	16.89486	38.16962	18.83197	28.27595	21.93755	33.21653	25.44049	19.21198	29.07086	47.8507	25.66808	34.95621	37.8155	11.81607	14.2935	12.67081	18.24169	17.91596	26.26769	20.08691	17.34258	83.81575	78.39265	56.61391	44.2805	20.21628	50.03185	54.96725	51.56275	26.73671	24.30419	23.53363	22.3622	25.43772	28.05204	21.40124	23.66374	24.61321	21.66811	17.39414	22.02278	27.7192	43.69528	66.77338	65.81374	32.05301	41.02461	52.51569	31.7986	60.12125	48.80524	116.90088	27.18406	21.20456	32.39721	36.05531	13.60054	19.76023	17.46253	23.88283	52.50504	60.03008	66.61895	74.27325	18.56388	17.17297	11.88627	30.37278	15.65515	37.81948	30.73515	20.30663	14.30209	12.66213	23.137	23.29795	26.83192	13.02719	26.71113	27.69135	20.93074	15.20056	36.02012	25.89535	20.16625	26.06562	22.21165	54.41321	39.7935	33.82482	27.35173	21.35898	27.11897	38.21131	12.07622	28.00413	42.72786	47.08722	37.54131	23.2776	9.15746	24.50955	20.32446	23.7324	21.18142	23.09018	33.31599	52.1179	58.38405	36.20918	49.13843	58.29045	30.39519	20.32716	26.91898	17.49465	26.97053	17.93295
