feature	AB01_02	AB01_04	AB01_12	AB02_00	AB02_02	AB02_04	AB02_12	AB03_00	AB03_02	AB03_04	AB03_12	AB04_00	AB04_02	AB04_04	AB04_12	AB05_00	AB05_02	AB05_04	AB05_12	AB06_00	AB06_02	AB06_04	AB06_12	AB07_00	AB07_02	AB07_04	AB07_12	AB09_00	AB09_02	AB09_04	AB09_12	AB10_00	AB10_02	AB10_04	AB10_12	AB11_00	AB11_02	AB11_04	AB11_12	AB12_00	AB12_02	AB12_04	AB12_12	AB13_00	AB13_02	AB13_04	AB13_12	AB14_00	AB14_02	AB14_04	AB14_12	AB15_00	AB15_02	AB15_04	AB15_12	AB17_00	AB17_02	AB17_04	AB17_12	AB19_00	AB19_02	AB19_04	AB19_12	AB20_00	AB20_02	AB20_04	AB20_12	AB21_00	AB21_02	AB21_04	AB21_12	AB22_00	AB22_02	AB22_04	AB22_12	AB23_00	AB23_02	AB23_04	AB23_12	AB24_00	AB24_02	AB24_04	AB24_12	AB25_00	AB25_02	AB25_04	AB25_12	AB26_00	AB26_02	AB26_04	AB27_00	AB27_02	AB27_04	AB27_12	AB28_00	AB28_02	AB28_04	AB28_12	AB30_00	AB30_02	AB30_04	AB30_12	AB31_00	AB31_04	AB31_12	AB32_00	AB32_02	AB33_00	AB33_02	AB34_00	AB34_02	AB34_04	AB34_12	AB35_00	AB35_02	AB35_04	AB35_12	AB36_00	AB36_02	AB36_04	AB36_12	AB37_00	AB37_02	AB37_04	AB37_12	AB38_00	AB38_02	AB38_04	AB38_12	AB39_00	AB39_02	AB39_04	AB39_12	AB40_00	AB40_02	AB40_04	AB40_12	AB41_00	AB41_02	AB41_04	AB41_12	AB43_00	AB43_02	AB43_04	AB43_12	AB45_00	AB45_02	AB45_04	AB45_12	AB46_00	AB46_02	AB46_04	AB46_12	AB47_00	AB47_02	AB47_12
total_reads	10943819.0	10011636.0	15256965.0	7767932.0	10230777.0	10438532.0	9768897.0	8567417.0	10922688.0	10392881.0	9672086.0	18829292.0	8423848.0	8074702.0	11377210.0	11686844.0	8685271.0	9890477.0	10279693.0	6216955.0	10700852.0	8445430.0	9792017.0	7798827.0	11311197.0	9342816.0	5329209.0	10195429.0	4079918.0	12754038.0	6816842.0	9102915.0	5499065.0	11453125.0	13220945.0	11713210.0	9647055.0	10390375.0	9013640.0	13089204.0	11149579.0	10546486.0	13229991.0	10159320.0	6756341.0	8464479.0	8738577.0	14267231.0	10305593.0	10007045.0	8416268.0	12697442.0	11529323.0	10781113.0	8536883.0	8941266.0	8999887.0	7621549.0	8286613.0	11443682.0	8508273.0	8834751.0	8056474.0	10509083.0	8328578.0	11475281.0	7197046.0	9948126.0	9084258.0	8310556.0	10331107.0	11766336.0	10512793.0	9654907.0	6248789.0	11944206.0	9696589.0	12273314.0	6971513.0	8528749.0	8131881.0	10253788.0	11087389.0	10924285.0	12056323.0	10277597.0	10224347.0	6474058.0	4553827.0	11219156.0	11941692.0	11081882.0	8467269.0	12937532.0	7864315.0	11849738.0	10338100.0	9935704.0	8011470.0	8514570.0	10043914.0	12453578.0	11892503.0	9797445.0	9408805.0	7572332.0	7277416.0	10245979.0	10081982.0	9300718.0	10627731.0	10003309.0	9875245.0	7473889.0	8048711.0	12618527.0	9316582.0	8209623.0	10616308.0	9317105.0	8196180.0	10011820.0	5519477.0	12028504.0	13077925.0	9909892.0	8989817.0	7608288.0	12780271.0	8018007.0	9820215.0	9621925.0	9204202.0	7018137.0	10149000.0	10738833.0	10873156.0	9421313.0	9494989.0	9157306.0	11951281.0	7187447.0	10304922.0	9679800.0	10778595.0	9380270.0	11148201.0	11425173.0	19989974.0	10284794.0	9796038.0	7311465.0	11291180.0	12845039.0	14339777.0	8165936.0
filtered_reads	10547888.0	9822258.0	14942798.0	7640499.0	10120919.0	10251616.0	9604915.0	8440632.0	10734376.0	10297503.0	9413002.0	18467773.0	8102335.0	7760128.0	10836442.0	11433591.0	8577297.0	9647111.0	10113953.0	6142089.0	10501840.0	8186796.0	9512454.0	7602374.0	11045991.0	9011420.0	5168986.0	9983746.0	4012809.0	12399165.0	6609979.0	8938804.0	5321160.0	11085555.0	12871939.0	11612411.0	9495244.0	10222243.0	8875755.0	12866044.0	10731904.0	10332675.0	12956703.0	9962314.0	6532445.0	8163931.0	8525450.0	13421628.0	9957642.0	9621765.0	8271446.0	12284897.0	11133099.0	10449627.0	8433648.0	8779151.0	8874511.0	7449589.0	8087262.0	11174072.0	7941406.0	8249543.0	7768064.0	10029139.0	7884782.0	11226997.0	7015944.0	9805340.0	8915611.0	8124429.0	9984386.0	11574593.0	10198334.0	9353988.0	6131108.0	11598567.0	9367610.0	11731268.0	6778899.0	8243135.0	7973883.0	9998105.0	10820368.0	10542485.0	11619173.0	10107602.0	9755288.0	6225333.0	4341109.0	10719932.0	11606606.0	10736054.0	8220019.0	12777262.0	7707744.0	11671014.0	9977677.0	9833099.0	7595568.0	8017804.0	9667389.0	12172000.0	11700453.0	9559297.0	9257523.0	7196811.0	6938549.0	10100533.0	9966182.0	9175613.0	10449714.0	9859880.0	9728126.0	7304772.0	7849961.0	12335776.0	9144119.0	7943046.0	10217319.0	8977197.0	8062150.0	9824349.0	5375301.0	11692424.0	12708917.0	9749580.0	8804175.0	7332627.0	12338401.0	7737456.0	9458608.0	9352051.0	9036060.0	6915313.0	9953857.0	10504169.0	10766281.0	9113042.0	9236481.0	8842348.0	11649590.0	6989227.0	10001434.0	9397199.0	10620961.0	9189717.0	10887195.0	11054664.0	19456978.0	10105203.0	9570438.0	7157957.0	11070193.0	12540636.0	13916490.0	7880507.0
category	4267332.07101	3956454.50585	5874949.31469	3276604.24958	4466130.75999	4277938.95981	4170900.01968	3461548.73567	4327318.87864	4330235.7664	3830080.24303	7032928.49812	3091893.59271	2864095.51639	3920669.00703	4213058.51644	3295835.14182	3616937.65513	3505835.8629	2585438.04712	4390296.09324	3257527.40843	3791254.12675	3105591.96552	4293269.69952	3491481.99809	2023781.51659	4070767.46738	1699309.77709	4867441.45889	2585795.84232	3476029.61593	2050420.61874	4342409.76199	5023339.39215	4825726.73989	3840485.20878	4017404.90388	3672915.482	5262411.9658	4146507.91361	4187787.05889	5345191.29743	3766036.92973	2462075.96821	3181424.18463	3194933.71662	5184207.62632	3781329.0257	3680020.64287	3475817.52808	4915399.43456	4426922.87148	4251720.67748	3550577.30343	3332706.80336	3478111.30233	2862019.4779	3279600.52262	4141964.31559	3039282.71736	3158134.23095	2778472.42636	3714218.14073	3070463.97288	4183630.6084	2705863.61919	4047471.96914	3547604.59991	3358073.57804	4076987.29364	4706748.91063	4097215.69129	3735888.71925	2486730.94798	4335410.25124	3568383.21892	4604514.22832	2660269.88431	3243191.85929	3033950.67086	3948591.94761	4265502.31681	4241657.8376	5076278.66473	4174125.84241	3894730.28921	2355982.77825	1711580.37598	3894079.302	4389206.39056	4143176.92284	3146432.1924	4866428.97071	3193673.74422	4629219.29492	4046594.26224	4112641.42087	2997055.46982	3161982.98454	3900837.56549	4885672.89453	4790572.44202	3961616.20899	3485488.48737	2853844.57703	2764288.97153	3996076.48649	3291272.4171	4031049.6232	4502581.02676	4510756.05747	4221517.66068	2940648.89698	3176208.34467	4943379.0889	3759753.81121	3307791.44788	4196386.06728	3560605.01543	3277249.72057	3785371.47696	2131381.05411	4799006.72689	5037088.66679	3805386.7561	3480813.23716	2878317.25869	5029753.6961	3143033.68708	3741183.63109	3741190.36955	3553668.20585	2777301.31171	3965700.76008	4072230.76139	4374570.49924	3925732.29688	4154609.01878	3778997.11071	5299077.95714	2833608.61545	4039598.22446	3839290.55553	4255242.83665	3524659.21558	4111581.65175	4234781.15185	7154160.34967	4199010.16161	3877754.68232	2808052.46598	4392722.63743	5137086.75258	5368778.63393	3086080.82505
ko:K00001	1109.51016	1119.08069	1354.21416	1536.40223	2187.22595	2082.88918	2011.36963	1270.62654	2141.62765	1134.56417	1053.54572	1663.14184	837.72989	718.3734	1247.4028	996.94102	684.82912	904.45978	778.32265	1290.74574	1602.95151	838.03714	984.94293	1662.83568	1650.63282	1305.84428	581.76434	1267.25748	328.15964	795.90501	873.45983	872.24626	575.21305	1137.25564	1284.51093	1331.6369	1343.42256	844.14676	1175.33115	1797.06552	1468.61414	1646.88568	2321.48582	1191.09541	702.92271	1050.25509	883.03816	1340.98949	1160.60283	911.68089	2219.35617	1257.17749	1238.87601	1574.52419	815.95603	934.5656	1197.64114	929.47899	960.9771	1574.41763	854.99054	1059.41522	1039.05689	1115.20627	1274.96457	1227.91897	675.21576	1230.96303	1192.60326	1398.09903	1317.54532	1292.1598	1152.88401	688.823	681.68049	871.24589	693.27375	1224.4066	534.32841	551.12271	548.74694	644.02464	1063.69836	1120.86204	2134.59519	1400.7305	1356.30461	415.88916	260.12571	596.85359	854.06972	787.59176	626.30019	947.14549	1591.63584	1748.56451	1919.02545	1810.53072	631.61979	677.09971	1044.83682	1696.6898	1134.22304	786.23	798.33918	713.05609	704.61432	1512.18129	1467.00314	1483.95607	1733.69075	1971.49953	1368.57037	1038.65111	781.57509	1042.40662	878.49348	876.0375	1087.09762	769.53544	1076.2964	729.43236	437.28827	1217.52688	885.11681	859.79869	752.47732	671.09963	1211.51998	1279.39863	1335.3813	1654.77759	1095.98426	750.2004	1056.99742	706.94765	1146.10857	1483.33744	2548.72212	1387.06687	3261.66002	722.97169	854.21741	1044.66628	947.4114	697.21781	1121.05582	833.24922	1709.34253	1312.81298	1478.18014	534.33708	832.78885	2128.71736	1114.60623	700.51166
ko:K00002	342.18925	348.26205	343.04029	332.69195	509.00741	501.53983	311.69157	170.37705	218.52442	242.4381	238.24079	633.67157	297.41978	291.39325	523.80775	222.61272	146.39245	157.99424	139.95782	133.18235	274.9738	272.52536	244.66139	92.00622	249.22709	185.19497	101.35641	158.33971	134.04185	327.54091	152.8672	161.96494	104.63358	283.36821	212.04215	191.73575	246.39617	232.08192	215.40891	253.61355	254.01886	210.70782	245.77209	207.46438	169.42443	226.07235	207.93857	411.88295	199.18755	148.04226	219.46773	273.96415	326.31879	394.20718	156.73914	181.26798	249.14763	156.04988	189.25259	175.41522	215.72188	166.69507	127.6582	237.63407	290.93209	428.96265	266.3414	253.41551	238.48959	164.73984	284.96423	141.93404	165.17513	141.85827	169.22654	236.8851	320.41687	410.05832	233.3406	207.74133	192.86409	486.70509	303.34245	309.06658	295.28434	239.52175	283.27889	56.19527	45.25083	131.59492	382.94086	420.6802	227.14476	375.34228	456.17313	535.94586	708.50006	472.87641	340.74692	355.92486	486.8744	975.05901	329.74855	243.95229	61.02731	174.33651	261.46461	509.03519	201.22362	231.28872	393.39779	172.37401	216.70867	180.68777	250.42422	159.29743	165.88756	187.98313	262.01748	196.05551	138.50334	200.98227	107.76659	326.66602	318.85806	248.34832	299.30968	235.04091	520.43294	275.17924	357.14347	476.53052	287.89889	216.47572	514.38093	354.64464	260.20436	192.18716	118.07893	253.61381	373.80648	167.83172	234.45089	181.06355	213.20561	297.82888	373.41694	280.82931	603.08471	475.20628	340.93353	225.25939	484.28885	464.3397	511.21255	264.59402
ko:K00003	3854.01704	3550.31117	4613.52819	3476.36431	4805.86027	4071.55394	4116.08095	3576.47373	4767.86161	4205.8899	3617.7208	7403.0123	2979.24046	2696.33965	3591.06671	3429.88535	2676.98431	3040.08472	3083.9389	2528.87424	4754.28454	3005.88839	3033.69484	3214.64297	4337.09074	3265.19932	1572.31209	3685.08019	1805.17144	4800.56144	2036.11773	2744.57536	1728.26777	3608.10155	4094.04136	3608.80025	3533.46844	3621.20737	3177.27567	5336.69424	4101.26085	4146.33649	5322.30361	3026.59733	1943.0742	2535.35791	2525.93966	5026.39344	3012.28317	3123.1889	3590.70953	4163.49206	3863.78294	4416.15083	2902.86599	2856.72569	3075.00959	2590.59698	2832.85353	4093.55982	2958.22557	2851.17953	2257.526	2665.41851	3045.34279	3951.91943	2463.64516	4084.92642	3643.69086	3039.96917	3680.50186	4810.63657	3893.84199	3717.49236	2514.39814	4039.55757	3062.98048	4543.77678	2507.74469	2779.95253	2618.85171	3968.30809	3478.77119	4047.06991	4546.18039	3929.00971	3203.19492	2368.78266	1792.21621	4550.60429	3473.47368	3310.02179	2605.94896	3829.99623	4264.57876	4792.49269	4908.17247	4804.51815	2914.29337	3378.0985	4763.78584	5086.71167	4689.93586	3845.29852	2622.34945	2350.85475	2664.8691	3822.90069	2600.37337	4506.99989	5012.84951	5014.27219	4188.48243	3033.38375	3441.07157	4270.44306	3791.34613	3171.49099	4233.84763	2983.02564	3118.62966	3700.62461	1820.52249	4018.08734	4569.05828	3192.40262	3165.8037	2453.83364	4429.53624	3335.99202	4277.67452	4489.00661	3530.89951	2565.34505	4095.78058	4482.0359	3914.89073	4230.15653	4108.39213	3933.17306	5397.20419	2695.10459	3587.82365	3593.64994	3886.66317	3059.87833	3330.25883	3642.77639	6002.40505	4276.43435	3635.34956	2645.82625	3858.96538	5045.65972	5284.6091	2688.12132
ko:K00004	136.4085	168.1049	194.74361	168.36732	250.22384	243.27373	220.64739	159.52777	279.77626	141.59659	153.73554	113.57864	72.10888	95.93349	178.7836	252.94891	99.79365	130.5567	109.84362	242.81102	105.07282	64.99469	70.57546	17.04697	37.95945	58.99637	24.78575	35.75016	39.20066	145.8887	74.02101	73.01453	57.14109	100.98165	70.5449	267.96631	274.77327	238.95492	199.58541	267.91461	144.04981	224.96412	262.29144	175.98272	85.63642	156.29647	127.10033	77.06822	76.37671	60.45484	161.16738	158.3197	148.68328	190.23038	84.87331	112.90829	144.67437	90.69377	128.13366	89.25022	44.94527	68.75611	93.03493	213.88139	404.30583	373.99204	278.69869	145.61118	79.20471	60.57862	232.65395	325.96802	263.57662	239.03936	224.47792	127.49649	108.66097	118.48624	108.55586	229.60359	185.24373	211.95691	186.73419	234.01845	302.53405	274.73972	142.63649	531.50983	570.51706	1195.73917	174.14341	136.7646	134.49708	318.85585	202.08597	155.30237	265.84228	343.49542	168.54865	217.22791	349.04755	323.63372	81.46129	156.44176	287.35113	120.10454	128.4608	88.85549	37.26478	222.79387	244.6982	247.66708	218.24653	661.05431	754.36138	784.1213	304.26236	90.64508	75.66623	49.46258	96.58176	127.20594	39.23694	150.79598	122.1764	190.27906	202.03008	125.31241	196.20355	195.56214	214.24696	329.58948	243.95516	67.93946	221.57582	271.58368	215.40858	121.41399	142.55122	87.12904	103.7617	68.58659	112.65787	94.70749	185.60754	129.94634	151.69838	134.03967	311.3312	71.66709	143.2555	114.84505	151.25351	207.40882	242.45783	69.50244
ko:K00005	1313.50218	1670.56612	1915.54414	1418.8137	2018.16912	1849.54315	1714.58849	1672.1945	2433.76256	1877.58543	2070.18773	3133.9264	1018.69593	924.65541	1217.13355	864.80822	704.32793	846.74693	1091.0902	992.91148	1738.36765	974.57093	1112.80507	948.25883	1312.89226	1024.18983	364.38457	1991.07208	1221.01001	2164.65086	1313.20849	1618.64474	951.47752	1694.43421	2251.46872	1573.60107	1553.60849	1475.718	1567.03478	3458.22856	1996.86604	2293.25552	2537.76595	1291.70583	968.29559	1052.53815	864.47601	1859.82449	937.54892	1155.26591	904.72207	962.51561	1186.558	1553.87897	853.05661	1320.29878	1439.20203	1257.61308	1056.83555	1632.20092	722.046	803.72254	893.99745	714.17381	1360.27007	1253.68901	1101.20049	2385.70054	2229.18493	1821.00631	1849.35706	1752.03663	1191.88317	1245.53206	912.53353	847.87083	978.12783	1161.2708	808.72138	1231.21594	1245.28829	2003.94052	1637.88369	1650.10005	1996.83011	1729.62727	1127.96165	948.27169	894.615	970.4718	1652.82247	1964.69915	1232.77213	2185.38749	1671.26395	2083.37041	1997.93721	1957.40467	1177.81396	1647.59265	2023.61087	1703.06455	2100.58032	1499.53269	1444.10859	1500.55787	1357.03431	2581.81308	1286.48206	1778.89439	2205.6404	2080.9063	1952.49484	1454.31822	1631.91644	1488.59553	1577.04713	1291.36732	1884.97426	1675.29462	1478.28187	1857.13845	877.16029	3243.99254	2013.45694	1623.25717	1297.80604	1168.95221	1838.43724	1918.06801	2458.10632	2543.95175	1855.12121	1269.22856	2005.2128	1868.08021	2009.67109	1470.13786	1610.72153	1560.97019	1785.62886	1418.77376	2084.02563	2100.58251	2074.89844	1244.25277	1146.7542	1453.02595	2205.99072	1385.26975	1105.87257	704.15137	1355.52221	2445.22072	2608.84148	984.9156
ko:K00006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.26962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.21131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.58879	5.55692	0.73274	10.29873	NA	NA	2.34982	1.31796	NA	NA	NA
ko:K00007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33839	NA	NA	NA	NA	NA	NA	4.97741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.85114	NA	31.77118	5.02535	5.59196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.23198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13292	NA	NA	NA	NA	NA	0.46606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.50021	NA	NA	NA	NA	NA	0.72488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.02296	NA	2.44265	NA	NA	NA	NA	NA	NA	NA	NA	3.02424	NA	NA	NA	NA	NA	NA	NA	0.29788	NA
