feature	ERR2508876	ERR2508877	ERR2508878	ERR2508879	ERR2508880	ERR2508881	ERR2508882	ERR2508883	ERR2508884	ERR2508885	ERR2508886	ERR2508887	ERR2508888	ERR2508889	ERR2508890	ERR2508891	ERR2508892	ERR2508893	ERR2508894	ERR2508895	ERR2508896	ERR2508897	ERR2508898	ERR2508899	ERR2508900	ERR2508901	ERR2508902	ERR2508903	ERR2508904	ERR2508905	ERR2508906	ERR2508907	ERR2508908	ERR2508909	ERR2508910	ERR2508911	ERR2508912	ERR2508913	ERR2508914	ERR2508915	ERR2508916	ERR2508917	ERR2508918	ERR2508919	ERR2508920	ERR2508921	ERR2508922	ERR2508923	ERR2508924	ERR2508925	ERR2508926	ERR2508927	ERR2508928	ERR2508929	ERR2508930	ERR2508931	ERR2508932	ERR2508933	ERR2508934	ERR2508935	ERR2508936	ERR2508937	ERR2508938	ERR2508939	ERR2508940	ERR2508941	ERR2508942	ERR2508943	ERR2508944	ERR2508945	ERR2508946	ERR2508947	ERR2508948	ERR2508949	ERR2508950	ERR2508951	ERR2508952	ERR2508953	ERR2508954	ERR2508955	ERR2508956	ERR2508957	ERR2508958	ERR2508959	ERR2508960	ERR2508961	ERR2508962	ERR2508963	ERR2508964	ERR2508965	ERR2508966	ERR2508967	ERR2508968	ERR2508969	ERR2508970	ERR2508971	ERR2508972
total_reads	3467149.0	3475781.0	3493803.0	1714299.0	3502226.0	3501979.0	3508178.0	3513953.0	1659979.0	3378842.0	3395386.0	3405431.0	3268886.0	3382138.0	3396747.0	3404563.0	2348219.0	3375216.0	3389206.0	3403965.0	3393798.0	287159.0	3132175.0	3108355.0	1958869.0	3387602.0	3457972.0	3466690.0	3418670.0	3447360.0	3459226.0	3471501.0	3253389.0	3375002.0	3391844.0	3406098.0	2327282.0	3429349.0	3447528.0	1123096.0	3450366.0	3466191.0	3477625.0	2368195.0	3222223.0	3160635.0	3224093.0	2425438.0	3196740.0	3109171.0	3219639.0	3130072.0	19757.0	3140096.0	3024410.0	3139981.0	3032532.0	912653.0	3284038.0	3178775.0	3286336.0	3192315.0	952067.0	3024856.0	2958656.0	3028817.0	1901656.0	2964685.0	2879330.0	2975590.0	2135063.0	2909179.0	2941439.0	2546336.0	3059075.0	2946333.0	3042433.0	2979231.0	1530150.0	3162258.0	3109965.0	3166326.0	1656385.0	3037602.0	3073608.0	899000.0	3089519.0	3043182.0	3085842.0	1371873.0	3151588.0	3129850.0	3106371.0	652207.0	3502532.0	3513128.0	780522.0
filtered_reads	3452826.0	3465346.0	3474628.0	1700868.0	3493919.0	3485730.0	3495641.0	3494244.0	1659296.0	3319304.0	3333188.0	3393126.0	3236413.0	3358125.0	3370708.0	3374787.0	2329711.0	3339478.0	3369776.0	3380987.0	3372029.0	286257.0	3093549.0	3077983.0	1942672.0	3375223.0	3408929.0	3442386.0	3401996.0	3438546.0	3452572.0	3464683.0	3242962.0	3363651.0	3380123.0	3394172.0	2318313.0	3419708.0	3435103.0	1119683.0	3440655.0	3454938.0	3470818.0	2363847.0	3184772.0	3074864.0	3199107.0	2394427.0	3175758.0	3077695.0	3189473.0	3096592.0	18900.0	3112619.0	2991082.0	3106376.0	2999636.0	904245.0	3253090.0	3150594.0	3259264.0	3164198.0	946225.0	2971765.0	2897556.0	2962485.0	1847384.0	2907951.0	2808168.0	2894338.0	2092147.0	2911713.0	2888443.0	2464608.0	3049262.0	2910105.0	3039640.0	2972600.0	1527246.0	3133787.0	3078268.0	3137978.0	1640759.0	3007243.0	3046433.0	890093.0	3058740.0	3007223.0	3053461.0	1355177.0	3108457.0	3087022.0	3071958.0	638744.0	3498592.0	3515963.0	781473.0
category	74407.30645	75327.20419	74080.92385	72401.73631	65461.14778	64866.18932	65635.29955	64667.93951	66299.43878	68680.99943	68397.46805	70393.40383	69628.99564	57859.08127	57974.79835	57725.19741	57579.45749	63307.57384	64656.51006	64348.39564	64348.77534	65700.76699	52541.59074	52937.17559	54146.34622	57452.65649	63364.04174	66409.32844	67588.5906	76999.14002	77096.78599	77598.04408	76532.96475	73842.02979	73789.96432	73978.36952	73796.18454	75666.48688	75246.35755	75974.57251	75219.378	74670.85068	76233.50754	76171.13271	66931.49187	63991.36161	67253.25966	66617.0967	63775.30452	62224.09783	63019.09696	63201.68579	50755.82383	62174.71721	60414.11413	61003.27863	60323.62748	60766.97901	64596.59919	63681.4782	64416.52394	64180.98905	65579.57808	58819.21004	57369.1055	57834.89866	56111.44623	56027.00762	54484.56061	54368.00769	55922.68927	47408.05215	47029.0211	46573.48521	51663.17884	49340.53075	51174.18607	50519.22826	50593.14325	69249.91608	67804.69586	69384.27285	68526.44419	67440.94599	68718.4922	67400.11161	61451.31421	60586.42972	61245.94819	60558.6934	58651.12412	58368.55779	59240.57928	58255.47222	80521.09518	81698.63558	82300.06549
AA1	0.68831	1.28552	2.14895	2.71181	0.75653	0.19668	0.34615	0.35872	0.97887	0.28906	0.34615	0.49421	NA	0.62541	0.26703	0.17781	NA	0.58773	0.87191	0.17748	0.08898	NA	NA	0.69247	NA	0.38428	NA	0.44316	0.33184	8.74264	8.95168	5.55571	6.81589	1.06918	2.08102	1.84651	3.17792	0.3899	0.26353	NA	1.92807	1.94735	0.79758	0.80335	4.974	2.87973	4.19068	3.20503	2.28129	3.80784	2.56874	2.21198	NA	1.07233	3.36076	2.39598	1.93293	1.01545	1.28273	1.2373	2.01599	1.04725	0.35771	1.97771	2.00868	3.47302	3.55814	3.33446	2.74381	4.50962	1.5667	12.4754	15.75374	13.61381	22.13759	27.31213	22.76279	22.36363	23.55288	3.14305	2.84309	3.2247	1.10422	NA	0.47311	NA	1.53996	4.89719	3.17335	3.68577	2.55033	1.61802	0.27033	NA	1.43903	1.96467	3.39762
AA10	NA	NA	NA	NA	1.0966	1.92355	1.64408	1.91886	1.7318	NA	NA	NA	0.29596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33878	NA	NA	NA	NA	NA	0.39389	0.47636	1.79339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA3	NA	NA	NA	NA	0.73323	1.35843	1.02762	1.71378	1.40481	0.29536	NA	NA	NA	0.51155	0.63835	0.29222	0.50028	NA	NA	0.29169	0.29246	NA	0.31692	NA	0.50466	0.69493	0.24994	0.47467	0.73017	1.46954	1.15028	1.62104	1.04719	1.47035	1.32979	1.24035	NA	0.28669	NA	NA	0.05382	NA	0.16534	0.18159	0.07788	0.37904	NA	0.48676	0.367	NA	0.73084	NA	NA	NA	0.70968	0.69528	0.4917	NA	0.2582	1.42097	NA	0.26546	NA	0.66371	NA	NA	NA	NA	NA	0.08493	0.47138	0.2295	NA	0.34081	0.27546	NA	0.35518	NA	NA	0.37191	0.21443	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3154	0.7551	1.1382	NA	NA	NA	NA
AA3_2	NA	NA	NA	NA	0.13892	0.06014	0.21006	0.04503	NA	NA	NA	NA	NA	NA	0.13046	0.13031	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13536	0.11535	0.12203	0.21018	0.49154	0.7224	0.56514	0.38561	0.30121	0.42554	0.33115	NA	NA	NA	NA	0.09192	NA	0.14179	0.22702	0.06589	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19454	0.03374	NA	NA	0.03222	NA	NA	0.03313	NA	NA	0.15177	NA	NA	NA	NA	0.0725	NA	0.06177	NA	0.04253	0.03438	0.21612	0.14498	0.10589	NA	NA	0.06137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA4	6.90904	8.56191	2.51529	5.9488	2.69455	3.60198	3.14192	2.21001	1.9863	3.11704	3.02383	2.67071	4.45821	3.82054	10.72754	10.34246	7.51214	4.36519	9.68779	3.55042	7.51272	10.49761	16.60872	12.35309	18.84273	17.33312	20.54662	26.11209	26.01635	4.40643	3.39052	1.76764	2.45481	3.13914	3.40972	3.54964	3.46806	4.62084	4.08695	3.33275	5.25552	4.91138	7.06953	6.79467	13.16764	15.88009	14.86777	14.44248	13.10102	16.90957	14.98853	15.06327	NA	11.01866	8.29284	11.07783	6.93925	9.42652	10.67129	6.78993	5.87266	6.98164	5.83136	10.15286	8.644	9.98681	5.8488	32.11355	26.10121	29.11155	20.53928	14.87299	19.57475	19.76307	21.00121	16.61773	21.97539	24.90933	24.07139	3.76224	4.91363	3.96935	3.52839	5.34512	3.76271	3.85351	7.41289	4.5104	6.77378	4.63515	8.5083	7.92458	6.10137	5.12854	7.87605	7.77695	10.43811
AA6	16.39824	14.47368	12.60793	9.28465	19.49739	22.52997	16.89619	18.78586	14.65182	12.61322	11.93387	9.08779	21.99741	11.01679	16.83771	13.9958	12.52984	19.50277	20.00753	22.8257	19.82313	4.89267	34.21457	27.82922	29.482	33.99133	15.51085	13.10229	24.01308	14.05497	16.51388	16.45921	11.66264	8.41572	7.50555	6.70261	10.78766	5.56164	5.57065	8.73056	11.41663	7.73966	9.61627	13.80944	19.63765	17.48048	13.3738	18.19963	26.00379	18.18829	15.64582	24.89668	NA	12.5744	9.63304	13.77127	12.90207	23.11218	17.53094	14.1822	14.19137	18.47234	18.14723	30.95378	18.0021	24.69702	25.0206	12.47506	15.01647	12.44612	12.14941	20.64519	27.46372	30.19267	10.48077	19.97451	11.34984	14.47112	19.47523	18.11774	20.31212	22.35489	16.52717	18.47664	24.51355	17.91276	14.4725	13.23991	14.86604	20.74049	11.43933	15.00955	17.04833	30.8855	11.77362	10.44694	16.9326
AA7	14.87951	20.27462	12.4715	14.99913	25.02311	27.94116	22.44042	26.81486	26.02248	14.69078	14.60508	16.35393	15.092	23.62175	22.01241	15.90277	26.18684	26.38029	27.19522	23.92207	26.66091	28.42346	32.62451	30.64897	47.39721	43.3553	39.7168	45.278	43.60639	17.69308	20.11717	13.95781	14.91611	6.32732	9.60093	9.49737	9.01783	5.65883	8.29948	9.25848	6.11396	8.25979	9.3139	9.78839	20.61866	30.52043	31.58846	55.24736	28.87058	47.164	36.82282	28.72405	65.90418	24.86573	21.76289	23.59452	20.21594	19.07418	26.2115	21.1802	23.20837	23.38253	13.07482	19.30069	17.02962	15.57953	22.91298	50.17205	49.23205	60.84492	38.03057	21.40311	28.7291	28.35494	52.28992	34.47381	38.94622	35.03576	44.97979	18.21422	10.1198	10.51352	19.33904	7.69152	7.05369	4.98019	7.95843	11.19912	13.58377	11.68009	20.06598	13.51131	8.85763	31.14894	22.42773	22.53761	26.51364
