feature	ERR2508876	ERR2508877	ERR2508878	ERR2508879	ERR2508880	ERR2508881	ERR2508882	ERR2508883	ERR2508884	ERR2508885	ERR2508886	ERR2508887	ERR2508888	ERR2508889	ERR2508890	ERR2508891	ERR2508892	ERR2508893	ERR2508894	ERR2508895	ERR2508896	ERR2508897	ERR2508898	ERR2508899	ERR2508900	ERR2508901	ERR2508902	ERR2508903	ERR2508904	ERR2508905	ERR2508906	ERR2508907	ERR2508908	ERR2508909	ERR2508910	ERR2508911	ERR2508912	ERR2508913	ERR2508914	ERR2508915	ERR2508916	ERR2508917	ERR2508918	ERR2508919	ERR2508920	ERR2508921	ERR2508922	ERR2508923	ERR2508924	ERR2508925	ERR2508926	ERR2508927	ERR2508928	ERR2508929	ERR2508930	ERR2508931	ERR2508932	ERR2508933	ERR2508934	ERR2508935	ERR2508936	ERR2508937	ERR2508938	ERR2508939	ERR2508940	ERR2508941	ERR2508942	ERR2508943	ERR2508944	ERR2508945	ERR2508946	ERR2508947	ERR2508948	ERR2508949	ERR2508950	ERR2508951	ERR2508952	ERR2508953	ERR2508954	ERR2508955	ERR2508956	ERR2508957	ERR2508958	ERR2508959	ERR2508960	ERR2508961	ERR2508962	ERR2508963	ERR2508964	ERR2508965	ERR2508966	ERR2508967	ERR2508968	ERR2508969	ERR2508970	ERR2508971	ERR2508972
total_reads	3500147.0	3509968.0	3524959.0	1728641.0	3548974.0	3546272.0	3553582.0	3556956.0	1683324.0	3441973.0	3457332.0	3486335.0	3339586.0	3426814.0	3441112.0	3447675.0	2378873.0	3417051.0	3437794.0	3451055.0	3441449.0	291556.0	3164893.0	3143758.0	1981916.0	3427318.0	3477526.0	3493662.0	3447595.0	3476196.0	3488921.0	3501147.0	3279882.0	3399160.0	3415340.0	3429692.0	2343424.0	3451452.0	3468890.0	1130348.0	3474018.0	3489350.0	3502439.0	2385209.0	3265703.0	3185462.0	3272050.0	2458230.0	3255157.0	3162404.0	3275350.0	3184033.0	19848.0	3166063.0	3047846.0	3164360.0	3056196.0	920272.0	3311980.0	3206940.0	3315056.0	3220538.0	961351.0	3072085.0	3000952.0	3069896.0	1922787.0	3008248.0	2915873.0	3008729.0	2167007.0	3012488.0	3016686.0	2592322.0	3137383.0	3008072.0	3123640.0	3056529.0	1570711.0	3186360.0	3132850.0	3190717.0	1669572.0	3059641.0	3097219.0	906055.0	3128751.0	3079869.0	3124450.0	1388614.0	3183534.0	3161778.0	3140592.0	657679.0	3541083.0	3554643.0	789991.0
filtered_reads	3452826.0	3465346.0	3474628.0	1700868.0	3493919.0	3485730.0	3495641.0	3494244.0	1659296.0	3319304.0	3333188.0	3393126.0	3236413.0	3358125.0	3370708.0	3374787.0	2329711.0	3339478.0	3369776.0	3380987.0	3372029.0	286257.0	3093549.0	3077983.0	1942672.0	3375223.0	3408929.0	3442386.0	3401996.0	3438546.0	3452572.0	3464683.0	3242962.0	3363651.0	3380123.0	3394172.0	2318313.0	3419708.0	3435103.0	1119683.0	3440655.0	3454938.0	3470818.0	2363847.0	3184772.0	3074864.0	3199107.0	2394427.0	3175758.0	3077695.0	3189473.0	3096592.0	18900.0	3112619.0	2991082.0	3106376.0	2999636.0	904245.0	3253090.0	3150594.0	3259264.0	3164198.0	946225.0	2971765.0	2897556.0	2962485.0	1847384.0	2907951.0	2808168.0	2894338.0	2092147.0	2911713.0	2888443.0	2464608.0	3049262.0	2910105.0	3039640.0	2972600.0	1527246.0	3133787.0	3078268.0	3137978.0	1640759.0	3007243.0	3046433.0	890093.0	3058740.0	3007223.0	3053461.0	1355177.0	3108457.0	3087022.0	3071958.0	638744.0	3498592.0	3515963.0	781473.0
category	1107511.72972	1107997.83193	1115573.92679	546391.24962	1113685.78723	1113071.61348	1113530.98045	1115592.35986	528304.18424	1023961.9942	1030600.89901	1038796.42422	992676.18095	1084721.50967	1089628.55935	1088929.06126	752594.7047	1061604.02758	1071263.39353	1075558.58502	1070394.50198	92271.62686	821456.24168	811069.25928	519898.72962	965659.03514	1140187.58754	1152302.14455	1137827.35242	1076897.62813	1083421.88072	1085008.20414	1014535.37769	1098730.95566	1105254.09112	1108623.06555	757923.1571	1044029.63808	1050300.25534	343762.81655	1109696.77251	1113606.26096	1117790.65858	762990.98926	975318.61148	930996.06944	972817.32754	720456.67525	923360.17071	875379.72328	925504.71971	884662.3628	5088.25605	947256.39632	881780.55636	937938.66157	882211.15278	270683.07978	977765.57413	916214.27535	970453.21605	919453.51734	281363.63208	888564.63841	851127.30791	881884.21636	544560.13895	888611.51667	841339.06225	881262.39814	623953.66904	876683.96971	872378.09821	744664.85883	936534.29788	869851.64803	920174.79146	884194.41354	454427.52669	928414.12847	896685.21085	924696.1313	476101.00902	859857.04193	870150.19129	249450.12613	942901.62787	911119.11352	932156.56013	407368.63262	944891.48795	927224.72989	915259.46895	193042.19055	1130603.00017	1135532.22051	253357.06151
ko:K00001	388.52784	385.14366	385.4503	206.0113	368.15569	339.79219	351.68149	391.46612	177.74518	445.25801	458.5334	434.31878	401.59837	155.64373	182.42957	174.94762	123.00659	202.034	209.43432	217.29789	193.7164	16.1597	186.09861	167.03067	125.63867	206.64984	243.34721	244.93941	237.23119	328.91697	286.70648	331.49491	310.97888	285.34736	266.87253	278.0344	175.67266	438.83177	456.99509	147.4166	399.07788	349.5014	370.2064	235.26091	216.47432	208.3739	226.39421	143.68546	195.12685	198.73471	193.92993	205.92025	0.38901	252.5131	247.64298	276.28649	276.49271	70.10569	291.0165	298.81561	308.12115	300.54399	99.08033	231.21655	258.88564	248.90278	159.40118	199.86373	197.50073	180.03617	145.15551	166.67873	150.23216	140.25652	142.7997	114.94639	136.32513	124.54934	66.70091	219.66124	216.55271	226.73524	114.38905	232.64755	228.00764	69.823	174.5254	185.20436	202.94204	84.99265	246.32762	256.30361	262.5102	43.12377	356.29859	319.56697	83.76962
ko:K00002	151.10419	125.51475	124.05529	78.76193	20.83671	28.11135	27.77252	18.32713	7.24221	18.79875	25.50598	16.76104	18.69912	36.61889	33.69045	37.95626	28.70011	29.43429	31.85613	36.9911	33.83609	1.02121	11.5038	20.59417	10.1374	18.60325	17.33527	19.556	13.54164	36.06337	35.86139	36.41033	30.63848	18.30941	21.08077	26.42844	14.09479	21.6228	18.85353	8.04259	28.28995	27.41409	20.9197	15.95896	27.84015	36.04632	17.25884	26.41891	21.1412	33.72537	31.85062	31.55963	NA	31.04123	36.83261	30.53219	27.99614	11.66945	40.18939	33.54704	41.08982	40.99021	12.30175	66.33965	79.69012	80.70302	49.13107	53.68223	39.26424	62.76885	39.15901	54.58169	61.53538	46.26545	67.32989	76.40129	62.65781	75.46111	35.35787	23.55986	20.6445	18.23451	8.62415	16.13837	20.55646	5.49142	47.15387	51.90522	47.53396	18.29601	83.94651	88.44073	78.30813	22.5816	24.18141	31.92537	5.84445
ko:K00003	330.52097	341.16251	365.08083	170.49185	460.39834	487.84891	464.92629	453.56498	224.21373	299.82	291.40139	307.04408	280.217	529.22081	531.63007	581.50241	360.79247	442.25422	441.78642	466.88319	456.13596	36.43172	409.4096	368.47766	243.8683	411.91291	520.03852	535.38218	512.58305	328.82582	316.54947	336.91274	302.70971	453.37695	437.61124	417.54111	283.76718	219.39679	239.61667	78.92116	338.39257	321.89322	288.98501	200.70135	441.76693	388.22245	411.98288	321.09008	416.32337	328.7095	360.95747	373.48655	1.9454	534.96885	487.71431	526.3209	460.96695	157.35728	399.91841	366.88704	381.38481	378.70317	101.24338	384.2086	345.6426	389.43734	215.93367	481.20226	445.64845	488.2301	321.19447	434.99506	454.48757	356.98504	542.4156	460.51035	501.13555	488.87165	213.96439	276.98998	263.6017	256.91815	131.33397	248.40681	275.59459	75.56101	500.45843	482.14668	458.73157	218.37979	438.5153	421.27163	434.34223	102.54852	355.44911	336.86818	74.60899
ko:K00004	5.31861	5.39619	8.06698	1.85523	14.25198	10.60478	11.39515	14.32382	8.93281	3.73192	5.90236	2.23864	3.20416	25.0358	38.14321	25.2823	14.48153	31.47451	30.14506	30.27239	38.04788	2.15385	4.71235	8.53648	6.36285	16.80405	13.0446	7.41653	12.30144	8.6713	11.70451	7.66946	8.7979	5.72013	9.31248	3.8151	3.06675	5.82581	6.73749	1.66568	8.23577	5.58705	5.97338	7.9588	8.54369	15.69005	15.14746	8.99454	31.16421	32.17557	38.02628	31.15411	0.27165	10.83221	14.47016	16.65743	16.46446	5.74535	11.49966	7.55844	14.34705	6.78832	0.76223	21.7864	17.15833	18.87818	10.49303	6.07336	4.8224	7.39447	2.74491	39.55494	45.07711	34.07091	40.10338	37.18531	27.23136	35.01462	20.75285	91.72314	87.41621	90.67207	40.97377	85.94393	78.32256	23.95348	30.57194	27.03286	25.87817	5.0342	8.87863	7.5718	8.65079	2.4319	6.07255	6.56078	1.4145
ko:K00005	132.15064	122.99906	135.54867	68.9299	209.3858	226.84853	218.97872	201.60466	96.35903	134.99931	128.7597	145.62792	133.71384	314.76513	289.49834	315.91047	194.64154	131.11169	145.76923	124.01727	138.79237	7.20383	164.9827	163.02723	122.55268	189.95898	186.8179	208.33256	208.99778	159.33096	170.41178	182.51318	173.6358	274.44027	258.63265	221.95523	174.16627	76.52299	65.1329	23.51319	86.70906	103.19121	90.61644	62.52186	326.27182	253.365	323.4969	239.84142	285.18217	276.57044	302.24002	243.13518	0.25964	281.29265	308.32433	313.45529	284.22761	93.90944	201.24986	206.34373	204.68129	205.67679	73.63376	199.37472	184.84155	194.93132	109.14286	181.43494	219.21367	214.54885	141.02811	114.34513	117.36463	123.89591	115.96602	100.56969	105.57403	118.0256	53.91167	85.21435	95.71761	99.51576	50.056	61.07332	74.81834	18.22186	107.25314	101.78547	117.59702	48.72551	114.444	111.3252	96.10444	20.8056	139.27335	144.44448	35.70486
ko:K00008	209.85055	196.97283	208.09533	106.30887	298.04306	306.33239	314.65594	287.63171	133.76642	237.52508	243.9652	252.54095	226.60791	492.32582	469.7302	493.54937	331.73796	293.84416	294.82903	283.82143	312.78999	30.47468	241.3567	276.04982	158.79128	312.71502	406.92232	402.57865	377.27166	316.97412	318.64146	291.05094	312.33438	431.40975	440.98471	443.93369	303.87933	89.3148	90.71923	32.5695	126.29237	126.71724	128.40175	83.91402	167.15291	175.09184	189.8402	109.76191	193.00834	156.96564	186.5528	156.00361	0.40154	328.4625	339.7179	338.39319	319.44344	91.26675	244.84302	232.77642	253.20321	227.56064	72.62753	196.15398	205.47473	244.0134	136.98466	214.8583	201.63498	213.99351	164.66801	237.88702	244.69901	223.75609	238.10007	225.50126	216.65279	198.98877	110.853	132.40698	136.75375	134.58446	76.10657	111.56498	113.45254	32.28742	310.79502	277.53894	305.524	125.3292	264.22671	270.65393	267.46504	51.24154	235.6797	230.49397	61.41802
ko:K00009	548.7092	569.48338	529.04367	290.50479	529.7184	555.09354	571.29596	557.12981	263.94472	445.01928	448.92679	511.5406	470.24491	495.04804	448.74462	458.39121	328.29049	515.78808	507.11742	558.5638	526.49133	44.20222	259.8156	271.98673	154.26484	311.60708	348.86419	355.24057	396.33627	608.25475	683.00047	660.15198	628.62824	461.36392	514.53168	507.43789	345.87301	672.00892	617.85792	202.57989	587.99987	611.87142	602.95664	391.12409	483.45911	405.28148	464.17849	352.45141	413.964	381.88788	449.51744	386.21323	1.18832	380.60321	367.94216	404.84127	381.30276	112.73313	416.2985	396.89586	400.53011	392.51078	112.52493	327.23883	302.33975	335.92131	201.65305	274.10955	233.51522	271.12741	174.29899	244.33374	246.29763	213.28564	304.66843	248.5138	272.56517	281.91224	137.19155	481.30827	463.74237	511.96109	246.30312	428.02581	444.30846	118.84079	380.08225	356.29013	383.35355	161.97926	330.01471	351.88428	336.85273	64.7672	635.05002	632.63132	147.5253
