Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR2508876,WGS,302,1208000000,PRJEB25954,SAMEA1100185,794646160,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528327,SAMEA1100185,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T05:02:00Z,2,SAMEA1100185,101_002_CGATGT_L002_001,metagenome,ERP107921,101_002_CGATGT_L002_001
ERR2508877,WGS,302,1208000000,PRJEB25954,SAMEA1100186,791766266,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528328,SAMEA1100186,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T05:00:00Z,2,SAMEA1100186,101_002_CGATGT_L002_002,metagenome,ERP107921,101_002_CGATGT_L002_002
ERR2508878,WGS,302,1208000000,PRJEB25954,SAMEA1100187,787321286,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528329,SAMEA1100187,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T05:00:00Z,2,SAMEA1100187,101_002_CGATGT_L002_003,metagenome,ERP107921,101_002_CGATGT_L002_003
ERR2508879,WGS,302,596519158,PRJEB25954,SAMEA1100188,388294140,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528330,SAMEA1100188,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T04:59:00Z,2,SAMEA1100188,101_002_CGATGT_L002_004,metagenome,ERP107921,101_002_CGATGT_L002_004
ERR2508880,WGS,302,1208000000,PRJEB25954,SAMEA1100189,792257059,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528331,SAMEA1100189,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T05:00:00Z,2,SAMEA1100189,111_003_TTAGGC_L002_001,metagenome,ERP107921,111_003_TTAGGC_L002_001
ERR2508881,WGS,302,1208000000,PRJEB25954,SAMEA1100190,792035531,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528332,SAMEA1100190,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T05:02:00Z,2,SAMEA1100190,111_003_TTAGGC_L002_002,metagenome,ERP107921,111_003_TTAGGC_L002_002
ERR2508882,WGS,302,1208000000,PRJEB25954,SAMEA1100191,788777224,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528333,SAMEA1100191,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T05:01:00Z,2,SAMEA1100191,111_003_TTAGGC_L002_003,metagenome,ERP107921,111_003_TTAGGC_L002_003
ERR2508883,WGS,302,1208000000,PRJEB25954,SAMEA1100192,786761319,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528334,SAMEA1100192,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T05:00:00Z,2,SAMEA1100192,111_003_TTAGGC_L002_004,metagenome,ERP107921,111_003_TTAGGC_L002_004
ERR2508884,WGS,302,574122536,PRJEB25954,SAMEA1100193,373440422,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528335,SAMEA1100193,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T04:59:00Z,2,SAMEA1100193,111_003_TTAGGC_L002_005,metagenome,ERP107921,111_003_TTAGGC_L002_005
ERR2508885,WGS,302,1208000000,PRJEB25954,SAMEA1100194,797279221,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2018-04-11,2018-04-11T17:02:32Z,2018-11-16,2018-04-11T07:12:06Z,ERX2528336,SAMEA1100194,HELMHOLTZ CENTER FOR INFECTION RESEARCH,2018-04-11T17:02:32Z,2018-04-11T07:12:06Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-04-13T00:00:00Z,2021-03-13T05:01:00Z,2,SAMEA1100194,113_004_TGACCA_L002_001,metagenome,ERP107921,113_004_TGACCA_L002_001
