feature	ERR2587706	ERR2587707	ERR2587708	ERR2587709	ERR2587710	ERR2587711	ERR2587712	ERR2587713	ERR2587714	ERR2587715	ERR2587716	ERR2587717	ERR2587718	ERR2587719	ERR2587720	ERR2587721	ERR2587722	ERR2587723	ERR2587724	ERR2587725	ERR2587726	ERR2587727	ERR2587728	ERR2587729	ERR2587730	ERR2587731	ERR2587732	ERR2587733	ERR2587734	ERR2587735	ERR2587736	ERR2587737	ERR2587738	ERR2587739	ERR2587740	ERR2587741	ERR2587742	ERR2587743	ERR2587744	ERR2587745	ERR2587746	ERR2587747	ERR2587748	ERR2587749	ERR2587750	ERR2587752	ERR2587753	ERR2587754	ERR2587755	ERR2587756	ERR2587757	ERR2587758	ERR2587759	ERR2587760	ERR2587762	ERR2587763	ERR2587764	ERR2587765	ERR2587766	ERR2587767	ERR2587768	ERR2587769	ERR2587770	ERR2587771	ERR2587772	ERR2587773	ERR2587774	ERR2587775	ERR2587776	ERR2587777	ERR2587778	ERR2587779	ERR2587780	ERR2587781	ERR2587782	ERR2587783	ERR2587784	ERR2587785	ERR2587786	ERR2587787	ERR2587788	ERR2587789	ERR2587790	ERR2587791	ERR2587792	ERR2587793	ERR2587794	ERR2587795	ERR2587796	ERR2587797	ERR2587798	ERR2587799	ERR2587800	ERR2587801	ERR2587802	ERR2587803	ERR2587804	ERR2587805	ERR2587806	ERR2587807	ERR2587808	ERR2587809	ERR2587810	ERR2587811	ERR2587812	ERR2587813	ERR2587814	ERR2587815	ERR2587816	ERR2587817	ERR2587818	ERR2587819	ERR2587820	ERR2587821
total_reads	8760.0	88511.0	138589.0	156265.0	88071.0	59383.0	85184.0	89399.0	120878.0	57166.0	59321.0	78570.0	32221.0	68508.0	91519.0	72678.0	53753.0	51711.0	80887.0	11095.0	107416.0	81641.0	60736.0	101437.0	137283.0	56868.0	75790.0	112122.0	110641.0	81471.0	83289.0	44291.0	90000.0	113063.0	117761.0	5011.0	76184.0	73630.0	82233.0	78061.0	88028.0	102453.0	166636.0	50021.0	87377.0	11699.0	97266.0	31276.0	104085.0	100265.0	64145.0	75607.0	52819.0	87813.0	10382.0	99488.0	4407227.0	5379023.0	4664476.0	3920477.0	5570480.0	4094348.0	5570433.0	5405604.0	5180899.0	3982625.0	3427211.0	5226162.0	4690050.0	4250818.0	5621199.0	1782375.0	5487736.0	4377284.0	3857318.0	5257050.0	4625304.0	5199217.0	5959845.0	5042535.0	5280540.0	3944943.0	4620233.0	5495375.0	442281.0	4135553.0	4724444.0	3548390.0	5000183.0	4761409.0	4918879.0	4397580.0	3440744.0	6283498.0	3567125.0	3664266.0	5491514.0	3959201.0	5085425.0	4498796.0	4774999.0	5297868.0	3431781.0	4773534.0	2930453.0	5238470.0	3886862.0	4547954.0	5387125.0	5839975.0	5243218.0	3752878.0	3762953.0	3997246.0
filtered_reads	6578.0	80016.0	124695.0	140301.0	80803.0	55081.0	81041.0	84912.0	115994.0	53237.0	55245.0	68319.0	29160.0	63271.0	85043.0	65183.0	47484.0	48223.0	77118.0	7761.0	99643.0	77308.0	52090.0	97213.0	123503.0	49085.0	69768.0	102658.0	99145.0	70973.0	78395.0	27821.0	76173.0	106704.0	107296.0	3755.0	65602.0	65231.0	72993.0	67375.0	76151.0	94393.0	153965.0	45134.0	75393.0	10723.0	90776.0	25885.0	93121.0	91180.0	59854.0	67217.0	45663.0	75375.0	7525.0	84039.0	4335570.0	5394175.0	4637428.0	3868077.0	5517115.0	4018569.0	5349521.0	5219445.0	5088357.0	3950772.0	3378575.0	5193214.0	4619408.0	4049620.0	5574734.0	1747543.0	5363985.0	4299478.0	3769406.0	5173758.0	4578284.0	4971557.0	5898659.0	4834297.0	5238852.0	3888272.0	4579454.0	5462175.0	439944.0	4039479.0	4665234.0	3461030.0	4928197.0	4667269.0	4854554.0	4344798.0	3298741.0	6191881.0	3519561.0	3583234.0	5442009.0	3943329.0	5080711.0	4488081.0	4725576.0	5260382.0	3381607.0	4468544.0	2765409.0	5044354.0	3846248.0	4450237.0	5380453.0	5745468.0	5090071.0	3670108.0	3726125.0	4004147.0
category	444.50845	930.35195	2075.71993	5032.01282	2305.36798	5657.02661	6831.86692	3541.75323	3667.76382	289.33825	460.23864	166.4037	5487.7351	1935.94528	1935.1273	2674.38466	506.01171	1806.64392	1610.5895	1130.25768	853.37444	1535.09742	1064.47012	275.93333	1982.65995	100.97834	2822.24774	986.72951	865.60578	1578.9954	480.81985	945.89661	2864.54327	2819.59744	6720.25954	778.68884	2495.72015	2854.7257	1078.66222	981.61393	10728.14624	3045.21761	2098.00262	370.39745	510.9256	337.88943	2233.80908	252.93278	3779.84793	2433.93569	281.77714	302.61254	430.14027	19.3962	194.28416	4664.02992	59358.55803	53403.11965	55865.77868	55531.79668	56180.89441	41314.07457	38428.68492	56091.8731	65928.35576	58342.48707	54427.07571	54922.90919	51788.72975	41912.54046	60171.68334	51713.73883	58160.42216	59179.65629	64366.96896	52635.80717	43183.72152	52567.70356	55428.80771	46420.30593	62344.01236	57859.70557	52517.88964	71901.2974	54732.38647	45989.22985	49040.28078	50886.35066	48922.3444	60457.48098	55708.98173	50774.63923	54358.21137	64798.39618	46210.90574	49685.79328	53745.38577	59080.11836	57818.40414	58014.00914	49679.69421	71282.77666	54368.92307	37750.21554	49932.97884	47627.1302	56878.12943	50538.82406	65463.29058	49497.906	62564.16253	41940.63782	48266.25809	45885.87588
AA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.77127	10.40488	133.94505	6.88005	4.07116	23.28808	9.76833	1.81053	0.7806	NA	0.57102	51.70903	114.29977	1.43747	0.5861	2.49045	3.10858	8.73822	0.30233	1.70551	0.8466	2.84207	5.39332	5.2023	1.04482	0.57807	2.98685	2.07457	NA	0.19437	0.52488	7.39802	5.54794	0.4533	0.38649	0.54382	0.67584	1.61217	0.45101	NA	0.48334	3.5612	0.10637	49.1349	2.60197	0.5695	NA	22.24441	5.12356	3.89265	3.76501	2.46095	9.36091	1.21892	0.95496	NA	110.08663	5.53321
AA10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74732	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.37425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.50576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09163	NA	2.56845	1.35469	0.17875	14.94156	0.43574	NA	NA	NA	0.29018	1.69869	2.48404	NA	0.1769	3.81043	0.13748	1.2198	NA	0.24869	NA	0.65752	0.82877	0.2028	NA	0.39361	0.13406	0.21789	NA	1.32587	NA	3.99835	0.95711	NA	0.12716	0.04243	0.51431	NA	3.3509	1.09766	0.18015	NA	NA	0.43818	0.20869	0.37275	NA	0.2194	0.86622	NA	NA	NA	0.31928	0.17165	0.77043	NA	2.34277	1.23146
AA3_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18251	3.43385	0.64962	0.55004	NA	6.62947	NA	NA	NA	NA	NA	0.38792	0.53807	NA	NA	1.13644	0.11747	0.59906	NA	0.01218	NA	0.60554	0.0959	NA	NA	0.05397	0.03433	0.07089	NA	0.02224	NA	1.4375	0.24821	NA	0.03239	0.05428	0.37193	NA	0.1787	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.74575	NA	NA	NA	0.06146	0.07654	NA	NA	0.73349	NA
AA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.97881	11.24477	66.38257	5.5329	9.37839	20.07601	16.28975	11.78766	41.0906	9.82679	6.30509	27.39837	38.15782	16.67708	9.76196	21.7037	7.15837	4.47492	13.85258	14.67615	27.82552	6.28225	14.04455	13.08013	3.31527	19.3282	20.89602	32.82509	26.84068	31.98731	17.87575	7.53608	20.65984	1.91837	6.14875	20.51672	9.3192	29.81955	18.02377	22.34481	12.8101	17.53531	34.11712	41.01186	28.7127	6.02683	13.89453	14.19972	11.01397	13.10767	25.31005	17.58281	17.74389	20.45348	5.23197	14.79819	48.00147	20.72364
AA6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.09484	22.36903	9.22844	21.93706	12.68341	45.58244	13.89892	13.3054	19.90766	6.76347	7.22196	17.89595	17.17171	17.65842	15.06027	24.32241	12.60356	34.93919	21.32883	15.21059	7.71295	14.9057	25.20367	18.63464	22.81452	20.11676	10.95472	8.2627	29.74784	6.67828	4.43221	15.39482	28.98536	7.57075	23.19779	17.37239	14.82387	13.20504	21.45851	13.5359	8.79838	18.89418	12.64364	8.85985	27.3969	13.83094	3.81855	10.58151	40.2301	13.29598	18.55527	13.58166	17.65131	31.79871	17.58808	18.53076	8.71576	34.21681
AA7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.14838	65.45726	36.2139	15.83455	20.48889	27.85869	27.29384	12.9056	45.61222	17.24642	16.82413	49.56538	45.81523	19.38092	19.90345	29.62167	14.92147	8.58175	17.29468	24.01665	46.88255	20.48839	25.43921	27.40237	11.67677	17.72022	28.25178	13.24649	7.54867	79.50686	25.30364	10.18121	36.81811	10.17683	11.65426	25.02782	7.37506	11.7034	20.48661	66.36659	53.90419	14.06868	32.94174	25.95294	32.27885	30.35716	29.99409	29.01532	34.04016	52.03576	22.92145	27.51932	12.52062	17.90893	42.33243	83.23075	77.18131	49.76765
