feature	ERR2587706	ERR2587707	ERR2587708	ERR2587709	ERR2587710	ERR2587711	ERR2587712	ERR2587713	ERR2587714	ERR2587715	ERR2587716	ERR2587717	ERR2587718	ERR2587719	ERR2587720	ERR2587721	ERR2587722	ERR2587723	ERR2587724	ERR2587725	ERR2587726	ERR2587727	ERR2587728	ERR2587729	ERR2587730	ERR2587731	ERR2587732	ERR2587733	ERR2587734	ERR2587735	ERR2587736	ERR2587737	ERR2587738	ERR2587739	ERR2587740	ERR2587741	ERR2587742	ERR2587743	ERR2587744	ERR2587745	ERR2587746	ERR2587747	ERR2587748	ERR2587749	ERR2587750	ERR2587751	ERR2587752	ERR2587753	ERR2587754	ERR2587755	ERR2587756	ERR2587757	ERR2587758	ERR2587759	ERR2587760	ERR2587761	ERR2587762	ERR2587763	ERR2587764	ERR2587765	ERR2587766	ERR2587767	ERR2587768	ERR2587769	ERR2587770	ERR2587771	ERR2587772	ERR2587773	ERR2587774	ERR2587775	ERR2587776	ERR2587777	ERR2587778	ERR2587779	ERR2587780	ERR2587781	ERR2587782	ERR2587783	ERR2587784	ERR2587785	ERR2587786	ERR2587787	ERR2587788	ERR2587789	ERR2587790	ERR2587791	ERR2587792	ERR2587793	ERR2587794	ERR2587795	ERR2587796	ERR2587797	ERR2587798	ERR2587799	ERR2587800	ERR2587801	ERR2587802	ERR2587803	ERR2587804	ERR2587805	ERR2587806	ERR2587807	ERR2587808	ERR2587809	ERR2587810	ERR2587811	ERR2587812	ERR2587813	ERR2587814	ERR2587815	ERR2587816	ERR2587817	ERR2587818	ERR2587819	ERR2587820	ERR2587821
total_reads	8760.0	88511.0	138589.0	156265.0	88071.0	59383.0	85184.0	89399.0	120878.0	57166.0	59321.0	78570.0	32221.0	68509.0	91519.0	72678.0	53753.0	51711.0	80887.0	11095.0	107416.0	81641.0	60736.0	101437.0	137283.0	56868.0	75790.0	112122.0	110641.0	81471.0	83289.0	44291.0	90000.0	113063.0	117761.0	5011.0	76184.0	73630.0	82233.0	78061.0	88028.0	102453.0	166636.0	50021.0	87377.0	1581.0	11699.0	97266.0	31276.0	104085.0	100265.0	64145.0	75607.0	52819.0	87813.0	9073.0	10382.0	99488.0	4440867.0	5532408.0	4756588.0	3948650.0	5623060.0	4203438.0	5619636.0	5415127.0	5217810.0	4052955.0	3455193.0	5333807.0	4785041.0	4261968.0	5685351.0	1823928.0	5519807.0	4409665.0	3872977.0	5364229.0	4785696.0	5277013.0	6074152.0	5102008.0	5339083.0	3995619.0	4677823.0	5569900.0	451307.0	4230477.0	4836230.0	3630179.0	5073420.0	4835556.0	4988533.0	4452220.0	3448341.0	6337913.0	3650818.0	3740674.0	5570775.0	4089801.0	5316584.0	4619203.0	4829265.0	5331467.0	3483725.0	4792430.0	2944133.0	5286002.0	4019821.0	4683794.0	5477154.0	5895453.0	5250611.0	3800839.0	3835890.0	4181272.0
filtered_reads	6578.0	80016.0	124695.0	140301.0	80803.0	55081.0	81041.0	84912.0	115994.0	53237.0	55245.0	68319.0	29160.0	63271.0	85043.0	65183.0	47484.0	48223.0	77118.0	7761.0	99643.0	77308.0	52090.0	97213.0	123503.0	49085.0	69768.0	102658.0	99145.0	70973.0	78395.0	27821.0	76173.0	106704.0	107296.0	3755.0	65602.0	65231.0	72993.0	67375.0	76151.0	94393.0	153965.0	45134.0	75393.0	1116.0	10723.0	90776.0	25885.0	93121.0	91180.0	59854.0	67217.0	45663.0	75375.0	8853.0	7525.0	84039.0	4335570.0	5394175.0	4637428.0	3868077.0	5517115.0	4018569.0	5349521.0	5219445.0	5088357.0	3950772.0	3378575.0	5193214.0	4619408.0	4049620.0	5574734.0	1747543.0	5363985.0	4299478.0	3769406.0	5173758.0	4578284.0	4971557.0	5898659.0	4834297.0	5238852.0	3888272.0	4579454.0	5462175.0	439944.0	4039479.0	4665234.0	3461030.0	4928197.0	4667269.0	4854554.0	4344798.0	3298741.0	6191881.0	3519561.0	3583234.0	5442009.0	3943329.0	5080711.0	4488081.0	4725576.0	5260382.0	3381607.0	4468544.0	2765409.0	5044354.0	3846248.0	4450237.0	5380453.0	5745468.0	5090071.0	3670108.0	3726125.0	4004147.0
category	97.07012	837.49421	1596.58328	1298.56236	987.7876	1382.48628	1237.97382	2157.43173	2251.89209	844.06292	577.29033	732.56901	517.95185	266.54781	753.23237	729.8954	386.94158	963.37291	1879.69699	136.39253	1301.14875	454.85702	671.16204	878.49398	2475.04794	329.9928	968.8201	672.27017	811.7448	1769.18048	576.21392	431.13462	853.28564	2072.98485	2067.5557	48.21131	674.48296	887.90342	669.19051	1008.27291	678.09912	1165.98445	1611.46594	1093.92446	682.44891	17.36222	128.58416	1280.96573	321.30388	639.42462	917.16926	431.1675	1105.77092	394.18629	820.63899	6.00371	167.47664	2344.49211	1417829.65349	2022579.968	1607548.83142	1340070.9985	1905341.00071	1404676.15704	1810795.61574	1946811.0686	1731975.70773	1365356.37832	1151390.92733	1797063.15896	1418062.10841	1301931.77694	1931793.16991	568220.11296	1898657.03897	1578954.82553	1229339.72456	1825382.94284	1553188.60096	1803392.24246	2108313.08233	1633590.60879	1840475.66432	1313742.23783	1556210.81892	1825308.66783	146449.47575	1311709.77391	1683281.33685	1157729.85269	1695778.6832	1597899.40405	1639957.15525	1455803.33543	1138418.52413	2156536.84957	1123407.92852	1225086.14043	1967966.17846	1316931.5887	1834976.29043	1513292.2234	1641566.50565	1956390.85565	1124120.46883	1416033.65383	898717.3237	1716838.75543	1272289.7184	1516781.14257	1822859.56481	2041446.81285	1878598.43095	1226471.25984	1190767.91823	1230562.20827
ko:K00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	263.14826	386.57145	449.07111	198.93389	391.18357	259.85175	389.22213	196.52264	334.00415	285.70256	228.61317	526.62375	442.68951	180.20067	421.87729	64.63496	374.995	245.58449	363.95415	302.69851	207.3388	320.22352	382.45617	226.51342	491.26767	304.91169	338.42235	216.56952	36.22517	334.69812	204.6446	239.15941	338.21065	237.72812	271.04984	311.86796	119.30134	386.56965	352.05244	288.80391	234.60356	240.21945	340.14462	420.42104	343.60387	242.09921	105.10285	463.22706	80.13058	264.48627	254.73875	395.79482	563.43444	294.3324	253.66257	119.61363	576.3717	169.86688
ko:K00002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.588	46.7041	42.78284	61.75129	62.60646	60.56809	57.39947	153.17214	45.54187	10.86079	27.6633	123.81584	46.22835	77.80945	96.4326	14.91916	120.06164	138.79723	20.22322	84.35667	63.17082	71.5848	53.67232	80.2769	38.42225	70.30393	63.92784	22.8384	14.25138	45.10637	52.57709	29.44974	47.97555	43.98064	84.96572	71.47613	56.85389	44.00813	72.86135	47.42937	72.55333	27.3094	67.70382	56.26022	79.88689	27.49804	25.32674	81.05578	21.35043	81.88963	36.54787	88.70254	43.03464	129.49676	45.3373	60.03027	42.0284	30.18928
ko:K00003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	885.87934	1475.53867	997.24567	995.0354	1528.61835	901.45779	1417.19753	1354.45376	970.19796	930.9896	887.49222	1193.92119	851.33915	867.0147	1362.80314	327.6813	1200.97231	1140.7403	606.26844	1292.4955	898.23304	1138.32067	1630.6325	1073.99403	1285.73038	862.37763	1082.81759	700.45596	135.08251	849.29041	1161.39558	706.41806	1403.35592	715.48843	1019.85661	1057.62805	777.50394	1076.85254	962.44927	863.72358	1464.0799	949.79506	1159.31548	874.20241	1174.39277	981.77744	514.73767	865.80808	674.56238	1291.36093	846.47292	1181.01911	960.01626	1413.76214	915.04692	801.24579	662.10672	944.28739
ko:K00004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.81371	285.94112	39.45021	62.8588	70.64281	153.23153	46.15885	44.17385	33.20583	19.65338	29.81582	130.69273	34.07839	73.5754	39.10349	23.04656	35.22891	80.60675	5.15287	36.80706	82.1171	47.95483	89.14793	48.41468	30.12415	20.27002	34.86491	25.42518	0.75992	60.55462	65.10531	37.50645	72.70921	27.79542	38.18398	43.42651	34.47887	67.50597	55.4985	65.3051	133.31627	68.32156	52.77463	44.93529	34.94031	111.90753	52.76626	107.68864	93.22856	174.1813	50.76095	71.72833	39.00871	48.4868	176.74687	221.58109	30.72943	98.65772
ko:K00005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	408.72237	444.70708	209.8034	210.51153	350.2156	363.54816	421.27998	366.52767	355.2938	307.80396	309.80179	285.44109	319.33173	309.53308	294.79047	124.81301	309.81528	290.08733	241.26762	484.13109	391.41041	679.20277	333.46209	322.49535	469.97666	134.6019	279.51004	262.88896	19.15784	326.04879	539.37384	344.931	382.17703	244.52281	341.77815	139.98041	75.35291	487.67321	229.72013	245.8489	531.19806	221.94686	453.55706	371.52569	336.08602	272.47964	225.07537	235.55074	200.40502	437.51864	180.74545	419.01434	390.02844	411.14471	295.91227	292.80533	138.41623	274.61484
ko:K00006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.59607	2.04015	NA	NA	NA	NA	NA	0.95528	NA	NA	8.67677	0.9971	NA	NA	NA	NA	11.02425	NA	NA	NA	NA	NA	NA	1.95202	NA	NA	4.05062	NA	NA	NA	NA	NA	NA	1.5814	NA	3.94674	NA	4.46398	0.69301	NA	NA	NA	1.77316	0.84551	NA	NA	5.77006	NA	NA	NA	NA	NA	NA	NA
ko:K00007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
