run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5
ERR2587710	ERP108869	SAMEA4670399	ERS2491012	ERX2603986	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_fmp_post_I22	300	PAIRED	AMPLICON	METAGENOMIC	PCR	222709	133944741	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:103-5	ena-RUN-TEAGASC-19-05-2018-10:18:46:103-5	39208525;45750273	ac09f450eaedd0bf02c1ebfe5cabc83f;8cb47337f971e4fa2fd010a250f8b361	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587710/ERR2587710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587710/ERR2587710_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2587710/ERR2587710_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2587710/ERR2587710_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587710/ERR2587710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587710/ERR2587710_2.fastq.gz	54388287;60156755	cb339dfa1628913325411737679eb07e;2aba68dc8107b79e7b2f4127d488163b	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587710/16S_fmp_post_I22_S94_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587710/16S_fmp_post_I22_S94_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587710/16S_fmp_post_I22_S94_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587710/16S_fmp_post_I22_S94_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587710/16S_fmp_post_I22_S94_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587710/16S_fmp_post_I22_S94_L001_R2_001.fastq.gz	FASTQ;FASTQ	92943666	94f9d4e5c595e21d3199207ae034e316	ftp.sra.ebi.ac.uk/vol1/err/ERR258/000/ERR2587710	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/000/ERR2587710	ftp.sra.ebi.ac.uk/vol1/err/ERR258/000/ERR2587710	16S_fmp_post_I20		16S_fmp_post_I20		2018-05-19			
ERR2587711	ERP108869	SAMEA4670400	ERS2491013	ERX2603987	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_fmp_post_I25	300	PAIRED	AMPLICON	METAGENOMIC	PCR	155091	93282291	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:103-6	ena-RUN-TEAGASC-19-05-2018-10:18:46:103-6	26904421;31577616	f4f07701ad1ed516253d68342ef8cbe0;bfcd60d26b3f9f9644dd4c0eac337c96	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2587711/ERR2587711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2587711/ERR2587711_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2587711/ERR2587711_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2587711/ERR2587711_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2587711/ERR2587711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2587711/ERR2587711_2.fastq.gz	37370788;41518926	13af156ec8f1d61bafe3aefc75bf2044;cd9ae50944c85bedd38178b85b5e6589	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587711/16S_fmp_post_I25_S97_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587711/16S_fmp_post_I25_S97_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587711/16S_fmp_post_I25_S97_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587711/16S_fmp_post_I25_S97_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587711/16S_fmp_post_I25_S97_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587711/16S_fmp_post_I25_S97_L001_R2_001.fastq.gz	FASTQ;FASTQ	64890718	9030de402c85947b875211a27f77af00	ftp.sra.ebi.ac.uk/vol1/err/ERR258/001/ERR2587711	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/001/ERR2587711	ftp.sra.ebi.ac.uk/vol1/err/ERR258/001/ERR2587711	16S_fmp_post_I22		16S_fmp_post_I22		2018-05-19			
ERR2587714	ERP108869	SAMEA4670404	ERS2491017	ERX2603990	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_fmp_post_I5	300	PAIRED	AMPLICON	METAGENOMIC	PCR	272914	164191181	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:103-9	ena-RUN-TEAGASC-19-05-2018-10:18:46:103-9	44657864;54090125	6b197a21e958dc40458a784e89d916c8;0fa52a9b6420311e5f23ef0266c326f9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2587714/ERR2587714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2587714/ERR2587714_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2587714/ERR2587714_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2587714/ERR2587714_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2587714/ERR2587714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2587714/ERR2587714_2.fastq.gz	62570497;71461457	612342bd6d4b0fc24acc9f46f2fc2586;31083677663c74665706d3aa1b393383	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587714/16S_fmp_post_I5_S77_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587714/16S_fmp_post_I5_S77_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587714/16S_fmp_post_I5_S77_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587714/16S_fmp_post_I5_S77_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587714/16S_fmp_post_I5_S77_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587714/16S_fmp_post_I5_S77_L001_R2_001.fastq.gz	FASTQ;FASTQ	112684698	cc97a47033ecb6d588a9eaafcc48dc2c	ftp.sra.ebi.ac.uk/vol1/err/ERR258/004/ERR2587714	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/004/ERR2587714	ftp.sra.ebi.ac.uk/vol1/err/ERR258/004/ERR2587714	16S_fmp_post_I5		16S_fmp_post_I5		2018-05-19			
ERR2587716	ERP108869	SAMEA4670406	ERS2491019	ERX2603992	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_fmp_pre_F12	300	PAIRED	AMPLICON	METAGENOMIC	PCR	175082	105287251	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:103-11	ena-RUN-TEAGASC-19-05-2018-10:18:46:103-11	31436131;37439392	c958c856d907eb299fc4e2817a27fe57;40c65c59187e14416796fed6625a8be1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587716/ERR2587716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587716/ERR2587716_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587716/ERR2587716_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587716/ERR2587716_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587716/ERR2587716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587716/ERR2587716_2.fastq.gz	43140622;48274826	f8930e5f87fac3bf3b0acd531a01b9c0;72d503c3d0cf7099c4d3aba81f712e14	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587716/16S_fmp_pre_F12_S114_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587716/16S_fmp_pre_F12_S114_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587716/16S_fmp_pre_F12_S114_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587716/16S_fmp_pre_F12_S114_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587716/16S_fmp_pre_F12_S114_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587716/16S_fmp_pre_F12_S114_L001_R2_001.fastq.gz	FASTQ;FASTQ	74883144	a5100ba57f7bf166de54ad2bc6c9bd75	ftp.sra.ebi.ac.uk/vol1/err/ERR258/006/ERR2587716	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/006/ERR2587716	ftp.sra.ebi.ac.uk/vol1/err/ERR258/006/ERR2587716	16S_fmp_pre_F12		16S_fmp_pre_F12		2018-05-19			
ERR2587720	ERP108869	SAMEA4670409	ERS2491022	ERX2603996	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_fmp_pre_F22	300	PAIRED	AMPLICON	METAGENOMIC	PCR	230662	138729740	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:104-15	ena-RUN-TEAGASC-19-05-2018-10:18:46:104-15	40245139;46970408	35de80e7c1f95649fd0183cf9f61ec73;0447ed01419748c2200d56452d023c09	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587720/ERR2587720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587720/ERR2587720_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2587720/ERR2587720_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2587720/ERR2587720_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587720/ERR2587720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587720/ERR2587720_2.fastq.gz	55699297;61736876	897fb6e1a6ab8dd933f9429dfafa1463;249d3250a3237ebc28352b881e2d72f1	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587720/16S_fmp_pre_F22_S124_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587720/16S_fmp_pre_F22_S124_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587720/16S_fmp_pre_F22_S124_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587720/16S_fmp_pre_F22_S124_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587720/16S_fmp_pre_F22_S124_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587720/16S_fmp_pre_F22_S124_L001_R2_001.fastq.gz	FASTQ;FASTQ	96293827	642a1d7918389ad9f375087d64a8bbb8	ftp.sra.ebi.ac.uk/vol1/err/ERR258/000/ERR2587720	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/000/ERR2587720	ftp.sra.ebi.ac.uk/vol1/err/ERR258/000/ERR2587720	16S_fmp_pre_F20		16S_fmp_pre_F20		2018-05-19			
ERR2587722	ERP108869	SAMEA4670411	ERS2491024	ERX2603998	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_fmp_pre_F28	300	PAIRED	AMPLICON	METAGENOMIC	PCR	116056	69804659	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:104-17	ena-RUN-TEAGASC-19-05-2018-10:18:46:104-17	19229615;23611024	44aa3535f73cbccd7f151e19020b4cd1;9c2bdf79a001ad7e1e990e9d4b263069	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2587722/ERR2587722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2587722/ERR2587722_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2587722/ERR2587722_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2587722/ERR2587722_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2587722/ERR2587722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2587722/ERR2587722_2.fastq.gz	26251010;30510966	bf110ca1d95cef57eae31eb8d9a3bfa3;b59c117321d582372f93e466f8a4eaf3	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587722/16S_fmp_pre_F28_S129_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587722/16S_fmp_pre_F28_S129_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587722/16S_fmp_pre_F28_S129_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587722/16S_fmp_pre_F28_S129_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587722/16S_fmp_pre_F28_S129_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587722/16S_fmp_pre_F28_S129_L001_R2_001.fastq.gz	FASTQ;FASTQ	47900231	f4719cb170cbfee95e094d53db4e18a6	ftp.sra.ebi.ac.uk/vol1/err/ERR258/002/ERR2587722	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/002/ERR2587722	ftp.sra.ebi.ac.uk/vol1/err/ERR258/002/ERR2587722	16S_fmp_pre_F25		16S_fmp_pre_F25		2018-05-19			
ERR2587728	ERP108869	SAMEA4670418	ERS2491031	ERX2604004	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_inulin_post_I16	300	PAIRED	AMPLICON	METAGENOMIC	PCR	142929	85963684	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:104-23	ena-RUN-TEAGASC-19-05-2018-10:18:46:104-23	24699039;29248958	38f787145502140a290b99d2b37fa8b1;a20fa89db184c6dcd6de1bdbaf36aa78	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2587728/ERR2587728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2587728/ERR2587728_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2587728/ERR2587728_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2587728/ERR2587728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2587728/ERR2587728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2587728/ERR2587728_2.fastq.gz	33837678;37892619	a7fd40963a074a03f9b065b38e225c4d;62db039afa0d93ffff5f77bcd3a4d862	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587728/16S_inulin_post_I16_S88_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587728/16S_inulin_post_I16_S88_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587728/16S_inulin_post_I16_S88_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587728/16S_inulin_post_I16_S88_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587728/16S_inulin_post_I16_S88_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587728/16S_inulin_post_I16_S88_L001_R2_001.fastq.gz	FASTQ;FASTQ	59197762	b8d415bea55729dad84e3a99cbc709d3	ftp.sra.ebi.ac.uk/vol1/err/ERR258/008/ERR2587728	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/008/ERR2587728	ftp.sra.ebi.ac.uk/vol1/err/ERR258/008/ERR2587728	16S_inulin_post_I16		16S_inulin_post_I16		2018-05-19			
ERR2587730	ERP108869	SAMEA4670420	ERS2491033	ERX2604006	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_inulin_post_I21	300	PAIRED	AMPLICON	METAGENOMIC	PCR	346712	208514746	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:104-25	ena-RUN-TEAGASC-19-05-2018-10:18:46:104-25	61060618;74861749	d979bf2f1ae6549111fe1eae88075705;1e3ce9446a5e317b93fd0f23961875d6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587730/ERR2587730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587730/ERR2587730_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2587730/ERR2587730_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2587730/ERR2587730_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587730/ERR2587730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587730/ERR2587730_2.fastq.gz	85358221;96932184	1c5d72ee3ef65e744322089ad77f7acf;4f4f21e538977dae06f1175383f8aa45	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587730/16S_inulin_post_I21_S93_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587730/16S_inulin_post_I21_S93_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587730/16S_inulin_post_I21_S93_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587730/16S_inulin_post_I21_S93_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587730/16S_inulin_post_I21_S93_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587730/16S_inulin_post_I21_S93_L001_R2_001.fastq.gz	FASTQ;FASTQ	146851320	29150c9ddcdb33492c2499a8769f1ccf	ftp.sra.ebi.ac.uk/vol1/err/ERR258/000/ERR2587730	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/000/ERR2587730	ftp.sra.ebi.ac.uk/vol1/err/ERR258/000/ERR2587730	16S_inulin_post_I21		16S_inulin_post_I21		2018-05-19			
ERR2587732	ERP108869	SAMEA4670422	ERS2491035	ERX2604008	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_inulin_post_I26	300	PAIRED	AMPLICON	METAGENOMIC	PCR	177063	106479356	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:104-27	ena-RUN-TEAGASC-19-05-2018-10:18:46:104-27	30664329;36329517	bb660e23b77046677d6422036a2d343b;dfbe423327a8244eed616f47f5427235	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2587732/ERR2587732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2587732/ERR2587732_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2587732/ERR2587732_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2587732/ERR2587732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2587732/ERR2587732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2587732/ERR2587732_2.fastq.gz	42104930;47378997	ed8cfa6160cc5ab6c2466490928f9832;a5789ebb167d0080e4679b05db9dcdfb	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587732/16S_inulin_post_I26_S98_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587732/16S_inulin_post_I26_S98_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587732/16S_inulin_post_I26_S98_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587732/16S_inulin_post_I26_S98_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587732/16S_inulin_post_I26_S98_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587732/16S_inulin_post_I26_S98_L001_R2_001.fastq.gz	FASTQ;FASTQ	73475353	ed505252005fbf7d3704e5a83789c787	ftp.sra.ebi.ac.uk/vol1/err/ERR258/002/ERR2587732	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/002/ERR2587732	ftp.sra.ebi.ac.uk/vol1/err/ERR258/002/ERR2587732	16S_inulin_post_I26		16S_inulin_post_I26		2018-05-19			
ERR2587736	ERP108869	SAMEA4670426	ERS2491039	ERX2604012	PRJEB26842	ERA1489867	1326787	fermentation metagenome	ILLUMINA	Illumina MiSeq	16S_inulin_pre_F10	300	PAIRED	AMPLICON	METAGENOMIC	PCR	202314	121674533	Teagasc Food Research Centre;Ireland;TEAGASC	2018-07-19	2018-11-16	Illumina MiSeq paired end sequencing	BBC study	ena-STUDY-TEAGASC-19-05-2018-07:51:28:007-360	ena-EXPERIMENT-TEAGASC-19-05-2018-10:18:46:104-31	ena-RUN-TEAGASC-19-05-2018-10:18:46:104-31	35586903;42254386	194b1959444b056297b6095f71114e8f;0592edc5683eba422999ec2e210d4c64	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587736/ERR2587736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587736/ERR2587736_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587736/ERR2587736_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587736/ERR2587736_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587736/ERR2587736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587736/ERR2587736_2.fastq.gz	49255009;55169462	a8c4ef9c67d3720205e3ab54192353ee;31f6eefcf7ca7e66dd9f8c008e63cb3b	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587736/16S_inulin_pre_F10_S112_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587736/16S_inulin_pre_F10_S112_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587736/16S_inulin_pre_F10_S112_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR258/ERR2587736/16S_inulin_pre_F10_S112_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587736/16S_inulin_pre_F10_S112_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2587736/16S_inulin_pre_F10_S112_L001_R2_001.fastq.gz	FASTQ;FASTQ	84520059	04eca50e3cb2ce76f869659cf7722a86	ftp.sra.ebi.ac.uk/vol1/err/ERR258/006/ERR2587736	fasp.sra.ebi.ac.uk:/vol1/err/ERR258/006/ERR2587736	ftp.sra.ebi.ac.uk/vol1/err/ERR258/006/ERR2587736	16S_inulin_pre_F10		16S_inulin_pre_F10		2018-05-19			
