feature	fefifo_8001_2_49__shotgun	fefifo_8001_6_2__shotgun	fefifo_8001_7_23__shotgun	fefifo_8002_1_59__shotgun	fefifo_8002_2_58__shotgun	fefifo_8002_6_111__shotgun	fefifo_8002_7_17__shotgun	fefifo_8003_1_54__shotgun	fefifo_8003_2_55__shotgun	fefifo_8003_6_102__shotgun	fefifo_8003_7_109__shotgun	fefifo_8004_1_63__shotgun	fefifo_8004_2_64__shotgun	fefifo_8004_6_13__shotgun	fefifo_8004_7_154__shotgun	fefifo_8006_1_72__shotgun	fefifo_8006_2_77__shotgun	fefifo_8006_6_6__shotgun	fefifo_8006_7_164__shotgun	fefifo_8007_2_68__shotgun	fefifo_8007_6_11__shotgun	fefifo_8008_1_85__shotgun	fefifo_8008_2_76__shotgun	fefifo_8008_6_22__shotgun	fefifo_8008_7_153__shotgun	fefifo_8009_1_93__shotgun	fefifo_8009_2_81__shotgun	fefifo_8009_6_159__shotgun	fefifo_8009_7_201__shotgun	fefifo_8010_1_87__shotgun	fefifo_8010_2_89__shotgun	fefifo_8010_6_151__shotgun	fefifo_8010_7_152__shotgun	fefifo_8011_1_33__shotgun	fefifo_8011_2_104__shotgun	fefifo_8011_7_216__shotgun	fefifo_8013_1_91__shotgun	fefifo_8013_2_125__shotgun	fefifo_8014_2_34__shotgun	fefifo_8014_6_123__shotgun	fefifo_8014_7_145__shotgun	fefifo_8016_1_43__shotgun	fefifo_8016_2_41__shotgun	fefifo_8016_6_146__shotgun	fefifo_8016_7_292__shotgun	fefifo_8017_1_15__shotgun	fefifo_8017_2_16__shotgun	fefifo_8017_6_289__shotgun	fefifo_8017_7_205__shotgun	fefifo_8018_1_3__shotgun	fefifo_8018_6_290__shotgun	fefifo_8018_7_219__shotgun	fefifo_8020_1_82__shotgun	fefifo_8020_2_83__shotgun	fefifo_8020_7_193__shotgun	fefifo_8021_1_26__shotgun	fefifo_8021_2_21__shotgun	fefifo_8021_6_285__shotgun	fefifo_8021_7_288__shotgun	fefifo_8022_1_42__shotgun	fefifo_8022_2_5__shotgun	fefifo_8022_6_208__shotgun	fefifo_8022_7_254__shotgun	fefifo_8023_2_30__shotgun	fefifo_8023_6_183__shotgun	fefifo_8023_7_291__shotgun	fefifo_8024_1_99__shotgun	fefifo_8024_2_131__shotgun	fefifo_8024_6_248__shotgun	fefifo_8024_7__shotgun	fefifo_8025_1_27__shotgun	fefifo_8025_2_20__shotgun	fefifo_8025_6_213__shotgun	fefifo_8025_7_220__shotgun	fefifo_8026_2_60__shotgun	fefifo_8026_6_276__shotgun	fefifo_8026_7_255__shotgun	fefifo_8027_1_18__shotgun	fefifo_8027_2_1__shotgun	fefifo_8027_6_283__shotgun	fefifo_8027_7_218__shotgun	fefifo_8028_1_25__shotgun	fefifo_8028_7_199__shotgun	fefifo_8029_1_97__shotgun	fefifo_8029_2_98__shotgun	fefifo_8029_6_194__shotgun	fefifo_8029_7_195__shotgun	fefifo_8030_1_121__shotgun	fefifo_8030_2_124__shotgun	fefifo_8030_6_251__shotgun	fefifo_8030_7__shotgun	fefifo_8031_6_272__shotgun	fefifo_8031_7_258__shotgun	fefifo_8032_1_29__shotgun	fefifo_8032_2_28__shotgun	fefifo_8032_6_271__shotgun	fefifo_8032_7_209__shotgun	fefifo_8033_1_4__shotgun	fefifo_8033_2_14__shotgun	fefifo_8033_6_256__shotgun	fefifo_8033_7_178__shotgun	fefifo_8034_1_114__shotgun	fefifo_8034_2_232__shotgun	fefifo_8034_6_198__shotgun	fefifo_8034_7_181__shotgun	fefifo_8035_1_168__shotgun	fefifo_8035_2_257__shotgun	fefifo_8036_1_169__shotgun	fefifo_8036_2_170__shotgun	fefifo_8036_7_321__shotgun	fefifo_8037_1_119__shotgun	fefifo_8037_2_228__shotgun	fefifo_8037_6_243__shotgun	fefifo_8037_7_303__shotgun	fefifo_8038_1_116__shotgun	fefifo_8038_2_224__shotgun	fefifo_8038_6_249__shotgun	fefifo_8038_7_305__shotgun	fefifo_8039_1_226__shotgun	fefifo_8039_2_166__shotgun	fefifo_8039_6_235__shotgun	fefifo_8039_7_329__shotgun	fefifo_8041_1_207__shotgun	fefifo_8041_2_211__shotgun	fefifo_8041_6_320__shotgun	fefifo_8041_7_317__shotgun
total_reads	20841884.0	11785140.0	97796319.0	24459753.0	9963955.0	41482716.0	13294372.0	18709896.0	38751027.0	54348433.0	30644075.0	12430950.0	21135114.0	10869384.0	50042008.0	20012025.0	10105630.0	19249576.0	36174423.0	15876490.0	15303217.0	27626085.0	3489153.0	11817307.0	29748231.0	24663870.0	26203891.0	62616422.0	28127650.0	15952053.0	22361151.0	19247623.0	27238803.0	15449155.0	49389190.0	23861401.0	20464474.0	18824209.0	26779968.0	59036360.0	49778752.0	13687942.0	15786439.0	17033236.0	63188213.0	49792886.0	11246875.0	11910842.0	38960237.0	8639874.0	14107480.0	26952003.0	19449328.0	21887146.0	60718473.0	36484748.0	16061287.0	14082954.0	16545128.0	9218670.0	18429202.0	11731741.0	16206085.0	34268076.0	17641669.0	14192834.0	23986902.0	40487865.0	1587072.0	7344492.0	44967089.0	12675995.0	18379701.0	22661050.0	14608971.0	25306551.0	35487457.0	5274597.0	6307989.0	10665706.0	26236764.0	26438826.0	57080681.0	31831450.0	35034479.0	35319491.0	38401218.0	24563779.0	27913623.0	12034835.0	30139933.0	16008721.0	21584041.0	27803094.0	37504964.0	23963745.0	13356505.0	19055366.0	20144971.0	25470820.0	19771654.0	9605901.0	12496142.0	35715250.0	33857093.0	18005270.0	16245788.0	43315309.0	15684249.0	21804890.0	15641288.0	14944335.0	5191917.0	38259206.0	16437752.0	17269969.0	30280755.0	28228101.0	24946913.0	41731573.0	8185397.0	14796297.0	17423299.0	14824331.0	8292693.0	27081182.0
filtered_reads	20640155.0	11476997.0	96653174.0	24701587.0	9768349.0	40663401.0	13504563.0	17998895.0	37697571.0	53098850.0	29537688.0	12183087.0	20578889.0	10622036.0	48273473.0	20031445.0	9945449.0	18851077.0	36295067.0	15758556.0	14951358.0	27353145.0	3279424.0	11761923.0	28746517.0	24255985.0	25997695.0	60608615.0	27748861.0	15885795.0	22347432.0	19059597.0	27018531.0	15296060.0	48206361.0	23707602.0	20698751.0	19301731.0	25447188.0	57799700.0	48717404.0	13627178.0	15705404.0	17434682.0	61408565.0	50089375.0	11206303.0	11914711.0	38986111.0	8644374.0	13902845.0	26700235.0	19259091.0	21600502.0	60153575.0	36113716.0	15922103.0	14058319.0	16706350.0	9046639.0	18299935.0	11499308.0	15749489.0	33581627.0	17058057.0	13784280.0	22142489.0	40751112.0	1500086.0	6816933.0	44549994.0	12155952.0	18241638.0	22334051.0	14476602.0	24805993.0	34528070.0	5238101.0	6093460.0	10589884.0	26030893.0	26421895.0	56469287.0	31382903.0	34244838.0	34744333.0	38089567.0	22383961.0	25598165.0	10445369.0	28029056.0	16286186.0	21797993.0	27697072.0	36928224.0	23707040.0	12975752.0	19116255.0	19393572.0	25647991.0	19489261.0	9572007.0	12386527.0	35450596.0	33123380.0	18278966.0	16534328.0	43134785.0	15524330.0	21363776.0	15468256.0	14914164.0	5045895.0	37142240.0	16195116.0	16756251.0	29109247.0	27394172.0	24560551.0	41300838.0	8124411.0	14613684.0	17160296.0	14900565.0	8250559.0	26558411.0
category	69445.9347	59933.85311	63325.38301	65516.27435	52487.59487	57465.36758	60449.89815	48401.80259	59033.9032	57578.57005	65370.83258	54886.64418	51982.60607	52924.88327	51267.98232	71097.00295	68071.86274	57142.09055	66320.59768	67447.51683	81072.39924	66626.85057	61501.88409	82484.84916	50211.97118	64361.97544	68029.12548	67604.19897	67294.5828	73253.53385	73751.62177	63270.51197	69411.37444	66755.00757	57697.48773	68591.73125	69285.08177	60793.87209	55372.34393	54488.53864	53216.03161	52855.21068	54259.69132	55510.92958	45912.26911	61764.39051	67225.19946	69481.1534	78302.89963	63652.57185	68872.46356	72661.28043	68577.43454	53151.74298	71115.25086	72673.8678	77875.55061	67084.70458	88305.47386	92435.95258	68222.43694	64314.61638	66691.30031	66608.3038	58261.533	68854.04251	64838.57911	67932.15015	56263.66266	50697.13213	55790.25697	55221.61885	57762.96152	57237.17545	72839.34789	66218.32359	59083.86878	70285.27195	43818.59219	64986.72171	73130.18252	68621.79986	75463.84528	63647.40459	66892.63238	66176.84797	68146.53414	62576.53064	64839.032	61427.1409	61280.80897	63189.54358	60880.03094	73751.97843	74360.99009	78608.41093	63736.71194	66430.81304	39721.63835	54016.92297	50145.29575	63505.2877	71139.35132	73847.4702	62591.89142	64797.87275	64954.97063	70880.79531	73873.19572	70653.72097	69228.57711	58523.52179	65796.01	68035.6561	65175.96423	62620.10982	45639.74074	67647.07817	65014.5446	68667.94366	74152.40889	76331.91363	73097.82224	70936.53762	72998.51351	72080.09123
AA1	36.76479	7.22872	5.14473	1.57061	1.23767	0.38751	0.37725	1.73745	3.87119	6.97139	6.32636	3.90477	2.91545	1.44358	2.95538	1.49733	1.43704	4.97845	3.41561	3.1944	0.45059	7.75898	2.18399	1.28119	1.54928	6.89872	5.31567	4.56771	4.35619	4.15928	7.97613	0.79417	3.88367	0.6689	2.76155	1.66247	1.77203	1.21364	0.80022	3.66021	1.97731	9.60542	5.91248	24.83087	14.29452	95.69609	2.13448	3.2938	1.2815	1.39593	0.30381	0.27489	4.33147	5.32691	4.88864	1.61	3.74643	7.16806	1.42575	15.58499	22.205	28.23515	28.72985	4.33937	5.52627	6.5472	4.55176	6.04078	2.5238	1.40918	11.03362	29.64151	14.24131	20.66019	5.83426	4.4784	7.43428	10.66393	21.62313	4.00657	3.7515	6.74402	2.71176	2.25531	4.34835	1.45148	3.40182	13.96412	17.91287	23.82579	8.40355	29.87287	34.9575	6.21887	14.21878	16.80327	2.81071	8.47425	13.52558	13.91253	2.94493	30.90343	9.49034	12.52027	28.12906	2.28427	9.80126	0.5316	0.8368	0.38151	2.16316	2.35124	NA	1.38361	0.93361	1.17428	1.85766	0.43106	2.35665	5.51566	0.58776	0.08448	0.23095	1.99004	2.39664	0.33923
AA10	NA	NA	0.05635	NA	NA	NA	NA	NA	0.04341	NA	NA	NA	NA	NA	NA	NA	NA	0.24559	NA	NA	NA	NA	NA	NA	0.05692	0.09502	0.07964	NA	NA	0.42978	0.17973	NA	0.07663	0.06121	0.25611	0.2656	NA	NA	NA	0.07883	0.11467	0.07324	NA	0.09386	1.42609	NA	NA	0.16457	0.08394	NA	NA	NA	NA	NA	0.02182	NA	0.08242	NA	NA	NA	NA	NA	NA	NA	NA	0.17012	3.11308	0.07321	NA	NA	0.06047	NA	NA	NA	NA	NA	NA	NA	0.26854	NA	NA	0.12217	NA	0.04182	NA	NA	0.0698	NA	0.06392	NA	NA	1.34629	0.32308	NA	NA	NA	NA	NA	0.10292	NA	NA	0.10007	NA	NA	NA	NA	NA	0.06245	NA	NA	NA	NA	NA	0.06205	NA	0.06102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA3	0.35654	0.42863	0.3947	0.66763	0.65903	0.80018	0.58078	0.34568	0.18282	0.13146	0.09404	0.16142	0.09585	0.20257	0.04074	0.08576	NA	0.10401	0.03211	1.1633	NA	0.08522	NA	0.3408	0.3049	0.22499	0.26061	0.43329	0.03533	NA	0.18058	0.21547	0.17255	0.06409	0.10731	0.16142	0.76154	0.19871	NA	0.38157	0.45803	0.07194	0.14842	0.09423	0.23948	22.46581	1.24991	0.94907	0.30072	1.29846	0.07093	0.23939	0.41069	1.14593	0.25171	0.20154	0.54116	0.13813	0.25281	1.11172	4.71222	7.6663	3.29456	0.25292	NA	NA	1.42377	1.57945	0.20495	1.00672	0.37606	0.43514	0.36181	0.97188	NA	0.24713	0.38345	0.69209	NA	0.74063	0.22976	0.29948	0.06789	0.19985	0.14367	0.03355	0.22312	2.7278	5.57121	9.27439	1.73771	6.81712	7.1275	1.10104	0.57225	0.21813	0.20424	2.89694	0.07011	0.32836	0.0506	0.12857	0.07915	0.19359	0.24969	0.40045	NA	0.42539	0.26179	0.05456	0.43278	0.85726	NA	0.04374	0.10032	0.05851	NA	0.07833	0.34933	0.93697	1.07428	NA	0.30723	0.63889	0.6676	0.23543
AA3_2	0.0271	NA	0.01115	0.17152	NA	0.0155	NA	0.05074	NA	NA	NA	NA	0.04274	NA	0.02733	NA	NA	NA	NA	0.36108	0.08413	0.01697	NA	0.06934	0.14469	0.02593	0.04035	0.07805	NA	NA	0.09607	NA	NA	NA	0.12343	0.05597	0.20821	0.09788	NA	0.01092	0.31904	NA	0.04012	0.02708	0.00513	12.98787	0.45981	0.29814	0.04696	0.16757	NA	0.04957	0.02045	0.42242	0.03848	0.01596	0.14838	0.01347	0.02749	1.34498	2.3253	3.97078	2.60933	0.19377	0.18046	NA	0.23038	0.37842	0.16615	0.09299	0.12832	0.19139	0.10505	0.35674	NA	0.00846	NA	0.54257	NA	NA	0.01499	0.16466	0.00557	0.0368	0.06026	NA	0.09138	1.4105	3.49015	5.33978	1.0636	7.06718	9.72357	0.19062	0.10717	0.13332	0.10518	0.78715	0.09466	0.10287	0.04513	0.06028	NA	0.01777	0.01955	0.0858	0.07979	0.01594	0.06815	0.05905	0.07636	0.14917	NA	0.00565	0.01296	NA	0.0108	NA	0.20328	0.6049	0.46798	NA	NA	0.0228	0.17847	NA
AA4	34.81197	26.61688	16.04985	6.73549	9.40188	15.24389	7.9102	12.67996	14.87161	13.43637	9.17498	22.54766	24.92015	36.48904	21.62752	6.56764	7.82606	12.07516	6.16845	8.62608	4.94734	13.13479	6.70992	5.31279	8.53637	21.63324	25.23087	79.71979	19.35866	4.52164	3.17578	3.68541	3.83384	5.96823	5.66911	5.14447	23.61112	16.26014	26.20919	27.80873	23.55218	15.23298	12.65739	38.86918	34.99787	11.92571	7.90055	10.23288	12.30043	15.50083	27.8995	10.00337	7.02356	4.96358	4.28381	6.72424	13.74962	15.83313	12.96743	18.4173	16.66477	11.49313	15.1945	12.50601	13.43602	4.13168	6.79661	7.25652	12.98348	24.75156	15.40369	19.75226	23.25542	23.74467	12.8067	12.76027	14.91927	17.86685	15.54133	27.84705	12.48048	9.76766	3.8584	8.58111	11.90095	7.84178	14.28096	18.0899	15.21534	13.60558	16.68415	16.91532	8.92325	10.92478	13.56782	15.13529	3.02095	21.09166	38.44513	37.445	20.492	39.42814	14.51955	21.39342	36.07526	17.07244	33.21463	8.11342	7.11868	4.08862	13.60163	11.28036	13.95008	11.70944	9.74468	14.8757	7.62505	8.75272	4.77855	5.52605	2.76378	0.77175	6.70348	12.98083	7.22998	8.01841
AA6	20.11585	10.80437	11.32717	24.97208	14.54793	23.88201	17.81985	9.90205	11.12264	17.94267	10.82177	10.8933	7.17029	8.35881	8.71451	11.18271	7.5885	12.04964	12.5614	32.19654	42.77798	14.88756	6.49371	10.89483	11.32935	20.58502	23.75669	15.84362	16.09084	30.27278	30.32845	23.52091	21.29271	12.24571	15.32736	22.17578	12.93542	19.94694	24.70911	35.58725	22.04881	18.34809	22.5141	18.37	24.48416	39.03654	44.90801	20.58915	24.72931	12.60117	4.16356	8.03984	22.72982	40.84985	9.96745	9.20898	6.82272	22.87415	9.7585	90.63721	24.2521	22.80914	26.75622	12.28324	21.93752	6.20714	44.98046	51.74759	58.8546	97.86859	11.94689	15.41569	28.01801	29.40858	14.10399	23.68352	15.82157	23.6965	9.04542	18.72551	49.7669	25.84408	15.76925	13.53229	14.50371	16.51455	15.94829	13.09029	22.00688	27.2845	11.41728	19.81574	24.38446	17.97739	18.76095	24.2705	19.13915	11.21214	13.16472	21.97622	13.47492	26.87483	37.50551	43.98088	42.28132	24.19323	24.7222	11.63751	13.09548	10.86936	16.66942	12.41813	16.17264	14.47339	14.43943	25.40895	15.54547	18.49924	23.23328	21.45203	24.45488	16.42617	27.15765	37.12522	23.7434	21.02391
AA7	18.69459	20.61318	21.01923	22.39341	16.32379	53.88613	18.35356	26.40369	24.29487	22.38161	16.75336	48.75399	40.33858	49.59717	53.9008	21.11773	19.65517	44.44039	26.08389	17.34131	12.01395	44.43091	23.18463	18.14667	30.23823	67.99708	61.84256	136.17233	41.46283	14.58279	11.85624	8.45064	9.56935	19.62553	39.6585	21.97554	23.6786	38.85219	53.69694	67.33794	51.58285	88.85235	55.39078	122.22757	109.68123	27.371	17.09559	20.97907	20.0768	34.91371	27.04478	18.00673	20.17726	26.36138	12.52945	29.71666	17.85131	39.50215	19.80213	23.2337	53.97089	37.05136	37.27856	13.6393	26.27341	5.85707	32.17492	9.45605	59.27321	19.31079	39.87742	22.47886	25.0925	24.25707	16.02183	25.13714	21.58168	26.69914	13.69952	51.4779	19.09285	49.48124	21.53671	18.87877	26.01274	41.03362	25.75094	27.58487	20.89854	24.4541	38.57619	26.32918	19.33843	21.32744	14.42709	10.37273	5.69555	39.16074	61.88761	68.92821	85.39999	98.92928	49.06627	65.72319	90.60203	39.50998	65.68142	18.91901	17.03776	18.28333	39.38569	61.23241	33.84332	33.97676	29.17419	44.0048	33.05759	36.15145	47.3276	40.82638	32.93874	22.83591	26.21583	60.6326	41.86738	30.88629
