feature	fefifo_8001_2_49__shotgun	fefifo_8001_6_2__shotgun	fefifo_8001_7_23__shotgun	fefifo_8002_1_59__shotgun	fefifo_8002_2_58__shotgun	fefifo_8002_6_111__shotgun	fefifo_8002_7_17__shotgun	fefifo_8003_1_54__shotgun	fefifo_8003_2_55__shotgun	fefifo_8003_6_102__shotgun	fefifo_8003_7_109__shotgun	fefifo_8004_1_63__shotgun	fefifo_8004_2_64__shotgun	fefifo_8004_6_13__shotgun	fefifo_8004_7_154__shotgun	fefifo_8006_1_72__shotgun	fefifo_8006_2_77__shotgun	fefifo_8006_6_6__shotgun	fefifo_8006_7_164__shotgun	fefifo_8007_2_68__shotgun	fefifo_8007_6_11__shotgun	fefifo_8008_1_85__shotgun	fefifo_8008_2_76__shotgun	fefifo_8008_6_22__shotgun	fefifo_8008_7_153__shotgun	fefifo_8009_1_93__shotgun	fefifo_8009_2_81__shotgun	fefifo_8009_6_159__shotgun	fefifo_8009_7_201__shotgun	fefifo_8010_1_87__shotgun	fefifo_8010_2_89__shotgun	fefifo_8010_6_151__shotgun	fefifo_8010_7_152__shotgun	fefifo_8011_1_33__shotgun	fefifo_8011_2_104__shotgun	fefifo_8011_7_216__shotgun	fefifo_8013_1_91__shotgun	fefifo_8013_2_125__shotgun	fefifo_8014_2_34__shotgun	fefifo_8014_6_123__shotgun	fefifo_8014_7_145__shotgun	fefifo_8016_1_43__shotgun	fefifo_8016_2_41__shotgun	fefifo_8016_6_146__shotgun	fefifo_8016_7_292__shotgun	fefifo_8017_1_15__shotgun	fefifo_8017_2_16__shotgun	fefifo_8017_6_289__shotgun	fefifo_8017_7_205__shotgun	fefifo_8018_1_3__shotgun	fefifo_8018_6_290__shotgun	fefifo_8018_7_219__shotgun	fefifo_8020_1_82__shotgun	fefifo_8020_2_83__shotgun	fefifo_8020_7_193__shotgun	fefifo_8021_1_26__shotgun	fefifo_8021_2_21__shotgun	fefifo_8021_6_285__shotgun	fefifo_8021_7_288__shotgun	fefifo_8022_1_42__shotgun	fefifo_8022_2_5__shotgun	fefifo_8022_6_208__shotgun	fefifo_8022_7_254__shotgun	fefifo_8023_2_30__shotgun	fefifo_8023_6_183__shotgun	fefifo_8023_7_291__shotgun	fefifo_8024_1_99__shotgun	fefifo_8024_2_131__shotgun	fefifo_8024_6_248__shotgun	fefifo_8024_7__shotgun	fefifo_8025_1_27__shotgun	fefifo_8025_2_20__shotgun	fefifo_8025_6_213__shotgun	fefifo_8025_7_220__shotgun	fefifo_8026_2_60__shotgun	fefifo_8026_6_276__shotgun	fefifo_8026_7_255__shotgun	fefifo_8027_1_18__shotgun	fefifo_8027_2_1__shotgun	fefifo_8027_6_283__shotgun	fefifo_8027_7_218__shotgun	fefifo_8028_1_25__shotgun	fefifo_8028_7_199__shotgun	fefifo_8029_1_97__shotgun	fefifo_8029_2_98__shotgun	fefifo_8029_6_194__shotgun	fefifo_8029_7_195__shotgun	fefifo_8030_1_121__shotgun	fefifo_8030_2_124__shotgun	fefifo_8030_6_251__shotgun	fefifo_8030_7__shotgun	fefifo_8031_6_272__shotgun	fefifo_8031_7_258__shotgun	fefifo_8032_1_29__shotgun	fefifo_8032_2_28__shotgun	fefifo_8032_6_271__shotgun	fefifo_8032_7_209__shotgun	fefifo_8033_1_4__shotgun	fefifo_8033_2_14__shotgun	fefifo_8033_6_256__shotgun	fefifo_8033_7_178__shotgun	fefifo_8034_1_114__shotgun	fefifo_8034_2_232__shotgun	fefifo_8034_6_198__shotgun	fefifo_8034_7_181__shotgun	fefifo_8035_1_168__shotgun	fefifo_8035_2_257__shotgun	fefifo_8036_1_169__shotgun	fefifo_8036_2_170__shotgun	fefifo_8036_7_321__shotgun	fefifo_8037_1_119__shotgun	fefifo_8037_2_228__shotgun	fefifo_8037_6_243__shotgun	fefifo_8037_7_303__shotgun	fefifo_8038_1_116__shotgun	fefifo_8038_2_224__shotgun	fefifo_8038_6_249__shotgun	fefifo_8038_7_305__shotgun	fefifo_8039_1_226__shotgun	fefifo_8039_2_166__shotgun	fefifo_8039_6_235__shotgun	fefifo_8039_7_329__shotgun	fefifo_8041_1_207__shotgun	fefifo_8041_2_211__shotgun	fefifo_8041_6_320__shotgun	fefifo_8041_7_317__shotgun
total_reads	21004727.0	11844380.0	98615220.0	24933798.0	10058048.0	42089902.0	13729052.0	19350863.0	39768512.0	55450269.0	30892863.0	12719680.0	21686842.0	11138649.0	50717205.0	20289731.0	10214518.0	19507161.0	36905306.0	16191456.0	15459633.0	27891715.0	3494747.0	11895977.0	29820826.0	25074200.0	26624835.0	64007441.0	28537653.0	16106317.0	22610070.0	19374423.0	27438210.0	15611133.0	49705979.0	24125454.0	21105334.0	20123192.0	27043237.0	60690910.0	50763349.0	14098074.0	16235741.0	17924006.0	65281798.0	50498680.0	11382998.0	12032193.0	39317361.0	8744313.0	14213477.0	27148889.0	19614819.0	22156567.0	61178468.0	36730868.0	16168174.0	14310225.0	16839318.0	9297827.0	18683239.0	11877484.0	16353884.0	34780851.0	18014742.0	14332522.0	25355367.0	42254944.0	1638274.0	7631360.0	45667762.0	12749712.0	18730635.0	23055003.0	14792748.0	25601106.0	35997362.0	5325230.0	6319463.0	10820674.0	26488347.0	26793653.0	57419483.0	32046090.0	35204405.0	35516324.0	38688628.0	24991130.0	28886184.0	12574300.0	30873063.0	16640551.0	22358741.0	28383610.0	37985979.0	24214940.0	13392071.0	19389593.0	20356245.0	26187609.0	20016282.0	9763228.0	12664197.0	36242309.0	34259482.0	18604352.0	16874856.0	43863405.0	15867181.0	21957318.0	15833504.0	15202756.0	5317044.0	38821409.0	16672820.0	17492403.0	30508665.0	28585889.0	25155254.0	42087995.0	8246175.0	14868356.0	17598749.0	15135191.0	8399248.0	27303042.0
filtered_reads	20640155.0	11476997.0	96653174.0	24701587.0	9768349.0	40663401.0	13504563.0	17998895.0	37697571.0	53098850.0	29537688.0	12183087.0	20578889.0	10622036.0	48273473.0	20031445.0	9945449.0	18851077.0	36295067.0	15758556.0	14951358.0	27353145.0	3279424.0	11761923.0	28746517.0	24255985.0	25997695.0	60608615.0	27748861.0	15885795.0	22347432.0	19059597.0	27018531.0	15296060.0	48206361.0	23707602.0	20698751.0	19301731.0	25447188.0	57799700.0	48717404.0	13627178.0	15705404.0	17434682.0	61408565.0	50089375.0	11206303.0	11914711.0	38986111.0	8644374.0	13902845.0	26700235.0	19259091.0	21600502.0	60153575.0	36113716.0	15922103.0	14058319.0	16706350.0	9046639.0	18299935.0	11499308.0	15749489.0	33581627.0	17058057.0	13784280.0	22142489.0	40751112.0	1500086.0	6816933.0	44549994.0	12155952.0	18241638.0	22334051.0	14476602.0	24805993.0	34528070.0	5238101.0	6093460.0	10589884.0	26030893.0	26421895.0	56469287.0	31382903.0	34244838.0	34744333.0	38089567.0	22383961.0	25598165.0	10445369.0	28029056.0	16286186.0	21797993.0	27697072.0	36928224.0	23707040.0	12975752.0	19116255.0	19393572.0	25647991.0	19489261.0	9572007.0	12386527.0	35450596.0	33123380.0	18278966.0	16534328.0	43134785.0	15524330.0	21363776.0	15468256.0	14914164.0	5045895.0	37142240.0	16195116.0	16756251.0	29109247.0	27394172.0	24560551.0	41300838.0	8124411.0	14613684.0	17160296.0	14900565.0	8250559.0	26558411.0
category	7945793.98081	4589366.49095	38131512.81661	9555788.09136	3289796.56589	15967348.90257	5268010.78608	6669911.76805	13911663.62747	19842346.73996	10812063.21232	4554547.98077	8029995.32226	4174106.72458	19277414.22446	8144157.75453	3880640.78166	7572422.60146	14133578.97008	5846744.6725	5481893.44109	10629536.57726	1198420.60497	4482777.28828	7735741.06393	9257183.81163	9861422.62288	22871610.72799	10556936.15868	5917964.89318	8348304.29561	6677517.01284	9333792.31385	5668091.21647	18383766.64212	8637293.43716	7443037.83186	6953639.1025	9866031.22248	21201490.64031	18458995.73111	5343794.48502	6209656.17478	6445151.63154	23779541.98397	20028743.82265	4082103.15596	4592365.94295	14469243.57172	3392539.77779	5628048.09345	10552444.41517	6377079.17783	6654541.70124	21060298.53311	14422757.77099	6259315.55002	5565414.79097	6305234.46236	3372502.26114	7121399.33198	4500438.78404	6014707.97246	12548154.06899	6250526.60106	5215806.15375	7961972.53861	14913802.38811	589677.1571	2699094.79887	18202758.66021	4803254.72356	7049594.43946	8700178.67507	5400381.66608	9119761.00305	13343997.89054	1964998.30802	1639966.07737	3929490.78636	9746354.79044	10122267.42778	19234804.05074	12305987.85271	13643953.5008	13331042.25007	14995589.47662	8617298.39658	9522000.01594	3730908.00946	10525887.71367	6196905.48147	8461384.33138	10558062.51737	14020151.13817	8750594.10731	3192173.58879	7305274.35308	5750932.243	9810850.68489	7747793.06194	3642839.40559	4575244.70258	13080802.70379	12521688.57519	7177735.49041	6180025.16338	16397334.22811	5727642.04357	7801960.53268	6029286.83806	5832888.39388	1923769.08654	14214945.03189	6205217.61896	6521071.52899	7703572.83956	10488673.79921	9623564.43413	15305002.99562	3088585.81573	5332689.56459	5897097.93054	5243330.05136	2860666.5356	9149186.17772
ko:K00001	2034.01298	952.9443	9013.7084	2191.04897	730.79193	4330.63464	1232.31444	1264.98507	2710.4538	3477.19418	1541.65018	961.60952	1740.40018	1020.76608	4351.92752	1979.49126	973.81292	1880.77892	3189.57608	1127.30593	794.1499	2357.46153	214.30966	812.00023	1310.79907	2004.63981	1920.0018	3588.30752	2521.33283	1297.76384	2073.08981	1394.00278	1641.89421	1855.19342	5722.12677	2248.35233	1326.36842	1481.86049	1898.86499	4043.89918	2980.81219	1672.48146	2090.52059	2570.496	11600.92273	4073.92324	998.84764	1222.15921	3544.62823	1218.19048	2157.80882	3782.47913	1495.72373	1486.72782	4911.49174	2642.31442	1445.83906	1592.68939	1294.08833	395.46306	890.99479	977.52523	1356.14461	2012.53702	842.88245	561.68872	1102.82668	1171.02021	94.67192	491.59798	4463.61649	906.14913	1693.51201	1977.34324	1349.88115	3083.86153	4846.72966	475.69202	482.40216	903.10994	2697.44143	1938.65096	5185.171	3309.89764	2799.65542	3002.81686	4454.21587	2128.77881	2547.79235	1136.85492	2816.77999	1967.37601	2752.97757	2277.90281	2778.05723	2113.30264	632.07891	2349.40205	1376.32301	2293.492	1718.68926	1005.47561	1243.39933	3320.64845	3301.25711	1484.08776	1435.90218	3597.19604	1125.90776	1485.73103	1538.52355	1499.40935	486.35392	3653.41501	1724.82603	1344.73296	1978.8042	3461.72172	1564.58374	2527.15011	397.44563	1252.54776	989.08304	1206.52374	433.06276	1766.67756
ko:K00002	607.18324	218.77804	2230.68627	379.50017	130.18042	716.66894	204.93522	278.14648	539.00956	1131.7337	376.20579	132.6652	299.24332	164.93788	658.5724	283.89542	173.65648	411.69574	526.38977	322.93492	188.23603	345.12567	24.98427	81.10063	129.63656	477.626	399.75804	956.21941	425.93385	129.92832	146.66832	70.39823	141.28725	219.49561	657.86602	453.30198	697.87332	739.15239	577.24947	887.39311	891.91875	601.67536	591.93179	499.04721	2781.96402	874.37494	169.33549	296.98667	633.08178	345.75392	376.53149	784.01329	417.41768	496.71768	3684.0392	492.46367	184.84361	182.91364	106.73047	109.75447	327.0956	222.5112	329.61535	233.31245	164.29602	57.76158	337.52296	836.46418	36.04773	170.89054	597.84822	157.35565	338.17293	313.60021	263.4007	916.01832	261.29297	99.98243	77.30079	109.71746	685.52747	801.152	750.54227	1874.67171	1189.98236	707.67172	2045.67732	351.0758	350.9797	170.39257	397.12974	318.78368	472.33268	490.25076	548.83969	297.36244	59.78767	287.0271	295.20491	499.08293	237.00064	136.77196	191.3323	555.51434	429.79701	224.63927	250.51348	610.32697	303.80913	282.2041	289.22488	155.7699	57.03736	490.92392	218.92812	327.56316	342.37878	357.10185	461.1994	582.6947	81.83197	162.33429	312.61638	542.65576	126.29209	469.87733
ko:K00003	4977.54239	3421.75688	27792.28622	5625.93028	2442.54881	12118.48547	3902.71626	3449.73808	7322.74443	10506.28098	3518.95983	2889.16201	6230.48638	3117.85273	14595.26351	5703.7567	2433.90357	6073.09106	9301.61217	3890.24821	2655.5664	6821.96047	593.03983	1645.59581	4060.56894	7082.48982	6784.79487	15066.41451	7554.27151	3442.00164	4363.36592	3689.21013	4818.32921	4099.01877	15061.13588	5286.14837	3762.27948	4821.83108	6676.82288	11936.92044	13109.10772	4515.20065	5426.0537	3940.36682	19878.81456	11758.27294	3151.86793	3195.53401	8005.68101	2103.34994	3135.53165	5157.8767	2589.4913	3034.7566	7702.91164	7700.73944	2305.28916	3601.45533	2180.14504	1324.42377	4311.83168	2599.93719	3235.19465	4758.71881	3335.2432	1660.54762	4725.6117	7626.77794	416.50962	1680.18837	16921.15088	3037.07135	4435.96068	5463.4257	3013.47725	4622.88062	8894.44846	1284.25733	1493.6342	2588.23254	5402.95394	7287.96085	6628.33767	6230.74114	7933.24739	9004.12905	8836.30526	4751.37483	4470.87733	1899.77611	5973.35442	3198.30794	4498.61849	5562.14088	6875.93454	3425.97394	880.60768	3615.55114	4015.62932	7002.68704	6635.48619	2427.80882	2599.18935	7074.27111	8821.57965	5289.93894	4280.1141	8777.10137	2483.98576	3625.37624	4002.98459	4475.51069	1224.51352	8416.34336	3431.63601	4403.89171	4921.97484	5828.30551	6743.58346	7649.07762	1697.12149	2121.04573	2554.50779	2544.03372	1268.30452	3699.89223
ko:K00004	267.21522	48.09119	274.47876	204.59201	38.83741	327.88162	71.05092	388.16447	385.90238	869.63703	246.10589	142.2099	371.37021	153.11934	995.25662	146.63428	107.53381	228.48803	301.27124	111.62195	116.24433	106.54072	10.50506	24.45039	42.36375	229.6606	200.03324	375.54258	291.04375	91.81719	74.96325	35.53133	63.31979	40.05928	80.3129	76.76959	167.73821	232.69712	232.80254	585.25893	395.17942	331.72488	340.19528	548.45815	2740.77498	1223.16035	174.97958	138.32967	490.1481	100.80089	198.67053	168.10493	115.76463	285.88183	162.57617	125.42609	40.11886	75.58523	27.68785	128.73655	603.33206	240.23338	235.30627	218.44333	226.5198	86.54483	202.2085	270.64838	7.27621	83.39434	1186.08985	155.41887	185.63925	246.01325	28.24064	96.92253	155.28301	17.5988	10.93733	114.76768	40.94733	775.14518	1341.58239	273.57046	417.5642	319.30708	353.51814	243.85555	243.11857	156.72445	291.54729	75.76362	124.32094	197.36726	230.00392	83.28667	19.42471	172.16372	520.11603	594.08383	819.16661	78.77995	51.91735	179.35981	228.69302	168.11468	192.40011	606.00136	197.51004	238.65751	117.80599	135.49531	35.2927	238.83671	130.73408	128.74673	212.17517	236.68305	202.60149	217.24415	41.59562	28.25802	61.60985	127.94323	36.83952	111.75338
ko:K00005	1576.05281	763.41066	7713.77288	1799.78268	534.71624	4913.87902	1623.83577	1007.52432	2573.01755	3354.23335	1101.03362	1090.57688	2321.22504	1204.54302	6192.05817	2278.39797	1226.54461	2663.25288	3274.54249	1555.36481	1161.14895	2642.39659	180.60758	525.7805	1188.85589	1696.05725	1472.99025	2827.56956	1631.88346	1571.49977	1579.86388	1593.24824	1776.63309	1657.31563	6750.97455	2038.19487	1436.57778	2098.28911	2450.23178	3846.69803	4715.04631	3015.47521	3050.91839	2406.40607	10950.38081	4642.29433	766.71116	909.80577	2554.80254	492.2834	2676.85205	2661.00952	887.63328	1194.03658	3466.9867	3290.47446	885.13463	1154.72942	841.07202	321.2449	1221.54255	821.04796	960.86954	2406.66174	1113.15952	672.10439	930.34711	1501.10157	111.21931	558.46399	4720.85887	1175.50857	1859.38613	2681.90561	979.31265	1956.18853	4829.76829	463.5917	990.51193	990.39481	1591.52946	3241.10918	2776.17255	1713.60175	2140.05366	3419.64453	2622.49713	1527.49929	1852.65082	716.08211	1705.20552	1224.5266	1732.05283	1317.90628	1969.38388	745.17738	280.68177	1162.35063	1183.72301	1969.15112	1546.40422	706.53203	708.98855	2139.51924	2369.46282	1292.6261	1099.33018	3692.35482	1038.69421	1741.03307	1945.49807	2073.04479	396.81705	2648.1471	747.1781	1315.33384	1605.05482	1782.92171	2951.05469	3368.67325	735.23279	1080.21875	784.29134	973.70257	406.03677	1199.16752
ko:K00006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.48555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.55435	53.98145	NA	NA	NA	NA	NA	25.69647	58.72752	4.22989	NA	NA	NA	NA	NA	0.77036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K00007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.54981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57719	NA	1.30879	0.98021	NA	NA	NA	NA	NA	NA	0.48638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20567	1.84256	NA	0.74647	NA	NA	NA	NA	NA	NA	NA	5.05518	10.44495	0.40124	1.26849	NA	NA	NA	NA	NA	NA	NA	0.31147	0.2973	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2874	NA	NA	165.31596	240.48714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.31825	23.01757	0.91614	NA	NA	NA	NA	NA
